feature_id,formula,asof_rule,forbidden_future_data,formula_hash
ema20,"EMA(close, span=20, adjust=false)",state_signal_date,False,c00796be887a765c6f432e7a44f9c50955d6736112f8a5d002b4a0ccc60bc118
ema20_slope_5d,ema20[t] / ema20[t-5] - 1,state_signal_date,False,ed62a39df571d60b3836068560fe4785033ddbb826a871bf2daad5fe576af830
close_1d_ago,close[t-1],state_signal_date,False,fcb40d4bda4e8c642c19954c3deed15ef290ca69b5446e2675af24e99bb5aa73
close_2d_ago,close[t-2],state_signal_date,False,62f87ab5d294f8f75551480ae4cf9fe4177f35a24f87bd288a2fb3aaa22a385d
ema20_1d_ago,ema20[t-1],state_signal_date,False,1e84dffd580753a62b997a5209e9b4f698f85e01ac10fd99942cb9cdf2f1dedc
ema20_2d_ago,ema20[t-2],state_signal_date,False,7189bc542e25bc54d3e27026b8e1f53d972e65b0e2f57455a3eaaa5cdde1dde9
money_ma3,"rolling mean(money, 3)",state_signal_date,False,34265eb2b52213f36c63feece6294bec6aee603bf89aa5cd638fda63d0743b93
money_ma20,"rolling mean(money, 20)",state_signal_date,False,c22956fe017a816e76f1e630cc42cc7c7b17b4bfaccda1cb153c99ce335af7fc
true_range,"max(high-low, abs(high-prev_close), abs(low-prev_close))",state_signal_date,False,979fd4a0ea28ba5bafb19f6f0bf57d4be795ad0e2004c524439e354060b24e6a
atr20,"rolling mean(true_range, 20)",state_signal_date,False,5d16fcbd8eeaed152e1599ed6992ba37e0cf1be1591c1b20715ee3439a6bddda
rolling_range_5d,"(max(high, 5)-min(low, 5))/close",state_signal_date,False,ba352b976db075a0f0f5bda0b5a0f706a2553f6832d1d464920812fdada18ea6
close_location_in_day,"(close-low)/(high-low), or 0.5 when high==low",state_signal_date,False,e753c8aac821a515d7908a1b77e47be3c1d543f4b4a9f935d887b4b60a97dee4
ret1,close[t]/close[t-1]-1,state_signal_date,False,d0bda2d882be9bad51ab6bc6dc2850478546af9fcc168560bfd93d000542d008
ret3,close[t]/close[t-3]-1,state_signal_date,False,cfa1483e2459eccadb5c8321ff2911a3ba03ace2f14adf07ef51c8a17868056e
ret20,close[t]/close[t-20]-1,state_signal_date,False,2afcf3777347842d00158ba5bfdf2dbdcce92a868955b37cb557129a138799b9
market_ret20,equal-weight PIT universe ret20,state_signal_date,False,f87c219464e71b81c3be9348e22300c444daa4b8a5aa2d0b1519d08cb168aec9
industry_ret20,equal-weight PIT same-industry ret20,state_signal_date,False,2ecb6ec9b03f7d1420c72c23cb63d33067537abde7f4b97060e8d6534fbd6f1e
relative_ret20_vs_market,ret20 - market_ret20,state_signal_date,False,d3d42f4e07ac8b6c86d5e1f79c2da09e5a8b6b4d5043624d99fb12e7e2d1c569
relative_ret20_vs_industry,ret20 - industry_ret20,state_signal_date,False,24a7a3a1c69b26022021a587aa3c097ea9638fa6ab6db3c29fde58879ee23359
current_return_from_entry,close[state_signal_date] / r03_first_exposure_price - 1,state_signal_date,False,21724415cc7b7e09b40fbd9657402ce2bc1eca9745ab91e33cb2b88bfad8fe4f
open_profit_peak_asof_state,max(close from entry through state_signal_date)/entry_price - 1,state_signal_date,False,aafae7de692b347e59db1d904bf95548c4b8fb22960240dd4e8c6c673502018a
drawdown_from_profit_peak_asof_state,open_profit_peak_asof_state - current_return_from_entry,state_signal_date,False,1768212f9f38f0fb80e934edacb995b826671e66405208ca9bb3661710ffc15e
