split,state_variant_id,action,future_winner_denominator_count,full_false_reject_count,partial_winner_haircut_count,false_reject_winner_rate,partial_winner_haircut_rate
robustness,profit_buffer_6pct,continue,76,0,0,0.0,0.0
robustness,profit_buffer_6pct,exit,76,76,0,1.0,0.0
robustness,profit_buffer_6pct,no_action,76,0,0,0.0,0.0
robustness,profit_buffer_6pct,reduce_to_0_30,76,76,51,1.0,0.6710526315789473
robustness,profit_buffer_6pct,reduce_to_0_50,76,25,51,0.32894736842105265,0.6710526315789473
robustness,profit_giveback_10_6,continue,18,0,0,0.0,0.0
robustness,profit_giveback_10_6,exit,18,18,0,1.0,0.0
robustness,profit_giveback_10_6,no_action,18,0,0,0.0,0.0
robustness,profit_giveback_10_6,reduce_to_0_30,18,18,17,1.0,0.9444444444444444
robustness,profit_giveback_10_6,reduce_to_0_50,18,1,17,0.05555555555555555,0.9444444444444444
robustness,range_compression_above_support,continue,254,0,0,0.0,0.0
robustness,range_compression_above_support,exit,254,254,0,1.0,0.0
robustness,range_compression_above_support,no_action,254,0,0,0.0,0.0
robustness,range_compression_above_support,reduce_to_0_30,254,254,193,1.0,0.7598425196850394
robustness,range_compression_above_support,reduce_to_0_50,254,61,193,0.24015748031496062,0.7598425196850394
robustness,range_expansion_downside,continue,21,0,0,0.0,0.0
robustness,range_expansion_downside,exit,21,21,0,1.0,0.0
robustness,range_expansion_downside,no_action,21,0,0,0.0,0.0
robustness,range_expansion_downside,reduce_to_0_30,21,21,14,1.0,0.6666666666666666
robustness,range_expansion_downside,reduce_to_0_50,21,7,14,0.3333333333333333,0.6666666666666666
robustness,relative_strength_failure_20d,continue,34,0,0,0.0,0.0
robustness,relative_strength_failure_20d,exit,34,34,0,1.0,0.0
robustness,relative_strength_failure_20d,no_action,34,0,0,0.0,0.0
robustness,relative_strength_failure_20d,reduce_to_0_30,34,34,30,1.0,0.8823529411764706
robustness,relative_strength_failure_20d,reduce_to_0_50,34,4,30,0.11764705882352941,0.8823529411764706
robustness,relative_strength_hold_20d,continue,133,0,0,0.0,0.0
robustness,relative_strength_hold_20d,exit,133,133,0,1.0,0.0
robustness,relative_strength_hold_20d,no_action,133,0,0,0.0,0.0
robustness,relative_strength_hold_20d,reduce_to_0_30,133,133,87,1.0,0.6541353383458647
robustness,relative_strength_hold_20d,reduce_to_0_50,133,46,87,0.3458646616541353,0.6541353383458647
robustness,support_break_ema20_2d,continue,7,0,0,0.0,0.0
robustness,support_break_ema20_2d,exit,7,7,0,1.0,0.0
robustness,support_break_ema20_2d,no_action,7,0,0,0.0,0.0
robustness,support_break_ema20_2d,reduce_to_0_30,7,7,3,1.0,0.42857142857142855
robustness,support_break_ema20_2d,reduce_to_0_50,7,4,3,0.5714285714285714,0.42857142857142855
robustness,trend_hold_ema20_3d,continue,290,0,0,0.0,0.0
robustness,trend_hold_ema20_3d,exit,290,290,0,1.0,0.0
robustness,trend_hold_ema20_3d,no_action,290,0,0,0.0,0.0
robustness,trend_hold_ema20_3d,reduce_to_0_30,290,290,215,1.0,0.7413793103448276
robustness,trend_hold_ema20_3d,reduce_to_0_50,290,75,215,0.25862068965517243,0.7413793103448276
robustness,volume_failure_money20_break,continue,0,0,0,,
robustness,volume_failure_money20_break,exit,0,0,0,,
robustness,volume_failure_money20_break,no_action,0,0,0,,
robustness,volume_failure_money20_break,reduce_to_0_30,0,0,0,,
robustness,volume_failure_money20_break,reduce_to_0_50,0,0,0,,
robustness,volume_support_money20_floor,continue,279,0,0,0.0,0.0
robustness,volume_support_money20_floor,exit,279,279,0,1.0,0.0
robustness,volume_support_money20_floor,no_action,279,0,0,0.0,0.0
robustness,volume_support_money20_floor,reduce_to_0_30,279,279,204,1.0,0.7311827956989247
robustness,volume_support_money20_floor,reduce_to_0_50,279,75,204,0.26881720430107525,0.7311827956989247
train,profit_buffer_6pct,continue,181,0,0,0.0,0.0
train,profit_buffer_6pct,exit,181,181,0,1.0,0.0
train,profit_buffer_6pct,no_action,181,0,0,0.0,0.0
train,profit_buffer_6pct,reduce_to_0_30,181,181,119,1.0,0.6574585635359116
train,profit_buffer_6pct,reduce_to_0_50,181,62,119,0.3425414364640884,0.6574585635359116
train,profit_giveback_10_6,continue,45,0,0,0.0,0.0
train,profit_giveback_10_6,exit,45,45,0,1.0,0.0
train,profit_giveback_10_6,no_action,45,0,0,0.0,0.0
train,profit_giveback_10_6,reduce_to_0_30,45,45,29,1.0,0.6444444444444445
train,profit_giveback_10_6,reduce_to_0_50,45,16,29,0.35555555555555557,0.6444444444444445
train,range_compression_above_support,continue,272,0,0,0.0,0.0
train,range_compression_above_support,exit,272,272,0,1.0,0.0
train,range_compression_above_support,no_action,272,0,0,0.0,0.0
train,range_compression_above_support,reduce_to_0_30,272,272,192,1.0,0.7058823529411765
train,range_compression_above_support,reduce_to_0_50,272,80,192,0.29411764705882354,0.7058823529411765
train,range_expansion_downside,continue,44,0,0,0.0,0.0
train,range_expansion_downside,exit,44,44,0,1.0,0.0
train,range_expansion_downside,no_action,44,0,0,0.0,0.0
train,range_expansion_downside,reduce_to_0_30,44,44,31,1.0,0.7045454545454546
train,range_expansion_downside,reduce_to_0_50,44,13,31,0.29545454545454547,0.7045454545454546
train,relative_strength_failure_20d,continue,9,0,0,0.0,0.0
train,relative_strength_failure_20d,exit,9,9,0,1.0,0.0
train,relative_strength_failure_20d,no_action,9,0,0,0.0,0.0
train,relative_strength_failure_20d,reduce_to_0_30,9,9,6,1.0,0.6666666666666666
train,relative_strength_failure_20d,reduce_to_0_50,9,3,6,0.3333333333333333,0.6666666666666666
train,relative_strength_hold_20d,continue,106,0,0,0.0,0.0
train,relative_strength_hold_20d,exit,106,106,0,1.0,0.0
