threshold_id,source_split,source_row_count,source_min_date,source_max_date,value,threshold_status
train_q50_range_atr,train,2209,2017-11-01,2021-12-22,0.3146680666966779,frozen_train_only
train_q30_market_rel20,train,2222,2017-11-01,2021-12-22,0.05307985842227936,frozen_train_only
train_q30_industry_rel20,train,797,2017-11-01,2021-12-22,0.0022870808839797947,frozen_train_only
train_median_industry_close_gt_ema60_ratio,train,2212,2017-11-01,2021-12-22,1.0,frozen_train_only
matched_delay_days__profit_buffer_6pct,train,871,2017-11-10,2021-12-03,5.0,frozen_train_only
matched_delay_days__profit_giveback_10_6,train,191,2018-01-12,2021-12-01,8.0,frozen_train_only
matched_delay_days__range_compression_above_support,train,1088,2017-11-15,2021-12-22,5.0,frozen_train_only
matched_delay_days__range_expansion_downside,train,197,2017-11-03,2021-09-16,5.0,frozen_train_only
matched_delay_days__relative_strength_failure_20d,train,117,2019-02-15,2021-09-14,4.0,frozen_train_only
matched_delay_days__relative_strength_hold_20d,train,508,2017-11-08,2021-12-17,4.0,frozen_train_only
matched_delay_days__support_break_ema20_2d,train,13,2020-02-04,2021-07-27,6.0,frozen_train_only
matched_delay_days__trend_hold_ema20_3d,train,2168,2017-11-01,2021-12-22,4.0,frozen_train_only
matched_delay_days__volume_failure_money20_break,train,3,2020-07-27,2020-07-29,6.0,frozen_train_only
matched_delay_days__volume_support_money20_floor,train,2133,2017-11-01,2021-12-21,4.0,frozen_train_only
