split,state_variant_id,action,regime_cell_id,event_count,mean_return_H20
robustness,profit_buffer_6pct,continue,insufficient_industry_members,123,-0.006751477305828053
robustness,profit_buffer_6pct,continue,market_trend_off__industry_sync_off,2,0.03541540185331005
robustness,profit_buffer_6pct,continue,market_trend_off__industry_sync_on,39,-0.03098436223105545
robustness,profit_buffer_6pct,continue,market_trend_on__industry_sync_off,76,0.020579379092874217
robustness,profit_buffer_6pct,continue,market_trend_on__industry_sync_on,123,-0.011638349084394463
robustness,profit_buffer_6pct,exit,insufficient_industry_members,123,-0.005951219512195111
robustness,profit_buffer_6pct,exit,market_trend_off__industry_sync_off,2,-0.005199999999999982
robustness,profit_buffer_6pct,exit,market_trend_off__industry_sync_on,39,-0.005989743589743579
robustness,profit_buffer_6pct,exit,market_trend_on__industry_sync_off,76,-0.006821052631578944
robustness,profit_buffer_6pct,exit,market_trend_on__industry_sync_on,123,-0.0061788617886178775
robustness,profit_buffer_6pct,no_action,insufficient_industry_members,123,-0.006751477305828053
robustness,profit_buffer_6pct,no_action,market_trend_off__industry_sync_off,2,0.03541540185331005
robustness,profit_buffer_6pct,no_action,market_trend_off__industry_sync_on,39,-0.03098436223105545
robustness,profit_buffer_6pct,no_action,market_trend_on__industry_sync_off,76,0.020579379092874217
robustness,profit_buffer_6pct,no_action,market_trend_on__industry_sync_on,123,-0.011638349084394463
robustness,profit_buffer_6pct,reduce_to_0_30,insufficient_industry_members,123,-0.007717644966343799
robustness,profit_buffer_6pct,reduce_to_0_30,market_trend_off__industry_sync_off,2,0.010374000739843292
robustness,profit_buffer_6pct,reduce_to_0_30,market_trend_off__industry_sync_on,39,-0.016489414758143667
robustness,profit_buffer_6pct,reduce_to_0_30,market_trend_on__industry_sync_off,76,0.001422081199563302
robustness,profit_buffer_6pct,reduce_to_0_30,market_trend_on__industry_sync_on,123,-0.00801133248809362
robustness,profit_buffer_6pct,reduce_to_0_50,insufficient_industry_members,123,-0.007405366255095941
robustness,profit_buffer_6pct,reduce_to_0_50,market_trend_off__industry_sync_off,2,0.017481729067868712
robustness,profit_buffer_6pct,reduce_to_0_50,market_trend_off__industry_sync_on,39,-0.020496811424169512
robustness,profit_buffer_6pct,reduce_to_0_50,market_trend_on__industry_sync_off,76,0.006919637671778673
robustness,profit_buffer_6pct,reduce_to_0_50,market_trend_on__industry_sync_on,123,-0.009083711633969514
robustness,profit_giveback_10_6,continue,insufficient_industry_members,54,-0.012525578955935467
robustness,profit_giveback_10_6,continue,market_trend_on__industry_sync_off,22,0.00887627217205601
robustness,profit_giveback_10_6,continue,market_trend_on__industry_sync_on,98,-0.015888549368309
robustness,profit_giveback_10_6,exit,insufficient_industry_members,54,-0.0064444444444444375
robustness,profit_giveback_10_6,exit,market_trend_on__industry_sync_off,22,-0.0046909090909090685
robustness,profit_giveback_10_6,exit,market_trend_on__industry_sync_on,98,-0.0052571428571428405
robustness,profit_giveback_10_6,no_action,insufficient_industry_members,54,-0.012525578955935467
robustness,profit_giveback_10_6,no_action,market_trend_on__industry_sync_off,22,0.00887627217205601
