split,state_family_id,state_variant_id,state_direction,action,horizon_id,event_count,unique_launch_episode_count,unique_instrument_year_count,mean_after_cost_return,p05_after_cost_return,mae_mean,mae_improvement_vs_no_action,drawdown_avoided_mean,future_winner_retention_rate,false_reject_winner_rate,partial_winner_haircut_rate,already_hit_target_row_count,horizon_truncated_row_count,capital_occupancy_multiple,comparison_reference_scope,mean_diff_vs_no_action_reference,p05_diff_vs_no_action_reference,matched_random_p95_diff,matched_delay_mean_diff,matched_delay_p05_diff,instrument_year_positive_rate_diff,interpretation_status
robustness,trend_hold_state,trend_hold_ema20_3d,continuation,no_action,H5,1312,149,134,0.010835551090149007,-0.058949709999244794,0.03113553073230345,0.0,0.0,1.0,0.0,0.0,0,160,1.0,same_row_no_action,0.0,0.0,-0.11795999799684086,0.005136076395557012,0.0657396516844243,0.0,interpretable
robustness,trend_hold_state,trend_hold_ema20_3d,continuation,no_action,H10,1312,149,134,0.01124329071463282,-0.06485375718588708,0.03852996218780091,0.0,0.0,1.0,0.0,0.0,0,160,1.0,same_row_no_action,0.0,0.0,-0.11994051130943817,0.005543816020040825,0.05983560449778201,0.0,interpretable
robustness,trend_hold_state,trend_hold_ema20_3d,continuation,no_action,H20,1312,149,134,0.01124329071463282,-0.06485375718588708,0.04403667924843886,0.0,0.0,1.0,0.0,0.0,0,160,1.0,same_row_no_action,0.0,0.0,-0.11994051130943817,0.005543816020040825,0.05983560449778201,0.0,interpretable
robustness,trend_hold_state,trend_hold_ema20_3d,continuation,no_action,H60,1312,149,134,0.011294621676783238,-0.06579470728282097,0.06444573362277685,0.0,0.0,1.0,0.0,0.0,0,160,1.0,same_row_no_action,0.0,0.0,-0.12030455178783692,0.005716758345785378,0.05990360419604637,0.0,interpretable
robustness,trend_hold_state,trend_hold_ema20_3d,continuation,continue,H5,1312,149,134,0.010835551090149007,-0.058949709999244794,0.03113553073230345,-0.0006558445682355758,-0.0006558445682355758,1.0,0.0,0.0,0,160,1.0,full_primary_exposure_no_action_universe,4.2341846113890316e-05,-0.0010930757474375066,-0.11795999799684086,0.005136076395557012,0.0657396516844243,0.0,interpretable
robustness,trend_hold_state,trend_hold_ema20_3d,continuation,continue,H10,1312,149,134,0.01124329071463282,-0.06485375718588708,0.03852996218780091,-0.00085277035633953,-0.00085277035633953,1.0,0.0,0.0,0,160,1.0,full_primary_exposure_no_action_universe,4.470617877686163e-05,-0.0023898585166533676,-0.11994051130943817,0.005543816020040825,0.05983560449778201,0.0,interpretable
robustness,trend_hold_state,trend_hold_ema20_3d,continuation,continue,H20,1312,149,134,0.01124329071463282,-0.06485375718588708,0.04403667924843886,-0.0009453586458312568,-0.0009453586458312568,1.0,0.0,0.0,0,160,1.0,full_primary_exposure_no_action_universe,4.470617877686163e-05,-0.0023898585166533676,-0.11994051130943817,0.005543816020040825,0.05983560449778201,0.0,interpretable
robustness,trend_hold_state,trend_hold_ema20_3d,continuation,continue,H60,1312,149,134,0.011294621676783238,-0.06579470728282097,0.06444573362277685,-0.0007775052208732064,-0.0007775052208732064,1.0,0.0,0.0,0,160,1.0,full_primary_exposure_no_action_universe,1.7381646751451346e-05,-0.0031374269219672513,-0.12030455178783692,0.005716758345785378,0.05990360419604637,0.0,interpretable
robustness,trend_hold_state,trend_hold_ema20_3d,continuation,exit,H5,1312,149,134,-0.006092073170731697,-0.008000000000000007,0.0,0.03113553073230345,0.03113553073230345,0.0,1.0,0.0,0,160,0.0,same_row_no_action,-0.016927624260880705,0.05094970999924479,-0.13488762225772158,-0.01179154786532369,0.11668936168366909,0.0,interpretable
robustness,trend_hold_state,trend_hold_ema20_3d,continuation,exit,H10,1312,149,134,-0.006092073170731697,-0.008000000000000007,0.0,0.03852996218780091,0.03852996218780091,0.0,1.0,0.0,0,160,0.0,same_row_no_action,-0.017335363885364517,0.056853757185887074,-0.1372758751948027,-0.01179154786532369,0.11668936168366909,0.0,interpretable
robustness,trend_hold_state,trend_hold_ema20_3d,continuation,exit,H20,1312,149,134,-0.006092073170731697,-0.008000000000000007,0.0,0.04403667924843886,0.04403667924843886,0.0,1.0,0.0,0,160,0.0,same_row_no_action,-0.017335363885364517,0.056853757185887074,-0.1372758751948027,-0.01179154786532369,0.11668936168366909,0.0,interpretable
robustness,trend_hold_state,trend_hold_ema20_3d,continuation,exit,H60,1312,149,134,-0.006077160493827151,-0.008000000000000007,0.0,0.06444573362277685,0.06444573362277685,0.0,1.0,0.0,0,160,0.0,same_row_no_action,-0.01737178217061039,0.05779470728282096,-0.1376763339584473,-0.01165502382482501,0.11769831147886733,0.0,interpretable
