split,state_family_id,state_variant_id,state_direction,action,horizon_id,event_count,unique_launch_episode_count,unique_instrument_year_count,mean_after_cost_return,p05_after_cost_return,mae_mean,mae_improvement_vs_no_action,drawdown_avoided_mean,future_winner_retention_rate,false_reject_winner_rate,partial_winner_haircut_rate,already_hit_target_row_count,horizon_truncated_row_count,capital_occupancy_multiple,comparison_reference_scope,mean_diff_vs_no_action_reference,p05_diff_vs_no_action_reference,matched_random_p95_diff,matched_delay_mean_diff,matched_delay_p05_diff,instrument_year_positive_rate_diff,interpretation_status,top1_instrument_year_pnl_share,top5_instrument_exposure_share
robustness,trend_hold_state,trend_hold_ema20_3d,continuation,no_action,H20,1312,149,134,0.01124329071463282,-0.06485375718588708,0.04403667924843886,0.0,0.0,1.0,0.0,0.0,0,160,1.0,same_row_no_action,0.0,0.0,-0.11994051130943817,0.005543816020040825,0.05983560449778201,0.0,interpretable,0.0,0.0
robustness,trend_hold_state,trend_hold_ema20_3d,continuation,continue,H20,1312,149,134,0.01124329071463282,-0.06485375718588708,0.04403667924843886,-0.0009453586458312568,-0.0009453586458312568,1.0,0.0,0.0,0,160,1.0,full_primary_exposure_no_action_universe,4.470617877686163e-05,-0.0023898585166533676,-0.11994051130943817,0.005543816020040825,0.05983560449778201,0.0,interpretable,0.0,0.0
robustness,trend_hold_state,trend_hold_ema20_3d,continuation,exit,H20,1312,149,134,-0.006092073170731697,-0.008000000000000007,0.0,0.04403667924843886,0.04403667924843886,0.0,1.0,0.0,0,160,0.0,same_row_no_action,-0.017335363885364517,0.056853757185887074,-0.1372758751948027,-0.01179154786532369,0.11668936168366909,0.0,interpretable,0.0,0.0
robustness,trend_hold_state,trend_hold_ema20_3d,continuation,reduce_to_0_50,H20,1312,149,134,0.003257481433375218,-0.03994220485457092,0.02462862380427461,0.01940805544416425,0.01940805544416425,0.7413793103448276,0.25862068965517243,0.7413793103448276,0,160,0.550318995678123,same_row_no_action,-0.0079858092812576,0.02491155233131616,-0.12792632059069575,-0.0024419932612167764,0.08474715682909817,0.0,interpretable,0.0,0.0
robustness,trend_hold_state,trend_hold_ema20_3d,continuation,reduce_to_0_30,H20,1312,149,134,5.3644614464996974e-05,-0.030686295141293146,0.016865401626608913,0.02717127762182995,0.02717127762182995,0.0,1.0,0.7413793103448276,0,160,0.3704465939493723,same_row_no_action,-0.011189646100167823,0.034167462044593935,-0.13113015740960599,-0.005645830080126997,0.09400306654237595,0.0,interpretable,0.0,0.0
robustness,volume_support_state,volume_support_money20_floor,continuation,no_action,H20,1251,146,132,0.01171425468899509,-0.06493436689082649,0.045131808443844325,0.0,0.0,1.0,0.0,0.0,0,143,1.0,same_row_no_action,0.0,0.0,-0.1246436828007905,0.005222547039255388,0.06076394458804085,0.0,interpretable,0.0,0.0
robustness,volume_support_state,volume_support_money20_floor,continuation,continue,H20,1251,146,132,0.01171425468899509,-0.06493436689082649,0.045131808443844325,-0.0020404878412367197,-0.0020404878412367197,1.0,0.0,0.0,0,143,1.0,full_primary_exposure_no_action_universe,0.0005156701531391326,-0.0024704682215927753,-0.1246436828007905,0.005222547039255388,0.06076394458804085,0.0,interpretable,0.0,0.0
robustness,volume_support_state,volume_support_money20_floor,continuation,exit,H20,1251,146,132,-0.0061199040767386,-0.008000000000000007,0.0,0.045131808443844325,0.045131808443844325,0.0,1.0,0.0,0,143,0.0,same_row_no_action,-0.01783415876573369,0.05693436689082648,-0.14247784156652418,-0.012611611726478303,0.11769831147886733,0.0,interpretable,0.0,0.0
robustness,volume_support_state,volume_support_money20_floor,continuation,reduce_to_0_50,H20,1251,146,132,0.003513113588845628,-0.039943260295997096,0.0251692090330118,0.019962599410832525,0.019962599410832525,0.7311827956989247,0.26881720430107525,0.7311827956989247,0,143,0.5480045900803264,same_row_no_action,-0.008201141100149462,0.024991106594829393,-0.13284482390093996,-0.0029785940608940743,0.08575505118287025,0.0,interpretable,0.0,0.0
robustness,volume_support_state,volume_support_money20_floor,continuation,reduce_to_0_30,H20,1251,146,132,0.00022375856884804203,-0.030698207656282672,0.01718416926867879,0.027947639175165535,0.027947639175165535,0.0,1.0,0.7311827956989247,0,143,0.36720642611245696,same_row_no_action,-0.011490496120147048,0.03423615923454382,-0.13613417892093754,-0.006267949080891661,0.09500010382258467,0.0,interpretable,0.0,0.0
robustness,relative_strength_hold_state,relative_strength_hold_20d,continuation,no_action,H20,555,78,73,0.017044584403547048,-0.07695183378451854,0.050104355451425456,0.0,0.0,1.0,0.0,0.0,0,72,1.0,same_row_no_action,0.0,0.0,-0.14453425878641857,-0.0014786636204357911,0.056066637698228325,0.0,interpretable,0.0,0.0
robustness,relative_strength_hold_state,relative_strength_hold_20d,continuation,continue,H20,555,78,73,0.017044584403547048,-0.07695183378451854,0.050104355451425456,-0.007013034848817851,-0.007013034848817851,1.0,0.0,0.0,0,72,1.0,full_primary_exposure_no_action_universe,0.00584599986769109,-0.01448793511528483,-0.14453425878641857,-0.0014786636204357911,0.056066637698228325,0.0,interpretable,0.0,0.0
robustness,relative_strength_hold_state,relative_strength_hold_20d,continuation,exit,H20,555,78,73,-0.0061938738738738655,-0.008000000000000007,0.0,0.050104355451425456,0.050104355451425456,0.0,1.0,0.0,0,72,0.0,same_row_no_action,-0.023238458277420913,0.06895183378451854,-0.1677727170638395,-0.024717121897856704,0.12501847148274686,0.0,interpretable,0.0,0.0
robustness,relative_strength_hold_state,relative_strength_hold_20d,continuation,reduce_to_0_50,H20,555,78,73,0.006828811717625096,-0.04351953296366385,0.02698188462630213,0.023122470825123326,0.023122470825123326,0.6541353383458647,0.3458646616541353,0.6541353383458647,0,72,0.5484062856293066,same_row_no_action,-0.010215772685921953,0.033432300820854695,-0.15475003147234054,-0.011694436306357744,0.08949893851908303,0.0,interpretable,0.0,0.0
robustness,relative_strength_hold_state,relative_strength_hold_20d,continuation,reduce_to_0_30,H20,555,78,73,0.0027427440520871585,-0.03220199764167689,0.017732896296252798,0.03237145915517266,0.03237145915517266,0.0,1.0,0.6541353383458647,0,72,0.3677687998810291,same_row_no_action,-0.014301840351459889,0.044749836142841656,-0.15883609913787847,-0.01578050397189568,0.10081647384106998,0.0,interpretable,0.0,0.0
