split,state_variant_id,baseline_id,candidate_row_count,matched_row_count,unmatched_row_count,replacement_used,matched_delay_days
robustness,profit_buffer_6pct,matched_random_state_date,363,363,0,False,
robustness,profit_giveback_10_6,matched_random_state_date,174,173,1,False,
robustness,range_compression_above_support,matched_random_state_date,1001,998,3,False,
robustness,range_expansion_downside,matched_random_state_date,108,103,5,False,
robustness,relative_strength_failure_20d,matched_random_state_date,170,168,2,False,
robustness,relative_strength_hold_20d,matched_random_state_date,555,553,2,False,
robustness,support_break_ema20_2d,matched_random_state_date,18,18,0,False,
robustness,trend_hold_ema20_3d,matched_random_state_date,1312,1304,8,False,
robustness,volume_failure_money20_break,matched_random_state_date,1,1,0,False,
robustness,volume_support_money20_floor,matched_random_state_date,1251,1243,8,False,
train,profit_buffer_6pct,matched_random_state_date,869,869,0,False,
train,profit_giveback_10_6,matched_random_state_date,191,191,0,False,
train,range_compression_above_support,matched_random_state_date,1086,1085,1,False,
train,range_expansion_downside,matched_random_state_date,197,195,2,False,
train,relative_strength_failure_20d,matched_random_state_date,117,116,1,False,
train,relative_strength_hold_20d,matched_random_state_date,507,504,3,False,
train,support_break_ema20_2d,matched_random_state_date,13,13,0,False,
train,trend_hold_ema20_3d,matched_random_state_date,2166,2162,4,False,
train,volume_failure_money20_break,matched_random_state_date,3,3,0,False,
train,volume_support_money20_floor,matched_random_state_date,2131,2126,5,False,
validation,profit_buffer_6pct,matched_random_state_date,250,250,0,False,
validation,profit_giveback_10_6,matched_random_state_date,52,52,0,False,
validation,range_compression_above_support,matched_random_state_date,519,518,1,False,
validation,range_expansion_downside,matched_random_state_date,63,63,0,False,
validation,relative_strength_failure_20d,matched_random_state_date,55,55,0,False,
validation,relative_strength_hold_20d,matched_random_state_date,370,370,0,False,
validation,support_break_ema20_2d,matched_random_state_date,10,10,0,False,
validation,trend_hold_ema20_3d,matched_random_state_date,970,969,1,False,
validation,volume_failure_money20_break,matched_random_state_date,3,3,0,False,
validation,volume_support_money20_floor,matched_random_state_date,922,921,1,False,
