split,state_family_id,state_variant_id,evaluation_row_count,event_count,action_eligible_event_count,unique_launch_episode_count,unique_instrument_year_count,trigger_rate
robustness,profit_buffer_state,profit_buffer_6pct,1365,364,1364,149,134,0.26666666666666666
robustness,profit_giveback_state,profit_giveback_10_6,1365,174,1364,149,134,0.12747252747252746
robustness,range_compression_hold_state,range_compression_above_support,1365,1001,1364,149,134,0.7333333333333333
robustness,range_expansion_down_state,range_expansion_downside,1365,108,1364,149,134,0.07912087912087912
robustness,relative_strength_failure_state,relative_strength_failure_20d,1365,170,1364,149,134,0.12454212454212454
robustness,relative_strength_hold_state,relative_strength_hold_20d,1365,556,1364,149,134,0.4073260073260073
robustness,support_break_state,support_break_ema20_2d,1365,18,1364,149,134,0.013186813186813187
robustness,trend_hold_state,trend_hold_ema20_3d,1365,1313,1364,149,134,0.9619047619047619
robustness,volume_failure_state,volume_failure_money20_break,1365,1,1364,149,134,0.0007326007326007326
robustness,volume_support_state,volume_support_money20_floor,1365,1252,1364,149,134,0.9172161172161172
train,profit_buffer_state,profit_buffer_6pct,2222,871,2220,236,214,0.391989198919892
train,profit_giveback_state,profit_giveback_10_6,2222,191,2220,236,214,0.08595859585958596
train,range_compression_hold_state,range_compression_above_support,2222,1088,2220,236,214,0.4896489648964896
train,range_expansion_down_state,range_expansion_downside,2222,197,2220,236,214,0.08865886588658865
train,relative_strength_failure_state,relative_strength_failure_20d,2222,117,2220,236,214,0.052655265526552655
train,relative_strength_hold_state,relative_strength_hold_20d,2222,508,2220,236,214,0.22862286228622863
train,support_break_state,support_break_ema20_2d,2222,13,2220,236,214,0.0058505850585058505
train,trend_hold_state,trend_hold_ema20_3d,2222,2168,2220,236,214,0.9756975697569757
train,volume_failure_state,volume_failure_money20_break,2222,3,2220,236,214,0.0013501350135013501
train,volume_support_state,volume_support_money20_floor,2222,2133,2220,236,214,0.95994599459946
validation,profit_buffer_state,profit_buffer_6pct,1004,251,1002,104,94,0.25
validation,profit_giveback_state,profit_giveback_10_6,1004,52,1002,104,94,0.05179282868525897
validation,range_compression_hold_state,range_compression_above_support,1004,521,1002,104,94,0.5189243027888446
validation,range_expansion_down_state,range_expansion_downside,1004,63,1002,104,94,0.06274900398406374
validation,relative_strength_failure_state,relative_strength_failure_20d,1004,55,1002,104,94,0.054780876494023904
validation,relative_strength_hold_state,relative_strength_hold_20d,1004,371,1002,104,94,0.3695219123505976
validation,support_break_state,support_break_ema20_2d,1004,10,1002,104,94,0.0099601593625498
validation,trend_hold_state,trend_hold_ema20_3d,1004,972,1002,104,94,0.9681274900398407
validation,volume_failure_state,volume_failure_money20_break,1004,3,1002,104,94,0.00298804780876494
validation,volume_support_state,volume_support_money20_floor,1004,924,1002,104,94,0.9203187250996016
