split,state_variant_id,action,gate_name,gate_value,gate_threshold,passed,gate_group,comparison
robustness,trend_hold_ema20_3d,no_action,robustness__trend_hold_ema20_3d__no_action__minimum_interpretability,True,min breadth,True,interpretability,
robustness,trend_hold_ema20_3d,continue,robustness__trend_hold_ema20_3d__continue__minimum_interpretability,True,min breadth,True,interpretability,
robustness,trend_hold_ema20_3d,continue,robustness__trend_hold_ema20_3d__continue__mean_diff_vs_no_action,4.470617877686163e-05,-0.001,True,support,>=
robustness,trend_hold_ema20_3d,continue,robustness__trend_hold_ema20_3d__continue__p05_diff_vs_no_action,-0.0023898585166533676,-0.005,True,support,>=
robustness,trend_hold_ema20_3d,continue,robustness__trend_hold_ema20_3d__continue__winner_retention,1.0,0.8,True,support,>=
robustness,trend_hold_ema20_3d,continue,robustness__trend_hold_ema20_3d__continue__capital_occupancy,1.0,1.5,True,support,<=
robustness,trend_hold_ema20_3d,continue,robustness__trend_hold_ema20_3d__continue__matched_random_p95,-0.11994051130943817,-0.001,False,support,>=
robustness,trend_hold_ema20_3d,continue,robustness__trend_hold_ema20_3d__continue__matched_delay_mean,0.005543816020040825,-0.003,True,support,>=
robustness,trend_hold_ema20_3d,continue,robustness__trend_hold_ema20_3d__continue__matched_delay_p05,0.05983560449778201,-0.005,True,support,>=
robustness,trend_hold_ema20_3d,continue,robustness__trend_hold_ema20_3d__continue__instrument_year,0.0,0.0,True,support,>=
robustness,trend_hold_ema20_3d,exit,robustness__trend_hold_ema20_3d__exit__minimum_interpretability,True,min breadth,True,interpretability,
robustness,trend_hold_ema20_3d,reduce_to_0_50,robustness__trend_hold_ema20_3d__reduce_to_0_50__minimum_interpretability,True,min breadth,True,interpretability,
robustness,trend_hold_ema20_3d,reduce_to_0_30,robustness__trend_hold_ema20_3d__reduce_to_0_30__minimum_interpretability,True,min breadth,True,interpretability,
robustness,volume_support_money20_floor,no_action,robustness__volume_support_money20_floor__no_action__minimum_interpretability,True,min breadth,True,interpretability,
robustness,volume_support_money20_floor,continue,robustness__volume_support_money20_floor__continue__minimum_interpretability,True,min breadth,True,interpretability,
robustness,volume_support_money20_floor,continue,robustness__volume_support_money20_floor__continue__mean_diff_vs_no_action,0.0005156701531391326,-0.001,True,support,>=
robustness,volume_support_money20_floor,continue,robustness__volume_support_money20_floor__continue__p05_diff_vs_no_action,-0.0024704682215927753,-0.005,True,support,>=
robustness,volume_support_money20_floor,continue,robustness__volume_support_money20_floor__continue__winner_retention,1.0,0.8,True,support,>=
robustness,volume_support_money20_floor,continue,robustness__volume_support_money20_floor__continue__capital_occupancy,1.0,1.5,True,support,<=
robustness,volume_support_money20_floor,continue,robustness__volume_support_money20_floor__continue__matched_random_p95,-0.1246436828007905,-0.001,False,support,>=
robustness,volume_support_money20_floor,continue,robustness__volume_support_money20_floor__continue__matched_delay_mean,0.005222547039255388,-0.003,True,support,>=
robustness,volume_support_money20_floor,continue,robustness__volume_support_money20_floor__continue__matched_delay_p05,0.06076394458804085,-0.005,True,support,>=
robustness,volume_support_money20_floor,continue,robustness__volume_support_money20_floor__continue__instrument_year,0.0,0.0,True,support,>=
robustness,volume_support_money20_floor,exit,robustness__volume_support_money20_floor__exit__minimum_interpretability,True,min breadth,True,interpretability,
robustness,volume_support_money20_floor,reduce_to_0_50,robustness__volume_support_money20_floor__reduce_to_0_50__minimum_interpretability,True,min breadth,True,interpretability,
robustness,volume_support_money20_floor,reduce_to_0_30,robustness__volume_support_money20_floor__reduce_to_0_30__minimum_interpretability,True,min breadth,True,interpretability,
robustness,relative_strength_hold_20d,no_action,robustness__relative_strength_hold_20d__no_action__minimum_interpretability,True,min breadth,True,interpretability,
robustness,relative_strength_hold_20d,continue,robustness__relative_strength_hold_20d__continue__minimum_interpretability,True,min breadth,True,interpretability,
robustness,relative_strength_hold_20d,continue,robustness__relative_strength_hold_20d__continue__mean_diff_vs_no_action,0.00584599986769109,-0.001,True,support,>=
robustness,relative_strength_hold_20d,continue,robustness__relative_strength_hold_20d__continue__p05_diff_vs_no_action,-0.01448793511528483,-0.005,False,support,>=
robustness,relative_strength_hold_20d,continue,robustness__relative_strength_hold_20d__continue__winner_retention,1.0,0.8,True,support,>=
robustness,relative_strength_hold_20d,continue,robustness__relative_strength_hold_20d__continue__capital_occupancy,1.0,1.5,True,support,<=
robustness,relative_strength_hold_20d,continue,robustness__relative_strength_hold_20d__continue__matched_random_p95,-0.14453425878641857,-0.001,False,support,>=
robustness,relative_strength_hold_20d,continue,robustness__relative_strength_hold_20d__continue__matched_delay_mean,-0.0014786636204357911,-0.003,True,support,>=
robustness,relative_strength_hold_20d,continue,robustness__relative_strength_hold_20d__continue__matched_delay_p05,0.056066637698228325,-0.005,True,support,>=
robustness,relative_strength_hold_20d,continue,robustness__relative_strength_hold_20d__continue__instrument_year,0.0,0.0,True,support,>=
robustness,relative_strength_hold_20d,exit,robustness__relative_strength_hold_20d__exit__minimum_interpretability,True,min breadth,True,interpretability,
robustness,relative_strength_hold_20d,reduce_to_0_50,robustness__relative_strength_hold_20d__reduce_to_0_50__minimum_interpretability,True,min breadth,True,interpretability,
robustness,relative_strength_hold_20d,reduce_to_0_30,robustness__relative_strength_hold_20d__reduce_to_0_30__minimum_interpretability,True,min breadth,True,interpretability,
robustness,profit_buffer_6pct,no_action,robustness__profit_buffer_6pct__no_action__minimum_interpretability,True,min breadth,True,interpretability,
