instrument_id,signal_date,split,open,high,low,close,volume,money,vwap,avg_money20_D,industry_id,industry_name,liquidity_quintile,beta_bucket,market_state,base_eligible,candidate_row_id,included_factor_count,valid_included_factor_count,eligible_after_factor_coverage,active_factor_count,score_raw,eligible_count,selected_flag,canonical_unit_id,event_key,unit_role
SH600009,2020-02-21,train,71.56,71.6,69.98,70.36,12857516.0,934705900.0,72.69724,1306016867.2,sw_801170,交通运输,q4,mid_beta,risk_on,True,559,125,125,True,124,0.04995702864271739,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH600009_2020-02-21,nonselected_baseline
SH600919,2020-02-21,train,4.4,4.43,4.39,4.4,32373012.0,216513440.0,6.6880846,217471360.4,sw_801780,银行,q1,low_beta,risk_on,True,26138,125,125,True,124,0.049609963725801676,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH600919_2020-02-21,nonselected_baseline
SZ002460,2020-02-21,train,39.35,39.95,38.68,38.87,60937600.0,3554686700.0,58.333225,3245086400.0,sw_801050,有色金属,q5,high_beta,risk_on,True,80018,125,125,True,124,0.04904796442227258,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SZ002460_2020-02-21,nonselected_baseline
SZ002050,2020-02-21,train,15.65,15.87,15.47,15.63,44230544.0,966744100.0,21.856936,1014506499.2,sw_801110,家用电器,q4,low_beta,risk_on,True,73998,125,125,True,124,0.046798998660843576,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SZ002050_2020-02-21,nonselected_baseline
SH600048,2020-02-21,train,12.1,12.13,11.79,11.89,84402344.0,1296802000.0,15.364527,1373514243.2,sw_801180,房地产,q4,mid_beta,risk_on,True,6871,125,125,True,124,0.043667092628311366,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH600048_2020-02-21,nonselected_baseline
SZ002007,2020-02-21,train,28.68,29.39,28.45,29.2,23277300.0,945763500.0,40.630295,1443301614.4,sw_801150,医药生物,q4,low_beta,risk_on,True,72603,125,125,True,124,0.04366240041863714,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SZ002007_2020-02-21,nonselected_baseline
SZ000858,2020-02-21,train,110.1,111.12,109.27,110.1,20743752.0,2695003400.0,129.91881,3307194297.6,sw_801120,食品饮料,q5,mid_beta,risk_on,True,69176,125,124,True,123,0.043566333718703894,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SZ000858_2020-02-21,nonselected_baseline
SH600015,2020-02-21,train,5.07,5.11,5.05,5.07,22146956.0,159417650.0,7.198174,149386121.2,sw_801780,银行,q1,low_beta,risk_on,True,1824,125,125,True,124,0.04338005714441439,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH600015_2020-02-21,nonselected_baseline
SH601800,2020-02-21,train,6.72,6.76,6.67,6.7,53020240.0,426449100.0,8.043138,327453065.6,sw_801720,建筑装饰,q2,mid_beta,risk_on,True,46112,125,125,True,124,0.04124828623495095,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH601800_2020-02-21,nonselected_baseline
SZ002311,2020-02-21,train,33.16,33.55,32.82,33.02,6631849.0,232381360.0,35.040207,340983312.0,sw_801010,农林牧渔,q2,low_beta,risk_on,True,77833,125,125,True,124,0.04000859356094753,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SZ002311_2020-02-21,nonselected_baseline
