instrument_id,signal_date,split,open,high,low,close,volume,money,vwap,avg_money20_D,industry_id,industry_name,liquidity_quintile,beta_bucket,market_state,base_eligible,candidate_row_id,included_factor_count,valid_included_factor_count,eligible_after_factor_coverage,active_factor_count,score_raw,eligible_count,selected_flag,canonical_unit_id,event_key,unit_role
SH601155,2020-02-21,train,30.3,30.43,29.75,29.89,13753400.0,463174530.0,33.677094,498914196.8,sw_801180,房地产,q3,high_beta,risk_on,True,32742,125,125,True,124,0.13832066989233416,179,True,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_selected_SH601155_2020-02-21,selected
SH603658,2020-02-21,train,86.53,87.56,83.34,84.71,1957800.0,230562480.0,117.766106,224723696.4,sw_801150,医药生物,q1,low_beta,risk_on,True,57874,125,125,True,124,0.11452828388991615,179,True,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_selected_SH603658_2020-02-21,selected
SZ000651,2020-02-21,train,42.87,42.87,42.1,42.4,54346990.0,3402734300.0,62.61127,2988922784.0,sw_801110,家用电器,q5,mid_beta,risk_on,True,66231,125,124,True,123,0.1117702665307173,179,True,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_selected_SZ000651_2020-02-21,selected
SZ000538,2020-02-21,train,46.88,47.19,46.49,46.8,4482570.0,372829300.0,83.17312,487435291.2,sw_801150,医药生物,q2,mid_beta,risk_on,True,64399,125,124,True,123,0.09860099672067274,179,True,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_selected_SZ000538_2020-02-21,selected
SH600340,2020-02-21,train,18.06,18.06,17.84,17.91,12507000.0,310112000.0,24.795074,332597344.0,sw_801180,房地产,q2,mid_beta,risk_on,True,12885,125,125,True,124,0.09643990747750766,179,True,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_selected_SH600340_2020-02-21,selected
SH603288,2020-02-21,train,46.82,47.12,46.41,46.67,3195217.0,334703520.0,104.75142,433290898.4,sw_801120,食品饮料,q2,low_beta,risk_on,True,56347,125,125,True,124,0.09456830617273226,179,True,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_selected_SH603288_2020-02-21,selected
SH600036,2020-02-21,train,27.17,27.19,26.85,26.98,73031470.0,2603112400.0,35.643707,2287246054.4,sw_801780,银行,q5,low_beta,risk_on,True,6255,125,125,True,124,0.08769244731463972,179,True,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_selected_SH600036_2020-02-21,selected
SZ001979,2020-02-21,train,14.5,14.54,14.33,14.49,11828496.0,212208860.0,17.940477,278551257.6,sw_801180,房地产,q1,mid_beta,risk_on,True,72008,125,125,True,124,0.08486494254846606,179,True,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_selected_SZ001979_2020-02-21,selected
SH601808,2020-02-21,train,16.72,16.98,16.49,16.78,7757737.0,139281860.0,17.953928,222604325.6,sw_801960,石油石化,q1,high_beta,risk_on,True,46482,125,125,True,124,0.08427479181573877,179,True,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_selected_SH601808_2020-02-21,selected
SZ002142,2020-02-21,train,22.19,22.23,21.88,22.13,27242394.0,720207800.0,26.437023,711726468.8,sw_801780,银行,q3,mid_beta,risk_on,True,75050,125,125,True,124,0.08141574395009346,179,True,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_selected_SZ002142_2020-02-21,selected
SH600809,2020-02-21,train,58.99,59.65,58.71,59.16,3726487.0,335840860.0,90.12264,470824073.6,sw_801120,食品饮料,q2,mid_beta,risk_on,True,22711,125,124,True,123,0.07939194038139308,179,True,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_selected_SH600809_2020-02-21,selected
SH600276,2020-02-21,train,61.43,61.69,61.14,61.35,19334718.0,1743550000.0,90.17716,2176753088.0,sw_801150,医药生物,q5,low_beta,risk_on,True,11798,125,125,True,124,0.07739949949656523,179,True,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_selected_SH600276_2020-02-21,selected
SZ000002,2020-02-21,train,24.34,24.34,23.68,23.89,105920150.0,3098548200.0,29.253624,2532901401.6,sw_801180,房地产,q5,mid_beta,risk_on,True,60710,125,125,True,124,0.07619836640116127,179,True,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_selected_SZ000002_2020-02-21,selected
