threshold_id,split_bucket,phase_scheme,primary_support_gate_threshold,primary_improvement_split,baseline_unit,phased_unit,representative_disagreement_share_baseline,representative_disagreement_share_phased,representative_disagreement_share_baseline_anchor_weighted,representative_disagreement_share_phased_anchor_weighted,internal_entropy_median_baseline,internal_entropy_median_phased,internal_entropy_p75_baseline,internal_entropy_p75_phased,disagreement_reduction,disagreement_reduction_anchor_weighted,eligible_phase_subgroup_n,sparse_phase_subgroup_share,subgroup_weighting,baseline_source,primary_gate_metric
up100pct,train,pit,False,True,cluster_medoid_15b,cluster_phase_subgroup_15c,0.8046448087431693,0.6352459016393442,0.8568383787298606,0.7342677552199985,0.624015220270972,0.5599863374195385,0.7700297835155097,0.803620847987037,0.1693989071038251,0.12257062350986203,732,0.06520784790463648,anchor_weighted,15B_representative_anchor_audit,anchor_weighted
up50pct,train,pit,True,True,cluster_medoid_15b,cluster_phase_subgroup_15c,0.8925373134328358,0.741044776119403,0.9383903930782427,0.8443909897814574,0.6990042589540344,0.697025835410436,0.8069122361449409,0.8560501864222805,0.15149253731343282,0.09399940329678524,1340,0.0589432677628231,anchor_weighted,15B_representative_anchor_audit,anchor_weighted
up150pct,train,pit,False,True,cluster_medoid_15b,cluster_phase_subgroup_15c,0.713953488372093,0.5302325581395348,0.7675467259181806,0.62939485034636,0.4431916079291613,0.33540603527399526,0.6962122601251459,0.749003517500168,0.1837209302325582,0.13815187557182063,430,0.07040884514914039,anchor_weighted,15B_representative_anchor_audit,anchor_weighted
up50pct,robustness,pit,True,False,cluster_medoid_15b,cluster_phase_subgroup_15c,0.9112627986348123,0.7474402730375427,0.951221905977034,0.8192168024339974,0.7252743691492982,0.7424875695421236,0.8574439491212198,0.8875019271980836,0.16382252559726962,0.13200510354303663,293,0.0885589050899007,anchor_weighted,15B_representative_anchor_audit,anchor_weighted
up100pct,robustness,pit,False,False,cluster_medoid_15b,cluster_phase_subgroup_15c,0.7291666666666666,0.5763888888888888,0.7431210313642486,0.6357513950355974,0.6629067298333806,0.5022753534664863,0.8290590693996657,0.7726806871215912,0.1527777777777778,0.10736963632865115,144,0.07854609929078014,anchor_weighted,15B_representative_anchor_audit,anchor_weighted
up150pct,robustness,pit,False,False,cluster_medoid_15b,cluster_phase_subgroup_15c,0.4946236559139785,0.46236559139784944,0.5208395802098951,0.49775112443778113,0.4429096873660949,0.25186284771956513,0.7273925474243981,0.7495952572594798,0.03225806451612906,0.023088455772113936,93,0.08529895776193089,anchor_weighted,15B_representative_anchor_audit,anchor_weighted
up50pct,validation,pit,True,False,cluster_medoid_15b,cluster_phase_subgroup_15c,0.6842105263157895,0.5,0.6546762589928058,0.5095923261390888,0.6073776244662574,0.5790911425676164,0.7815530806995634,0.856331062674073,0.1842105263157895,0.145083932853717,38,0.21690140845070421,anchor_weighted,15B_representative_anchor_audit,anchor_weighted
up100pct,validation,pit,False,False,cluster_medoid_15b,cluster_phase_subgroup_15c,0.5555555555555556,0.6666666666666666,0.7188940092165899,0.728110599078341,0.891934269897121,0.8365839955208766,0.9997615248696312,0.8524051786494784,-0.11111111111111105,-0.009216589861751112,9,0.1422924901185771,anchor_weighted,15B_representative_anchor_audit,anchor_weighted
up150pct,validation,pit,False,False,cluster_medoid_15b,cluster_phase_subgroup_15c,0.8,0.8,0.9295774647887324,0.9295774647887324,0.8416722947964735,0.9202858428640652,0.9783418548745878,0.9649567669505686,0.0,0.0,5,0.08387096774193549,anchor_weighted,15B_representative_anchor_audit,anchor_weighted
up100pct,train,outcome,False,True,cluster_medoid_15b,cluster_phase_subgroup_15c,0.8081705150976909,0.4920071047957371,0.8442662948762635,0.5529452771000348,0.6321833181056934,0.3629266038255489,0.790088942294216,0.7896316680248283,0.3161634103019538,0.29132101777622865,563,0.03116874345726539,anchor_weighted,15B_representative_anchor_audit,anchor_weighted
