threshold_id,split_bucket,phase_scheme,primary_support_gate_threshold,random_baseline_seed,random_baseline_repeat_n,min_phase_subgroup_anchor_n,subgroup_weighting,eligible_phase_subgroup_n,mean_dominant_share_phase,mean_dominant_share_random,dominant_share_uplift_vs_random,mean_internal_entropy_phase,mean_internal_entropy_random,internal_entropy_reduction_vs_random,sparse_phase_subgroup_share,phase_split_is_real,random_baseline_status
up100pct,train,pit,False,151503,20,10,anchor_weighted,732,0.7653709992052597,0.7292048984899935,0.03616610071526627,0.5308077916509107,0.5865963062583315,0.055788514607420736,0.06520784790463648,False,pass
up50pct,train,pit,True,151503,20,10,anchor_weighted,1340,0.6572685910345342,0.6125177146266876,0.044750876407846585,0.6436079351345931,0.6887534816692047,0.04514554653461156,0.0589432677628231,False,pass
up150pct,train,pit,False,151503,20,10,anchor_weighted,430,0.8293687099725526,0.8068879884982355,0.022480721474317122,0.42450072189562826,0.4712612337918043,0.04676051189617603,0.07040884514914039,False,pass
up50pct,robustness,pit,True,151503,20,10,anchor_weighted,293,0.6803415448032192,0.6233830601629208,0.0569584846402984,0.675540005657535,0.729959708906265,0.05441970324873002,0.0885589050899007,False,pass
up100pct,robustness,pit,False,151503,20,10,anchor_weighted,144,0.7898787762170483,0.7394554550702328,0.05042332114681547,0.5071092133362213,0.6008493589976016,0.09374014566138034,0.07854609929078014,False,pass
up150pct,robustness,pit,False,151503,20,10,anchor_weighted,93,0.846776611694153,0.7977811094452774,0.04899550224887561,0.39429176731437743,0.4557990632642868,0.06150729594990939,0.08529895776193089,False,pass
up50pct,validation,pit,True,151503,20,10,anchor_weighted,38,0.7733812949640287,0.7599520383693046,0.01342925659472416,0.4917720697420599,0.4981293314731884,0.006357261731128494,0.21690140845070421,False,pass
up100pct,validation,pit,False,151503,20,10,anchor_weighted,9,0.6728110599078341,0.6255760368663594,0.047235023041474644,0.755738966260139,0.8130573033894924,0.057318337129353414,0.1422924901185771,False,pass
up150pct,validation,pit,False,151503,20,10,anchor_weighted,5,0.6338028169014085,0.5246478873239436,0.10915492957746487,0.8617520170140344,0.8372967507275243,-0.02445526628651007,0.08387096774193549,False,pass
up100pct,train,outcome,False,151503,20,10,anchor_weighted,563,0.8369466713140467,0.7317305681422098,0.10521610317183683,0.42791004550626816,0.5787766814780488,0.15086663597178068,0.03116874345726539,True,pass
up50pct,train,outcome,True,151503,20,10,anchor_weighted,1081,0.727198341697578,0.6139046476107353,0.11329369408684276,0.5764956519913637,0.6808854063832033,0.10438975439183962,0.03493779282994367,True,pass
up150pct,train,outcome,False,151503,20,10,anchor_weighted,333,0.8918969496600336,0.8107884723348512,0.08110847732518245,0.2942901539743958,0.46137988500326743,0.16708973102887165,0.02612234979648867,False,pass
up50pct,robustness,outcome,True,151503,20,10,anchor_weighted,265,0.7392134402443681,0.6256872852233677,0.11352615502100039,0.5798340440459987,0.7250196961590712,0.14518565211307255,0.06288576795777798,True,pass
up100pct,robustness,outcome,False,151503,20,10,anchor_weighted,115,0.8309519391352755,0.7374837632213769,0.09346817591389867,0.3933368581665062,0.6013223117854634,0.20798545361895715,0.04450354609929078,False,pass
up150pct,robustness,outcome,False,151503,20,10,anchor_weighted,73,0.8655868144359193,0.8015203182722365,0.06406649616368287,0.3384513006488768,0.44141805810539936,0.10296675745652256,0.03483269336258914,False,pass
up50pct,validation,outcome,True,151503,20,10,anchor_weighted,36,0.8449781659388647,0.7701419213973799,0.07483624454148474,0.4026008349593776,0.482186966830327,0.07958613187094943,0.13990610328638498,False,pass
up100pct,validation,outcome,False,151503,20,10,anchor_weighted,10,0.746606334841629,0.6257918552036199,0.12081447963800906,0.6668734554635146,0.7959605035405545,0.12908704807703986,0.12648221343873517,True,pass
up150pct,validation,outcome,False,151503,20,10,anchor_weighted,7,0.7847222222222222,0.5302083333333333,0.25451388888888893,0.5982025096810728,0.83695590047958,0.23875339079850721,0.07096774193548387,True,pass
