threshold_id,split_bucket,phase_scheme,primary_support_gate_threshold,baseline_unclassified_or_mixed_share,single_subtype_coverage,mixed_share,sparse_phase_subgroup_share,capture_friendly_subtype_share,coverage_improvement,coverage_denominator
up100pct,train,pit,False,0.2356735217640901,0.28396312430351534,0.6508290277918481,0.06520784790463648,0.20568669165569176,-0.4803633539323946,eligible_primary_anchor
up50pct,train,pit,True,0.39621317142506185,0.11876392861529822,0.8222928036218786,0.0589432677628231,0.0454314141821819,-0.48502289995963993,eligible_primary_anchor
up150pct,train,pit,False,0.1771459814106069,0.35708644675293116,0.5725047080979284,0.07040884514914039,0.2741024239110625,-0.46576757183646195,eligible_primary_anchor
up50pct,robustness,pit,True,0.46775203506574825,0.08802218445299222,0.823418910457107,0.0885589050899007,0.06950532247964934,-0.44422578048125955,eligible_primary_anchor
up100pct,robustness,pit,False,0.28634751773049644,0.2641843971631206,0.6572695035460993,0.07854609929078014,0.25390070921985813,-0.44946808510638303,eligible_primary_anchor
up150pct,robustness,pit,False,0.18431157432803072,0.3875479978058146,0.5271530444322545,0.08529895776193089,0.3875479978058146,-0.4281404278661547,eligible_primary_anchor
up50pct,validation,pit,True,0.2535211267605634,0.2347417840375587,0.5483568075117371,0.21690140845070421,0.03474178403755868,-0.511737089201878,eligible_primary_anchor
up100pct,validation,pit,False,0.1067193675889328,0.2924901185770751,0.5652173913043478,0.1422924901185771,0.233201581027668,-0.6007905138339921,eligible_primary_anchor
up150pct,validation,pit,False,0.16129032258064516,0.1870967741935484,0.7290322580645161,0.08387096774193549,0.0,-0.6516129032258065,eligible_primary_anchor
up100pct,train,outcome,False,0.2356735217640901,0.5817715192651876,0.387059737277547,0.03116874345726539,0.39273292135210885,-0.18255495897072238,eligible_primary_anchor
up50pct,train,outcome,True,0.39621317142506185,0.2851176584133223,0.679944548756734,0.03493779282994367,0.11965886956674329,-0.31866917016161583,eligible_primary_anchor
up150pct,train,outcome,False,0.1771459814106069,0.6579187169673775,0.3159589332361339,0.02612234979648867,0.4714780390012757,-0.16493530162201564,eligible_primary_anchor
up50pct,robustness,outcome,True,0.46775203506574825,0.22586993469898917,0.7112442973432328,0.06288576795777798,0.17085606941586903,-0.30637803023526256,eligible_primary_anchor
up100pct,robustness,outcome,False,0.28634751773049644,0.5031914893617021,0.4523049645390071,0.04450354609929078,0.48829787234042554,-0.21046099290780151,eligible_primary_anchor
up150pct,robustness,outcome,False,0.18431157432803072,0.6376851343938563,0.3274821722435546,0.03483269336258914,0.6283598464070214,-0.17800329127811299,eligible_primary_anchor
up50pct,validation,outcome,True,0.2535211267605634,0.4516431924882629,0.4084507042253521,0.13990610328638498,0.07042253521126761,-0.2948356807511737,eligible_primary_anchor
up100pct,validation,outcome,False,0.1067193675889328,0.3952569169960474,0.4782608695652174,0.12648221343873517,0.3952569169960474,-0.4980237154150197,eligible_primary_anchor
up150pct,validation,outcome,False,0.16129032258064516,0.6258064516129033,0.3032258064516129,0.07096774193548387,0.6258064516129033,-0.2129032258064516,eligible_primary_anchor
