phase_scheme,rule_id,fit_split,fit_population_filter,fit_population_n,feature_id,quantile_name,quantile_value,predicate_expression,predicate_priority,missing_feature_count,conflict_policy,upgradeable_to_t0_feature,cross_split_excluded_from_fit,entry_phase_rule_fit_status,entry_phase_provenance_status
pit,q_ret60d_30,train,eligible_primary_anchor and threshold_id == selected_threshold_id and cluster_split_bucket == train; cross_split and boundary-touching clusters excluded,56987,ret60d_30,q_ret60d_30,-0.004994293865905891,,,0,priority_order_late_breakout_early_mid_undetermined,True,True,pass,pass
pit,q_ret60d_50,train,eligible_primary_anchor and threshold_id == selected_threshold_id and cluster_split_bucket == train; cross_split and boundary-touching clusters excluded,56987,ret60d_50,q_ret60d_50,0.10126582278481,,,0,priority_order_late_breakout_early_mid_undetermined,True,True,pass,pass
pit,q_ret60d_70,train,eligible_primary_anchor and threshold_id == selected_threshold_id and cluster_split_bucket == train; cross_split and boundary-touching clusters excluded,56987,ret60d_70,q_ret60d_70,0.22901705544206374,,,0,priority_order_late_breakout_early_mid_undetermined,True,True,pass,pass
pit,q_distance_to_60d_high_70,train,eligible_primary_anchor and threshold_id == selected_threshold_id and cluster_split_bucket == train; cross_split and boundary-touching clusters excluded,56987,distance_to_60d_high_70,q_distance_to_60d_high_70,-0.05494505494505497,,,0,priority_order_late_breakout_early_mid_undetermined,True,True,pass,pass
pit,q_distance_to_60d_high_90,train,eligible_primary_anchor and threshold_id == selected_threshold_id and cluster_split_bucket == train; cross_split and boundary-touching clusters excluded,56987,distance_to_60d_high_90,q_distance_to_60d_high_90,-0.021546177035744105,,,0,priority_order_late_breakout_early_mid_undetermined,True,True,pass,pass
pit,q_distance_to_20d_low_30,train,eligible_primary_anchor and threshold_id == selected_threshold_id and cluster_split_bucket == train; cross_split and boundary-touching clusters excluded,56987,distance_to_20d_low_30,q_distance_to_20d_low_30,0.061969026191207276,,,0,priority_order_late_breakout_early_mid_undetermined,True,True,pass,pass
pit,q_distance_to_20d_low_70,train,eligible_primary_anchor and threshold_id == selected_threshold_id and cluster_split_bucket == train; cross_split and boundary-touching clusters excluded,56987,distance_to_20d_low_70,q_distance_to_20d_low_70,0.16350792472530606,,,0,priority_order_late_breakout_early_mid_undetermined,True,True,pass,pass
pit,q_trend_ma_20_60_spread_50,train,eligible_primary_anchor and threshold_id == selected_threshold_id and cluster_split_bucket == train; cross_split and boundary-touching clusters excluded,56987,trend_ma_20_60_spread_50,q_trend_ma_20_60_spread_50,0.03456741741395608,,,0,priority_order_late_breakout_early_mid_undetermined,True,True,pass,pass
pit,predicate_late_chase_pit,train,eligible_primary_anchor and threshold_id == selected_threshold_id and cluster_split_bucket == train; cross_split and boundary-touching clusters excluded,56987,PIT_morphology_bundle,,,ret_60d >= q_ret60d_70 and distance_to_20d_low >= q_distance_to_20d_low_70,1.0,0,priority_order_late_breakout_early_mid_undetermined,True,True,pass,pass
pit,predicate_breakout_pit,train,eligible_primary_anchor and threshold_id == selected_threshold_id and cluster_split_bucket == train; cross_split and boundary-touching clusters excluded,56987,PIT_morphology_bundle,,,distance_to_60d_high >= q_distance_to_60d_high_90 and not predicate_late_chase_pit,2.0,0,priority_order_late_breakout_early_mid_undetermined,True,True,pass,pass
pit,predicate_early_base_pit,train,eligible_primary_anchor and threshold_id == selected_threshold_id and cluster_split_bucket == train; cross_split and boundary-touching clusters excluded,56987,PIT_morphology_bundle,,,ret_60d <= q_ret60d_30 and distance_to_20d_low <= q_distance_to_20d_low_30 and distance_to_60d_high < q_distance_to_60d_high_70,3.0,0,priority_order_late_breakout_early_mid_undetermined,True,True,pass,pass
pit,predicate_mid_trend_pit,train,eligible_primary_anchor and threshold_id == selected_threshold_id and cluster_split_bucket == train; cross_split and boundary-touching clusters excluded,56987,PIT_morphology_bundle,,,ret_60d > q_ret60d_50 and trend_ma_20_60_spread >= q_trend_ma_20_60_spread_50 and distance_to_60d_high < q_distance_to_60d_high_90 and not predicate_late_chase_pit and not predicate_breakout_pit,4.0,0,priority_order_late_breakout_early_mid_undetermined,True,True,pass,pass
outcome,cluster_progress_cutoffs,train,deterministic descriptor; no fit; cross_split excluded from support gates,0,cluster_progress,,,progress <= 0.25 / <= 0.60 / <= 0.80 / > 0.80,1.0,0,closed_intervals_ordered_by_cutoff,False,True,pass,pass
