threshold_id,phase_scheme,subtype_0p70,subtype_anchor_n,subtype_anchor_share,threshold_sensitivity_role
up100pct,pit,sparse_phase_subgroup,2410,0.06787585196868134,readout_only_not_primary_decision
up50pct,pit,sparse_phase_subgroup,4580,0.0661553350377721,primary_support_threshold
up50pct,pit,mixed_episode_winner,56649,0.8182606057979807,primary_support_threshold
up100pct,pit,mixed_episode_winner,23123,0.6512420435982651,readout_only_not_primary_decision
up100pct,pit,late_rescue_winner,2232,0.06286261476933476,readout_only_not_primary_decision
up150pct,pit,stair_step_winner,5625,0.27761326621261473,readout_only_not_primary_decision
up150pct,pit,mixed_episode_winner,11459,0.5655414075609515,readout_only_not_primary_decision
up150pct,pit,sparse_phase_subgroup,1483,0.07319119534103248,readout_only_not_primary_decision
up100pct,pit,stair_step_winner,6786,0.1911226271616065,readout_only_not_primary_decision
up50pct,pit,smooth_trend_winner,1341,0.019369935433548556,primary_support_threshold
up50pct,pit,stair_step_winner,2062,0.0297843451632939,primary_support_threshold
up150pct,pit,late_rescue_winner,1318,0.06504787286546244,readout_only_not_primary_decision
up50pct,pit,late_rescue_winner,4024,0.058124250696942124,primary_support_threshold
up150pct,pit,slow_grind_winner,46,0.0022702595992498274,readout_only_not_primary_decision
up50pct,pit,choppy_reversal_winner,101,0.0014588840259421357,primary_support_threshold
up100pct,pit,smooth_trend_winner,761,0.021432997239903114,readout_only_not_primary_decision
up150pct,pit,smooth_trend_winner,254,0.012535781265422959,readout_only_not_primary_decision
up50pct,pit,jump_repricing_winner,474,0.006846643844520518,primary_support_threshold
up100pct,pit,slow_grind_winner,35,0.0009857488875119698,readout_only_not_primary_decision
up100pct,pit,jump_repricing_winner,159,0.004478116374697234,readout_only_not_primary_decision
up150pct,pit,jump_repricing_winner,77,0.003800217155266015,readout_only_not_primary_decision
up100pct,outcome,sparse_phase_subgroup,1206,0.03396609023826959,readout_only_not_primary_decision
up50pct,outcome,mixed_episode_winner,47134,0.6808221750371943,primary_support_threshold
up50pct,outcome,smooth_trend_winner,3595,0.05192760468576216,primary_support_threshold
up100pct,outcome,late_rescue_winner,5328,0.1500591449332507,readout_only_not_primary_decision
up100pct,outcome,mixed_episode_winner,14134,0.39807356503126234,readout_only_not_primary_decision
up100pct,outcome,stair_step_winner,12543,0.3532642370303611,readout_only_not_primary_decision
up150pct,outcome,mixed_episode_winner,6442,0.31793505083407364,readout_only_not_primary_decision
up150pct,outcome,stair_step_winner,9350,0.46145494028230183,readout_only_not_primary_decision
up150pct,outcome,smooth_trend_winner,605,0.02985884907709012,readout_only_not_primary_decision
up50pct,outcome,late_rescue_winner,8798,0.12708179861622684,primary_support_threshold
up50pct,outcome,sparse_phase_subgroup,2843,0.04106541867082665,primary_support_threshold
up100pct,outcome,slow_grind_winner,142,0.003999324057905706,readout_only_not_primary_decision
up50pct,outcome,stair_step_winner,5209,0.07524086030824342,primary_support_threshold
up150pct,outcome,late_rescue_winner,2942,0.14519790741289113,readout_only_not_primary_decision
up150pct,outcome,sparse_phase_subgroup,568,0.028032770703780477,readout_only_not_primary_decision
up50pct,outcome,jump_repricing_winner,1397,0.020178821626150135,primary_support_threshold
up150pct,outcome,slow_grind_winner,194,0.009574573092488402,readout_only_not_primary_decision
up100pct,outcome,smooth_trend_winner,1799,0.05066749281811525,readout_only_not_primary_decision
up50pct,outcome,choppy_reversal_winner,255,0.0036833210555964812,primary_support_threshold
up100pct,outcome,jump_repricing_winner,354,0.009970145890835351,readout_only_not_primary_decision
up150pct,outcome,jump_repricing_winner,161,0.007945908597374396,readout_only_not_primary_decision
