threshold_id,split_bucket,phase_scheme,episode_cluster_id,cluster_anchor_n,cluster_subtype_set,cluster_phase_resolved,cluster_single_subtype_after_phase,cluster_residual_mixed_share,cluster_sparse_phase_anchor_share,cluster_outcome_only_descriptor_flag
up100pct,train,pit,up100pct::SH600004::000000,1,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,train,pit,up50pct::SH600004::000000,69,mixed_episode_winner|sparse_phase_subgroup,False,False,0.782608695652174,0.21739130434782608,False
up100pct,train,pit,up100pct::SH600009::000000,5,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,train,pit,up50pct::SH600009::000000,54,mixed_episode_winner|sparse_phase_subgroup,False,False,0.8333333333333334,0.16666666666666666,False
up100pct,train,pit,up100pct::SH600010::000000,370,late_rescue_winner|mixed_episode_winner|sparse_phase_subgroup,True,True,0.8918918918918919,0.021621621621621623,False
up150pct,train,pit,up150pct::SH600010::000000,305,mixed_episode_winner|sparse_phase_subgroup|stair_step_winner,True,True,0.46885245901639344,0.02622950819672131,False
up50pct,train,pit,up50pct::SH600010::000000,393,mixed_episode_winner|sparse_phase_subgroup,False,False,0.9847328244274809,0.015267175572519083,False
up50pct,train,pit,up50pct::SH600018::000000,13,mixed_episode_winner|sparse_phase_subgroup,False,False,0.7692307692307693,0.23076923076923078,False
up100pct,train,pit,up100pct::SH600019::000000,216,mixed_episode_winner|sparse_phase_subgroup|stair_step_winner,True,True,0.8379629629629629,0.041666666666666664,False
up150pct,train,pit,up150pct::SH600019::000000,90,mixed_episode_winner|sparse_phase_subgroup|stair_step_winner,True,True,0.5888888888888889,0.06666666666666667,False
up50pct,train,pit,up50pct::SH600019::000000,317,mixed_episode_winner,False,False,1.0,0.0,False
up100pct,train,pit,up100pct::SH600031::000000,39,mixed_episode_winner|sparse_phase_subgroup,False,False,0.8205128205128205,0.1794871794871795,False
up50pct,train,pit,up50pct::SH600031::000000,83,mixed_episode_winner|smooth_trend_winner|sparse_phase_subgroup,True,True,0.5542168674698795,0.0963855421686747,False
up100pct,train,pit,up100pct::SH600036::000000,28,mixed_episode_winner|sparse_phase_subgroup|stair_step_winner,True,True,0.5357142857142857,0.07142857142857142,False
