threshold_id,split_bucket,phase_scheme,subtype_0p70,subtype_anchor_n,subtype_anchor_share
up100pct,train,pit,sparse_phase_subgroup,1931,0.06520784790463648
up50pct,train,pit,sparse_phase_subgroup,3359,0.0589432677628231
up50pct,train,pit,mixed_episode_winner,46860,0.8222928036218786
up100pct,train,pit,mixed_episode_winner,19273,0.6508290277918481
up100pct,train,pit,late_rescue_winner,2232,0.07537230270489312
up150pct,train,pit,stair_step_winner,4275,0.259704756697649
up150pct,train,pit,mixed_episode_winner,9424,0.5725047080979284
up150pct,train,pit,sparse_phase_subgroup,1159,0.07040884514914039
up100pct,train,pit,stair_step_winner,5441,0.18373687231958938
up50pct,train,pit,smooth_trend_winner,1029,0.018056749785038694
up50pct,train,pit,stair_step_winner,1560,0.027374664397143207
up50pct,robustness,pit,mixed_episode_winner,9205,0.823418910457107
up150pct,train,pit,late_rescue_winner,1318,0.08006803960877225
up50pct,train,pit,late_rescue_winner,3864,0.06780493796830857
up150pct,train,pit,slow_grind_winner,46,0.0027944839317173924
up50pct,robustness,pit,sparse_phase_subgroup,990,0.0885589050899007
up100pct,robustness,pit,sparse_phase_subgroup,443,0.07854609929078014
up50pct,robustness,pit,stair_step_winner,477,0.042669290634224886
up50pct,train,pit,choppy_reversal_winner,64,0.0011230631547545931
up100pct,train,pit,smooth_trend_winner,615,0.020767905987235335
up100pct,robustness,pit,stair_step_winner,1335,0.23670212765957446
up100pct,robustness,pit,mixed_episode_winner,3707,0.6572695035460993
up150pct,robustness,pit,sparse_phase_subgroup,311,0.08529895776193089
up50pct,validation,pit,late_rescue_winner,160,0.15023474178403756
up50pct,validation,pit,mixed_episode_winner,584,0.5483568075117371
up150pct,train,pit,smooth_trend_winner,191,0.01160318328169613
up50pct,validation,pit,sparse_phase_subgroup,231,0.21690140845070421
up50pct,robustness,pit,choppy_reversal_winner,37,0.003309777260935683
up50pct,robustness,pit,smooth_trend_winner,300,0.026836031845424456
up150pct,robustness,pit,smooth_trend_winner,63,0.01727921009325288
up100pct,validation,pit,sparse_phase_subgroup,36,0.1422924901185771
up100pct,validation,pit,stair_step_winner,10,0.039525691699604744
up150pct,robustness,pit,mixed_episode_winner,1922,0.5271530444322545
up150pct,robustness,pit,stair_step_winner,1350,0.3702687877125617
up100pct,validation,pit,mixed_episode_winner,143,0.5652173913043478
up150pct,validation,pit,mixed_episode_winner,113,0.7290322580645161
up150pct,validation,pit,sparse_phase_subgroup,13,0.08387096774193549
up50pct,train,pit,jump_repricing_winner,251,0.00440451331005317
up100pct,robustness,pit,smooth_trend_winner,97,0.01719858156028369
up100pct,train,pit,slow_grind_winner,35,0.0011819133488670517
up100pct,train,pit,jump_repricing_winner,86,0.00290412994293047
up150pct,train,pit,jump_repricing_winner,48,0.00291598323309641
up50pct,robustness,pit,jump_repricing_winner,170,0.015207084712407191
up100pct,validation,pit,smooth_trend_winner,49,0.19367588932806323
up100pct,validation,pit,jump_repricing_winner,15,0.05928853754940711
up50pct,validation,pit,jump_repricing_winner,53,0.04976525821596244
up150pct,validation,pit,jump_repricing_winner,29,0.1870967741935484
up100pct,robustness,pit,jump_repricing_winner,58,0.01028368794326241
up50pct,validation,pit,smooth_trend_winner,12,0.011267605633802818
