threshold_id,split_bucket,phase_scheme,entry_phase_value,episode_cluster_id,anchor_n,eligible_phase_subgroup,sparse_phase_subgroup,distinct_path_type_n,path_type_distribution_vector,dominant_path_type,dominant_share,internal_entropy,subgroup_earliest_anchor_path_type,subgroup_shortest_duration_anchor_path_type,subgroup_medoid_anchor_path_type,subgroup_representative_disagreement,subtype_0p70,subtype_0p75,subtype_assignment_status
up100pct,train,pit,undetermined_pit,up100pct::SH600004::000000,1,False,True,1,"{""smooth_trend_winner"": 1.0}",smooth_trend_winner,1.0,0.0,smooth_trend_winner,smooth_trend_winner,smooth_trend_winner,False,sparse_phase_subgroup,sparse_phase_subgroup,pass
up50pct,train,pit,undetermined_pit,up50pct::SH600004::000000,8,False,True,2,"{""smooth_trend_winner"": 0.125, ""unclassified_mixed_path"": 0.875}",unclassified_mixed_path,0.875,0.5435644431995964,unclassified_mixed_path,smooth_trend_winner,unclassified_mixed_path,True,sparse_phase_subgroup,sparse_phase_subgroup,pass
up50pct,train,pit,breakout_pit,up50pct::SH600004::000000,7,False,True,3,"{""choppy_reversal_winner"": 0.2857142857142857, ""smooth_trend_winner"": 0.2857142857142857, ""unclassified_mixed_path"": 0.42857142857142855}",unclassified_mixed_path,0.42857142857142855,0.9821410328348751,unclassified_mixed_path,smooth_trend_winner,unclassified_mixed_path,True,sparse_phase_subgroup,sparse_phase_subgroup,pass
up50pct,train,pit,late_chase_pit,up50pct::SH600004::000000,23,True,False,3,"{""smooth_trend_winner"": 0.6086956521739131, ""stair_step_winner"": 0.34782608695652173, ""unclassified_mixed_path"": 0.043478260869565216}",smooth_trend_winner,0.6086956521739131,0.73349578133178,smooth_trend_winner,smooth_trend_winner,stair_step_winner,True,mixed_episode_winner,mixed_episode_winner,pass
up50pct,train,pit,mid_trend_pit,up50pct::SH600004::000000,31,True,False,3,"{""smooth_trend_winner"": 0.5483870967741935, ""stair_step_winner"": 0.0967741935483871, ""unclassified_mixed_path"": 0.3548387096774194}",smooth_trend_winner,0.5483870967741935,0.840247456648978,smooth_trend_winner,smooth_trend_winner,smooth_trend_winner,False,mixed_episode_winner,mixed_episode_winner,pass
up100pct,train,pit,undetermined_pit,up100pct::SH600009::000000,5,False,True,1,"{""stair_step_winner"": 1.0}",stair_step_winner,1.0,0.0,stair_step_winner,stair_step_winner,stair_step_winner,False,sparse_phase_subgroup,sparse_phase_subgroup,pass
up50pct,train,pit,undetermined_pit,up50pct::SH600009::000000,23,True,False,3,"{""smooth_trend_winner"": 0.34782608695652173, ""stair_step_winner"": 0.043478260869565216, ""unclassified_mixed_path"": 0.6086956521739131}",unclassified_mixed_path,0.6086956521739131,0.73349578133178,unclassified_mixed_path,smooth_trend_winner,unclassified_mixed_path,True,mixed_episode_winner,mixed_episode_winner,pass_undetermined_pit_residual
up50pct,train,pit,breakout_pit,up50pct::SH600009::000000,9,False,True,3,"{""smooth_trend_winner"": 0.3333333333333333, ""stair_step_winner"": 0.1111111111111111, ""unclassified_mixed_path"": 0.5555555555555556}",unclassified_mixed_path,0.5555555555555556,0.8527924884900404,unclassified_mixed_path,smooth_trend_winner,unclassified_mixed_path,True,sparse_phase_subgroup,sparse_phase_subgroup,pass
up50pct,train,pit,mid_trend_pit,up50pct::SH600009::000000,22,True,False,3,"{""smooth_trend_winner"": 0.6818181818181818, ""stair_step_winner"": 0.13636363636363635, ""unclassified_mixed_path"": 0.18181818181818182}",smooth_trend_winner,0.6818181818181818,0.7671316904273879,unclassified_mixed_path,smooth_trend_winner,smooth_trend_winner,True,mixed_episode_winner,mixed_episode_winner,pass
up100pct,train,pit,early_base_pit,up100pct::SH600010::000000,163,True,False,4,"{""late_rescue_winner"": 0.049079754601226995, ""smooth_trend_winner"": 0.1165644171779141, ""stair_step_winner"": 0.3496932515337423, ""unclassified_mixed_path"": 0.48466257668711654}",unclassified_mixed_path,0.48466257668711654,0.80570140021735,late_rescue_winner,smooth_trend_winner,stair_step_winner,True,mixed_episode_winner,mixed_episode_winner,pass
up100pct,train,pit,undetermined_pit,up100pct::SH600010::000000,153,True,False,4,"{""late_rescue_winner"": 0.0784313725490196, ""smooth_trend_winner"": 0.13725490196078433, ""stair_step_winner"": 0.6405228758169934, ""unclassified_mixed_path"": 0.1437908496732026}",stair_step_winner,0.6405228758169934,0.747624391214565,late_rescue_winner,smooth_trend_winner,stair_step_winner,True,mixed_episode_winner,mixed_episode_winner,pass_undetermined_pit_residual
up100pct,train,pit,breakout_pit,up100pct::SH600010::000000,8,False,True,4,"{""late_rescue_winner"": 0.25, ""smooth_trend_winner"": 0.125, ""stair_step_winner"": 0.375, ""unclassified_mixed_path"": 0.25}",stair_step_winner,0.375,0.9528195311147832,late_rescue_winner,smooth_trend_winner,stair_step_winner,True,sparse_phase_subgroup,sparse_phase_subgroup,pass
up100pct,train,pit,mid_trend_pit,up100pct::SH600010::000000,32,True,False,2,"{""late_rescue_winner"": 0.9375, ""stair_step_winner"": 0.0625}",late_rescue_winner,0.9375,0.3372900666170139,late_rescue_winner,stair_step_winner,late_rescue_winner,True,late_rescue_winner,late_rescue_winner,pass
up100pct,train,pit,late_chase_pit,up100pct::SH600010::000000,14,True,False,4,"{""late_rescue_winner"": 0.6428571428571429, ""smooth_trend_winner"": 0.07142857142857142, ""stair_step_winner"": 0.21428571428571427, ""unclassified_mixed_path"": 0.07142857142857142}",late_rescue_winner,0.6428571428571429,0.7149555854879348,late_rescue_winner,smooth_trend_winner,late_rescue_winner,True,mixed_episode_winner,mixed_episode_winner,pass
up150pct,train,pit,early_base_pit,up150pct::SH600010::000000,154,True,False,4,"{""late_rescue_winner"": 0.025974025974025976, ""smooth_trend_winner"": 0.12337662337662338, ""stair_step_winner"": 0.7012987012987013, ""unclassified_mixed_path"": 0.14935064935064934}",stair_step_winner,0.7012987012987013,0.6389763937942234,late_rescue_winner,smooth_trend_winner,stair_step_winner,True,stair_step_winner,mixed_episode_winner,pass
up150pct,train,pit,undetermined_pit,up150pct::SH600010::000000,143,True,False,4,"{""late_rescue_winner"": 0.04895104895104895, ""smooth_trend_winner"": 0.11188811188811189, ""stair_step_winner"": 0.8181818181818182, ""unclassified_mixed_path"": 0.02097902097902098}",stair_step_winner,0.8181818181818182,0.46021873080938686,late_rescue_winner,smooth_trend_winner,stair_step_winner,True,mixed_episode_winner,mixed_episode_winner,pass_undetermined_pit_residual
up150pct,train,pit,breakout_pit,up150pct::SH600010::000000,5,False,True,1,"{""stair_step_winner"": 1.0}",stair_step_winner,1.0,0.0,stair_step_winner,stair_step_winner,stair_step_winner,False,sparse_phase_subgroup,sparse_phase_subgroup,pass
up150pct,train,pit,mid_trend_pit,up150pct::SH600010::000000,2,False,True,1,"{""stair_step_winner"": 1.0}",stair_step_winner,1.0,0.0,stair_step_winner,stair_step_winner,stair_step_winner,False,sparse_phase_subgroup,sparse_phase_subgroup,pass
up150pct,train,pit,late_chase_pit,up150pct::SH600010::000000,1,False,True,1,"{""stair_step_winner"": 1.0}",stair_step_winner,1.0,0.0,stair_step_winner,stair_step_winner,stair_step_winner,False,sparse_phase_subgroup,sparse_phase_subgroup,pass
up50pct,train,pit,early_base_pit,up50pct::SH600010::000000,173,True,False,5,"{""choppy_reversal_winner"": 0.017341040462427744, ""jump_repricing_winner"": 0.16184971098265896, ""late_rescue_winner"": 0.12138728323699421, ""smooth_trend_winner"": 0.1329479768786127, ""unclassified_mixed_path"": 0.5664739884393064}",unclassified_mixed_path,0.5664739884393064,0.7525828946765113,late_rescue_winner,smooth_trend_winner,unclassified_mixed_path,True,mixed_episode_winner,mixed_episode_winner,pass
up50pct,train,pit,undetermined_pit,up50pct::SH600010::000000,152,True,False,4,"{""jump_repricing_winner"": 0.3092105263157895, ""late_rescue_winner"": 0.08552631578947369, ""smooth_trend_winner"": 0.08552631578947369, ""unclassified_mixed_path"": 0.5197368421052632}",unclassified_mixed_path,0.5197368421052632,0.810556559989857,late_rescue_winner,smooth_trend_winner,unclassified_mixed_path,True,mixed_episode_winner,mixed_episode_winner,pass_undetermined_pit_residual
up50pct,train,pit,breakout_pit,up50pct::SH600010::000000,6,False,True,3,"{""late_rescue_winner"": 0.3333333333333333, ""smooth_trend_winner"": 0.16666666666666666, ""unclassified_mixed_path"": 0.5}",unclassified_mixed_path,0.5,0.9206198357143047,late_rescue_winner,smooth_trend_winner,unclassified_mixed_path,True,sparse_phase_subgroup,sparse_phase_subgroup,pass
up50pct,train,pit,mid_trend_pit,up50pct::SH600010::000000,32,True,False,3,"{""choppy_reversal_winner"": 0.09375, ""late_rescue_winner"": 0.21875, ""unclassified_mixed_path"": 0.6875}",unclassified_mixed_path,0.6875,0.7390973843300039,late_rescue_winner,unclassified_mixed_path,unclassified_mixed_path,True,mixed_episode_winner,mixed_episode_winner,pass
up50pct,train,pit,late_chase_pit,up50pct::SH600010::000000,30,True,False,4,"{""jump_repricing_winner"": 0.3333333333333333, ""late_rescue_winner"": 0.3, ""smooth_trend_winner"": 0.26666666666666666, ""unclassified_mixed_path"": 0.1}",jump_repricing_winner,0.3333333333333333,0.9450537400706275,late_rescue_winner,smooth_trend_winner,jump_repricing_winner,True,mixed_episode_winner,mixed_episode_winner,pass
up50pct,train,pit,undetermined_pit,up50pct::SH600018::000000,10,True,False,1,"{""smooth_trend_winner"": 1.0}",smooth_trend_winner,1.0,0.0,smooth_trend_winner,smooth_trend_winner,smooth_trend_winner,False,mixed_episode_winner,mixed_episode_winner,pass_undetermined_pit_residual
up50pct,train,pit,breakout_pit,up50pct::SH600018::000000,2,False,True,1,"{""smooth_trend_winner"": 1.0}",smooth_trend_winner,1.0,0.0,smooth_trend_winner,smooth_trend_winner,smooth_trend_winner,False,sparse_phase_subgroup,sparse_phase_subgroup,pass
up50pct,train,pit,mid_trend_pit,up50pct::SH600018::000000,1,False,True,1,"{""smooth_trend_winner"": 1.0}",smooth_trend_winner,1.0,0.0,smooth_trend_winner,smooth_trend_winner,smooth_trend_winner,False,sparse_phase_subgroup,sparse_phase_subgroup,pass
up100pct,train,pit,undetermined_pit,up100pct::SH600019::000000,111,True,False,3,"{""smooth_trend_winner"": 0.06306306306306306, ""stair_step_winner"": 0.8918918918918919, ""unclassified_mixed_path"": 0.04504504504504504}",stair_step_winner,0.8918918918918919,0.3786302149435948,stair_step_winner,unclassified_mixed_path,stair_step_winner,True,mixed_episode_winner,mixed_episode_winner,pass_undetermined_pit_residual
up100pct,train,pit,early_base_pit,up100pct::SH600019::000000,70,True,False,2,"{""smooth_trend_winner"": 0.34285714285714286, ""stair_step_winner"": 0.6571428571428571}",stair_step_winner,0.6571428571428571,0.9275265884316759,stair_step_winner,smooth_trend_winner,stair_step_winner,True,mixed_episode_winner,mixed_episode_winner,pass
up100pct,train,pit,breakout_pit,up100pct::SH600019::000000,8,False,True,2,"{""smooth_trend_winner"": 0.25, ""stair_step_winner"": 0.75}",stair_step_winner,0.75,0.8112781244591328,smooth_trend_winner,smooth_trend_winner,stair_step_winner,True,sparse_phase_subgroup,sparse_phase_subgroup,pass
up100pct,train,pit,mid_trend_pit,up100pct::SH600019::000000,26,True,False,1,"{""stair_step_winner"": 1.0}",stair_step_winner,1.0,0.0,stair_step_winner,stair_step_winner,stair_step_winner,False,stair_step_winner,stair_step_winner,pass
up100pct,train,pit,late_chase_pit,up100pct::SH600019::000000,1,False,True,1,"{""stair_step_winner"": 1.0}",stair_step_winner,1.0,0.0,stair_step_winner,stair_step_winner,stair_step_winner,False,sparse_phase_subgroup,sparse_phase_subgroup,pass
up150pct,train,pit,early_base_pit,up150pct::SH600019::000000,31,True,False,1,"{""stair_step_winner"": 1.0}",stair_step_winner,1.0,0.0,stair_step_winner,stair_step_winner,stair_step_winner,False,stair_step_winner,stair_step_winner,pass
up150pct,train,pit,undetermined_pit,up150pct::SH600019::000000,53,True,False,1,"{""stair_step_winner"": 1.0}",stair_step_winner,1.0,0.0,stair_step_winner,stair_step_winner,stair_step_winner,False,mixed_episode_winner,mixed_episode_winner,pass_undetermined_pit_residual
up150pct,train,pit,breakout_pit,up150pct::SH600019::000000,4,False,True,1,"{""stair_step_winner"": 1.0}",stair_step_winner,1.0,0.0,stair_step_winner,stair_step_winner,stair_step_winner,False,sparse_phase_subgroup,sparse_phase_subgroup,pass
up150pct,train,pit,mid_trend_pit,up150pct::SH600019::000000,2,False,True,1,"{""stair_step_winner"": 1.0}",stair_step_winner,1.0,0.0,stair_step_winner,stair_step_winner,stair_step_winner,False,sparse_phase_subgroup,sparse_phase_subgroup,pass
up50pct,train,pit,undetermined_pit,up50pct::SH600019::000000,163,True,False,4,"{""jump_repricing_winner"": 0.006134969325153374, ""smooth_trend_winner"": 0.3374233128834356, ""stair_step_winner"": 0.3619631901840491, ""unclassified_mixed_path"": 0.294478527607362}",stair_step_winner,0.3619631901840491,0.8120054139535131,unclassified_mixed_path,smooth_trend_winner,smooth_trend_winner,True,mixed_episode_winner,mixed_episode_winner,pass_undetermined_pit_residual
up50pct,train,pit,early_base_pit,up50pct::SH600019::000000,86,True,False,3,"{""smooth_trend_winner"": 0.10465116279069768, ""stair_step_winner"": 0.3488372093023256, ""unclassified_mixed_path"": 0.5465116279069767}",unclassified_mixed_path,0.5465116279069767,0.8499727907257747,unclassified_mixed_path,smooth_trend_winner,unclassified_mixed_path,True,mixed_episode_winner,mixed_episode_winner,pass
up50pct,train,pit,breakout_pit,up50pct::SH600019::000000,11,True,False,2,"{""stair_step_winner"": 0.6363636363636364, ""unclassified_mixed_path"": 0.36363636363636365}",stair_step_winner,0.6363636363636364,0.9456603046006401,stair_step_winner,unclassified_mixed_path,stair_step_winner,True,mixed_episode_winner,mixed_episode_winner,pass
up50pct,train,pit,mid_trend_pit,up50pct::SH600019::000000,30,True,False,4,"{""jump_repricing_winner"": 0.03333333333333333, ""smooth_trend_winner"": 0.6, ""stair_step_winner"": 0.1, ""unclassified_mixed_path"": 0.26666666666666666}",smooth_trend_winner,0.6,0.7232196723355077,stair_step_winner,smooth_trend_winner,smooth_trend_winner,True,mixed_episode_winner,mixed_episode_winner,pass
up50pct,train,pit,late_chase_pit,up50pct::SH600019::000000,27,True,False,3,"{""smooth_trend_winner"": 0.07407407407407407, ""stair_step_winner"": 0.3333333333333333, ""unclassified_mixed_path"": 0.5925925925925926}",unclassified_mixed_path,0.5925925925925926,0.7910606023808817,unclassified_mixed_path,unclassified_mixed_path,stair_step_winner,True,mixed_episode_winner,mixed_episode_winner,pass
up100pct,train,pit,undetermined_pit,up100pct::SH600031::000000,13,True,False,1,"{""smooth_trend_winner"": 1.0}",smooth_trend_winner,1.0,0.0,smooth_trend_winner,smooth_trend_winner,smooth_trend_winner,False,mixed_episode_winner,mixed_episode_winner,pass_undetermined_pit_residual
up100pct,train,pit,breakout_pit,up100pct::SH600031::000000,5,False,True,2,"{""smooth_trend_winner"": 0.6, ""unclassified_mixed_path"": 0.4}",smooth_trend_winner,0.6,0.9709505944546688,smooth_trend_winner,smooth_trend_winner,unclassified_mixed_path,True,sparse_phase_subgroup,sparse_phase_subgroup,pass
up100pct,train,pit,mid_trend_pit,up100pct::SH600031::000000,19,True,False,2,"{""smooth_trend_winner"": 0.47368421052631576, ""unclassified_mixed_path"": 0.5263157894736842}",unclassified_mixed_path,0.5263157894736842,0.9980008838722995,smooth_trend_winner,smooth_trend_winner,unclassified_mixed_path,True,mixed_episode_winner,mixed_episode_winner,pass
up100pct,train,pit,late_chase_pit,up100pct::SH600031::000000,2,False,True,1,"{""unclassified_mixed_path"": 1.0}",unclassified_mixed_path,1.0,0.0,unclassified_mixed_path,unclassified_mixed_path,unclassified_mixed_path,False,sparse_phase_subgroup,sparse_phase_subgroup,pass
up50pct,train,pit,undetermined_pit,up50pct::SH600031::000000,13,True,False,1,"{""smooth_trend_winner"": 1.0}",smooth_trend_winner,1.0,0.0,smooth_trend_winner,smooth_trend_winner,smooth_trend_winner,False,mixed_episode_winner,mixed_episode_winner,pass_undetermined_pit_residual
up50pct,train,pit,breakout_pit,up50pct::SH600031::000000,8,False,True,2,"{""smooth_trend_winner"": 0.75, ""unclassified_mixed_path"": 0.25}",smooth_trend_winner,0.75,0.8112781244591328,smooth_trend_winner,smooth_trend_winner,smooth_trend_winner,False,sparse_phase_subgroup,sparse_phase_subgroup,pass
up50pct,train,pit,mid_trend_pit,up50pct::SH600031::000000,33,True,False,3,"{""jump_repricing_winner"": 0.09090909090909091, ""smooth_trend_winner"": 0.5757575757575758, ""unclassified_mixed_path"": 0.3333333333333333}",smooth_trend_winner,0.5757575757575758,0.8210833371057548,smooth_trend_winner,smooth_trend_winner,smooth_trend_winner,False,mixed_episode_winner,mixed_episode_winner,pass
up50pct,train,pit,late_chase_pit,up50pct::SH600031::000000,29,True,False,3,"{""jump_repricing_winner"": 0.034482758620689655, ""smooth_trend_winner"": 0.896551724137931, ""unclassified_mixed_path"": 0.06896551724137931}",smooth_trend_winner,0.896551724137931,0.36267617947985503,unclassified_mixed_path,smooth_trend_winner,smooth_trend_winner,True,smooth_trend_winner,smooth_trend_winner,pass
up100pct,train,pit,undetermined_pit,up100pct::SH600036::000000,15,True,False,2,"{""slow_grind_winner"": 0.4666666666666667, ""stair_step_winner"": 0.5333333333333333}",stair_step_winner,0.5333333333333333,0.9967916319816367,slow_grind_winner,stair_step_winner,stair_step_winner,True,mixed_episode_winner,mixed_episode_winner,pass_undetermined_pit_residual
