classification_year,calendar_start_date,calendar_end_date,calendar_exchange,first_open_trade_date,calendar_status,calendar_error_type,calendar_error_message
2010,20100101,20100115,SSE,20100104,ok,,
2011,20110101,20110115,SSE,20110104,ok,,
2012,20120101,20120115,SSE,20120104,ok,,
2013,20130101,20130115,SSE,20130104,ok,,
2014,20140101,20140115,SSE,20140102,ok,,
2015,20150101,20150115,SSE,20150105,ok,,
2016,20160101,20160115,SSE,20160104,ok,,
2017,20170101,20170115,SSE,20170103,ok,,
2018,20180101,20180115,SSE,20180102,ok,,
2019,20190101,20190115,SSE,20190102,ok,,
2020,20200101,20200115,SSE,20200102,ok,,
2021,20210101,20210115,SSE,20210104,ok,,
2022,20220101,20220115,SSE,20220104,ok,,
2023,20230101,20230115,SSE,20230103,ok,,
2024,20240101,20240115,SSE,20240102,ok,,
2025,20250101,20250115,SSE,20250102,ok,,
2026,20260101,20260115,SSE,20260105,ok,,
