dataset_id,api,idx_type,status,calls,rows
dc_index_classification_contract,dc_index,概念板块,mapped_from_source_snapshot,17,7769
dc_index_yearly_first_open,dc_index,概念板块,ok_cached,2,899
dc_member_classification_contract,dc_member,概念板块,mapped_from_source_snapshot,17,751970
dc_member_yearly_first_open,dc_member,概念板块,ok_cached,899,99950
trade_cal_first_open,trade_cal,,ok,17,255
