classification_year,classification_first_open_trade_date,source_snapshot_year,source_snapshot_trade_date,snapshot_policy,mapping_status,classification_calendar_status,source_calendar_status
2010,20100104,2025,20250102,pre_2025_backfilled_from_2025_snapshot,ok,ok,ok
2011,20110104,2025,20250102,pre_2025_backfilled_from_2025_snapshot,ok,ok,ok
2012,20120104,2025,20250102,pre_2025_backfilled_from_2025_snapshot,ok,ok,ok
2013,20130104,2025,20250102,pre_2025_backfilled_from_2025_snapshot,ok,ok,ok
2014,20140102,2025,20250102,pre_2025_backfilled_from_2025_snapshot,ok,ok,ok
2015,20150105,2025,20250102,pre_2025_backfilled_from_2025_snapshot,ok,ok,ok
2016,20160104,2025,20250102,pre_2025_backfilled_from_2025_snapshot,ok,ok,ok
2017,20170103,2025,20250102,pre_2025_backfilled_from_2025_snapshot,ok,ok,ok
2018,20180102,2025,20250102,pre_2025_backfilled_from_2025_snapshot,ok,ok,ok
2019,20190102,2025,20250102,pre_2025_backfilled_from_2025_snapshot,ok,ok,ok
2020,20200102,2025,20250102,pre_2025_backfilled_from_2025_snapshot,ok,ok,ok
2021,20210104,2025,20250102,pre_2025_backfilled_from_2025_snapshot,ok,ok,ok
2022,20220104,2025,20250102,pre_2025_backfilled_from_2025_snapshot,ok,ok,ok
2023,20230103,2025,20250102,pre_2025_backfilled_from_2025_snapshot,ok,ok,ok
2024,20240102,2025,20250102,pre_2025_backfilled_from_2025_snapshot,ok,ok,ok
2025,20250102,2025,20250102,exact_year_first_open_snapshot,ok,ok,ok
2026,20260105,2026,20260105,exact_year_first_open_snapshot,ok,ok,ok
