schedule_id,variant_id,schedule_role,split,episode_count,episode_with_any_exposure_count,probe_rate,confirm_add_rate,winner_hold_mode_entry_rate,winner_hold_mode_entry_count,fast_fail_exit_rate,trailing_exit_rate,profit_floor_exit_rate,natural_exit_rate,blocked_exit_retry_rate,mean_after_cost_return,median_after_cost_return,p05_after_cost_return,p95_after_cost_return,max_adverse_excursion_mean,max_adverse_excursion_p95,max_favorable_excursion_mean,mean_holding_days,median_holding_days,mean_exposure_days,median_exposure_days,capital_occupancy_proxy,turnover_proxy,strict_big_winner_capture_rate_50h120,exposure_weighted_big_winner_capture_rate_50h120,partial_capture_rate_50h120,captured_big_winner_count_50h120,big_winner_episode_count_50h120,strict_big_winner_capture_rate_100h240_sensitivity,top1_instrument_year_exposure_share,top5_instrument_exposure_share
R03_all_H20,all_h20,diagnostic,robustness,770,149,0.19350649350649352,0.14285714285714285,0.0,0,0.04285714285714286,0.0,0.0,0.15064935064935064,0.0012987012987012987,0.014775363078392152,0.0,-0.009583875544970356,0.10900713286372342,-0.004771833026538,0.0,0.027033214493963745,17.355704697986578,20.0,3.3584415584415583,0.0,2.657532467532467,8.044363636363636,0.08661417322834646,0.07559055118110236,0.36220472440944884,11,127,0.043478260869565216,0.020134228187919462,0.0738255033557047
R03_all_H20,all_h20,diagnostic,train,1142,236,0.20665499124343256,0.13572679509632224,0.0,0,0.03765323992994746,0.0,0.0,0.1690017513134851,0.0035026269702276708,0.013205239035685254,0.0,-0.02099475347154229,0.12777650457541745,-0.004961282603601105,0.0,0.028658485509297026,18.10169491525424,20.0,3.7408056042031523,0.0,2.7404553415061295,7.979264448336252,0.0972972972972973,0.07081081081081081,0.3945945945945946,18,185,0.016129032258064516,0.01694915254237288,0.05084745762711864
R03_all_H20,all_h20,diagnostic,validation,532,104,0.19548872180451127,0.13909774436090225,0.0,0,0.045112781954887216,0.0,0.0,0.15037593984962405,0.0,0.007383186824191625,0.0,-0.01583883457392065,0.07139080728077893,-0.005032278837466598,0.0,0.02080123893116365,18.26923076923077,20.0,3.5714285714285716,0.0,2.768796992481203,7.92,0.06976744186046512,0.053488372093023255,0.37209302325581395,3,43,0.0,0.019230769230769232,0.09615384615384616
R03_all_H40,all_h40,diagnostic,robustness,770,149,0.19350649350649352,0.14285714285714285,0.0,0,0.05844155844155844,0.0,0.0,0.13376623376623376,0.0012987012987012987,0.018293939383545697,0.0,-0.03113396694602876,0.15368253375282562,-0.00569705626111206,0.0,0.038070613963340744,32.16778523489933,40.0,6.224675324675324,0.0,5.04012987012987,8.011636363636363,0.18110236220472442,0.15354330708661418,0.36220472440944884,23,127,0.07246376811594203,0.020134228187919462,0.0738255033557047
R03_all_H40,all_h40,diagnostic,train,1142,236,0.20665499124343256,0.13572679509632224,0.0,0,0.07180385288966724,0.0,0.0,0.1339754816112084,0.0070052539404553416,0.01657473514473441,0.0,-0.03603793484196185,0.13945375350702774,-0.006667004059207505,0.0,0.03922961180449208,32.436440677966104,40.0,6.703152364273205,0.0,4.996059544658494,7.957197898423819,0.1891891891891892,0.1437837837837838,0.3945945945945946,35,185,0.04838709677419355,0.01694915254237288,0.05084745762711864
R03_all_H40,all_h40,diagnostic,validation,532,104,0.19548872180451127,0.13909774436090225,0.0,0,0.06954887218045112,0.0,0.0,0.12593984962406016,0.0,0.010541525622942846,0.0,-0.03712508692792511,0.09351098429290583,-0.0062496334637774705,0.0,0.029085210452013108,32.09615384615385,40.0,6.274436090225564,0.0,5.017857142857143,7.92,0.16279069767441862,0.13023255813953488,0.37209302325581395,7,43,0.14285714285714285,0.019230769230769232,0.09615384615384616
R03_confirmed_H120,h120,primary,robustness,770,149,0.19350649350649352,0.14285714285714285,0.0,0,0.06623376623376623,0.0,0.0,0.12337662337662338,0.0012987012987012987,0.020535147442357855,0.0,-0.04898897657828103,0.10246075432642483,-0.006647113498037265,0.0,0.052130251565182015,65.30201342281879,56.0,12.636363636363637,0.0,12.212727272727271,7.946181818181818,0.25196850393700787,0.24645669291338584,0.36220472440944884,32,127,0.11594202898550725,0.020134228187919462,0.0738255033557047
R03_confirmed_H120,h120,primary,train,1142,236,0.20665499124343256,0.13572679509632224,0.0,0,0.08318739054290718,0.0,0.0,0.12259194395796848,0.005253940455341506,0.01576621196310862,0.0,-0.06699994299901539,0.07315600600497144,-0.008442207722803314,0.0,0.04991490944926705,52.440677966101696,23.5,10.837127845884414,0.0,10.26952714535902,7.957197898423819,0.23243243243243245,0.22486486486486487,0.3945945945945946,43,185,0.08870967741935484,0.01694915254237288,0.05084745762711864
R03_confirmed_H120,h120,primary,validation,532,104,0.19548872180451127,0.13909774436090225,0.0,0,0.07706766917293233,0.0,0.0,0.11842105263157894,0.0018796992481203006,0.007071233408535124,0.0,-0.05854024384286159,0.042591328707600705,-0.00761506062203985,0.0,0.038119369966057845,61.13461538461539,40.0,11.951127819548873,0.0,11.462969924812029,7.92,0.2558139534883721,0.23953488372093024,0.37209302325581395,11,43,0.2857142857142857,0.019230769230769232,0.09615384615384616
R03_confirmed_H20,h20,primary,robustness,770,149,0.19350649350649352,0.14285714285714285,0.0,0,0.04285714285714286,0.0,0.0,0.15064935064935064,0.0,0.014949239811898662,0.0,-0.0060845569264257994,0.11463856732430071,-0.004780176619632284,0.0,0.027661008015756574,15.93288590604027,21.0,3.083116883116883,0.0,2.6594805194805198,8.044363636363636,0.08661417322834646,0.08110236220472442,0.36220472440944884,11,127,0.028985507246376812,0.020134228187919462,0.0738255033557047
R03_confirmed_H20,h20,primary,train,1142,236,0.20665499124343256,0.13572679509632224,0.0,0,0.03677758318739054,0.0,0.0,0.16987740805604204,0.0035026269702276708,0.013279685912173439,0.0,-0.014142148197294212,0.12350378704073044,-0.004941053739535101,0.0,0.028491447531668112,15.669491525423728,21.0,3.2381786339754814,0.0,2.6705779334500876,7.979264448336252,0.07027027027027027,0.0627027027027027,0.3945945945945946,13,185,0.016129032258064516,0.01694915254237288,0.05084745762711864
R03_confirmed_H20,h20,primary,validation,532,104,0.19548872180451127,0.13909774436090225,0.0,0,0.03195488721804511,0.0,0.0,0.16353383458646617,0.0,0.00706263725844248,0.0,-0.014278732804190225,0.08032096962301315,-0.004738674980670158,0.0,0.02101610084128407,16.58653846153846,21.0,3.242481203007519,0.0,2.754323308270677,7.92,0.06976744186046512,0.053488372093023255,0.37209302325581395,3,43,0.0,0.019230769230769232,0.09615384615384616
R03_confirmed_H40,confirmed_h40,diagnostic,robustness,770,149,0.19350649350649352,0.14285714285714285,0.0,0,0.04935064935064935,0.0,0.0,0.14285714285714285,0.0012987012987012987,0.018636330002501512,0.0,-0.025072181791080846,0.15387946990803206,-0.005499829464088956,0.0,0.03758258114007187,27.13422818791946,41.0,5.250649350649351,0.0,4.827012987012987,8.011636363636363,0.14960629921259844,0.14409448818897638,0.36220472440944884,19,127,0.043478260869565216,0.020134228187919462,0.0738255033557047
