split,schedule_id,variant_id,comparison_schedule_id,schedule_role,mean_after_cost_return_diff,median_after_cost_return_diff,p05_after_cost_return_diff,max_adverse_excursion_mean_diff,turnover_proxy_diff,turnover_proxy_multiple,exposure_day_multiple_vs_R03,capital_occupancy_proxy_diff,strict_big_winner_capture_rate_50h120_diff,exposure_weighted_big_winner_capture_rate_50h120_diff,partial_capture_rate_50h120_diff,captured_big_winner_count_50h120_diff,winner_hold_mode_entry_rate_diff,fast_fail_exit_rate_diff,blocked_exit_retry_rate_diff
robustness,R03_all_H20,all_h20,R03_original_H10,diagnostic,0.009006407067050163,0.0,0.008641540828120645,-0.000792078934838185,0.0,1.0,1.969869079707354,1.3084415584415579,0.06299212598425197,0.05748031496062992,0.0,8,0.0,0.011688311688311689,0.0012987012987012987
train,R03_all_H20,all_h20,R03_original_H10,diagnostic,0.000353392635220124,0.0,-0.018299983248433398,-0.0016931350539743733,0.0,1.0,1.9885627144491038,1.3623467600700523,0.06486486486486487,0.04594594594594595,0.0,12,0.0,0.01751313485113835,0.0035026269702276708
validation,R03_all_H20,all_h20,R03_original_H10,diagnostic,-0.0012084828628988777,0.0,-0.008296238844253689,-0.0016698959810196971,0.0,1.0,1.9790407093913744,1.3697368421052631,0.023255813953488372,0.023255813953488372,0.0,1,0.0,0.03007518796992481,0.0
robustness,R03_all_H40,all_h40,R03_original_H10,diagnostic,0.012524983372203709,0.0,-0.012908550572937761,-0.001717302169412245,-0.03272727272727316,0.9959316517493897,3.7359453215248353,3.6910389610389602,0.15748031496062992,0.13543307086614173,0.0,20,0.0,0.02727272727272727,0.0012987012987012987
train,R03_all_H40,all_h40,R03_original_H10,diagnostic,0.0037228887442692787,0.0,-0.033343164618852957,-0.0033988565095807734,-0.02206654991243351,0.9972345132743364,3.625301817257593,3.617950963222417,0.15675675675675677,0.11891891891891893,0.0,29,0.0,0.05166374781085814,0.0070052539404553416
validation,R03_all_H40,all_h40,R03_original_H10,diagnostic,0.0019498559358523439,0.0,-0.029582491198258152,-0.0028872506073305696,0.0,1.0,3.586591428187559,3.6187969924812036,0.11627906976744187,0.1,0.0,5,0.0,0.05451127819548872,0.0
robustness,R03_confirmed_H120,h120,R03_original_H10,primary,0.014766191431015867,0.0,-0.03076356020519003,-0.00266735940633745,-0.09818181818181859,0.9877949552481692,9.052560646900266,10.863636363636362,0.22834645669291337,0.2283464566929134,0.0,29,0.0,0.03506493506493506,0.0012987012987012987
train,R03_confirmed_H120,h120,R03_original_H10,primary,0.0029143655626434894,0.0,-0.0643051727759065,-0.005174060173176582,-0.02206654991243351,0.9972345132743364,7.451899860210954,8.891418563922942,0.2,0.2,0.0,37,0.0,0.06304728546409807,0.005253940455341506
validation,R03_confirmed_H120,h120,R03_original_H10,primary,-0.0015204362785553784,0.0,-0.05099764811319463,-0.004252677765592949,0.0,1.0,8.193336020421873,10.06390977443609,0.20930232558139536,0.20930232558139536,0.0,9,0.0,0.06203007518796992,0.0018796992481203006
robustness,R03_confirmed_H20,h20,R03_original_H10,primary,0.009180283800556674,0.0,0.012140859446665202,-0.0008004225279324697,0.0,1.0,1.9713130535232959,1.3103896103896104,0.06299212598425197,0.06299212598425197,0.0,8,0.0,0.011688311688311689,0.0
