schedule_id,variant_id,diagnostic_family,parameter_name,parameter_value,split,metric_name,metric_value,diff_vs_R03,eligible_for_selection,diagnostic_interpretation
R03_all_H20,all_h20,R03_all_H20,,,robustness,mean_after_cost_return,0.014775363078392152,0.009006407067050163,False,diagnostic_only
R03_all_H20,all_h20,R03_all_H20,,,robustness,p05_after_cost_return,-0.009583875544970356,0.008641540828120645,False,diagnostic_only
R03_all_H20,all_h20,R03_all_H20,,,robustness,strict_big_winner_capture_rate_50h120,0.08661417322834646,0.06299212598425197,False,diagnostic_only
R03_all_H20,all_h20,R03_all_H20,,,robustness,exposure_weighted_big_winner_capture_rate_50h120,0.07559055118110236,0.05748031496062992,False,diagnostic_only
R03_all_H20,all_h20,R03_all_H20,,,robustness,partial_capture_rate_50h120,0.36220472440944884,0.0,False,diagnostic_only
R03_all_H20,all_h20,R03_all_H20,,,train,mean_after_cost_return,0.013205239035685254,0.000353392635220124,False,diagnostic_only
R03_all_H20,all_h20,R03_all_H20,,,train,p05_after_cost_return,-0.02099475347154229,-0.018299983248433398,False,diagnostic_only
R03_all_H20,all_h20,R03_all_H20,,,train,strict_big_winner_capture_rate_50h120,0.0972972972972973,0.06486486486486487,False,diagnostic_only
R03_all_H20,all_h20,R03_all_H20,,,train,exposure_weighted_big_winner_capture_rate_50h120,0.07081081081081081,0.04594594594594595,False,diagnostic_only
R03_all_H20,all_h20,R03_all_H20,,,train,partial_capture_rate_50h120,0.3945945945945946,0.0,False,diagnostic_only
R03_all_H20,all_h20,R03_all_H20,,,validation,mean_after_cost_return,0.007383186824191625,-0.0012084828628988777,False,diagnostic_only
R03_all_H20,all_h20,R03_all_H20,,,validation,p05_after_cost_return,-0.01583883457392065,-0.008296238844253689,False,diagnostic_only
R03_all_H20,all_h20,R03_all_H20,,,validation,strict_big_winner_capture_rate_50h120,0.06976744186046512,0.023255813953488372,False,diagnostic_only
R03_all_H20,all_h20,R03_all_H20,,,validation,exposure_weighted_big_winner_capture_rate_50h120,0.053488372093023255,0.023255813953488372,False,diagnostic_only
R03_all_H20,all_h20,R03_all_H20,,,validation,partial_capture_rate_50h120,0.37209302325581395,0.0,False,diagnostic_only
R03_all_H40,all_h40,R03_all_H40,,,robustness,mean_after_cost_return,0.018293939383545697,0.012524983372203709,False,diagnostic_only
R03_all_H40,all_h40,R03_all_H40,,,robustness,p05_after_cost_return,-0.03113396694602876,-0.012908550572937761,False,diagnostic_only
R03_all_H40,all_h40,R03_all_H40,,,robustness,strict_big_winner_capture_rate_50h120,0.18110236220472442,0.15748031496062992,False,diagnostic_only
R03_all_H40,all_h40,R03_all_H40,,,robustness,exposure_weighted_big_winner_capture_rate_50h120,0.15354330708661418,0.13543307086614173,False,diagnostic_only
R03_all_H40,all_h40,R03_all_H40,,,robustness,partial_capture_rate_50h120,0.36220472440944884,0.0,False,diagnostic_only
R03_all_H40,all_h40,R03_all_H40,,,train,mean_after_cost_return,0.01657473514473441,0.0037228887442692787,False,diagnostic_only
R03_all_H40,all_h40,R03_all_H40,,,train,p05_after_cost_return,-0.03603793484196185,-0.033343164618852957,False,diagnostic_only
R03_all_H40,all_h40,R03_all_H40,,,train,strict_big_winner_capture_rate_50h120,0.1891891891891892,0.15675675675675677,False,diagnostic_only
R03_all_H40,all_h40,R03_all_H40,,,train,exposure_weighted_big_winner_capture_rate_50h120,0.1437837837837838,0.11891891891891893,False,diagnostic_only
R03_all_H40,all_h40,R03_all_H40,,,train,partial_capture_rate_50h120,0.3945945945945946,0.0,False,diagnostic_only
R03_all_H40,all_h40,R03_all_H40,,,validation,mean_after_cost_return,0.010541525622942846,0.0019498559358523439,False,diagnostic_only
R03_all_H40,all_h40,R03_all_H40,,,validation,p05_after_cost_return,-0.03712508692792511,-0.029582491198258152,False,diagnostic_only
R03_all_H40,all_h40,R03_all_H40,,,validation,strict_big_winner_capture_rate_50h120,0.16279069767441862,0.11627906976744187,False,diagnostic_only
R03_all_H40,all_h40,R03_all_H40,,,validation,exposure_weighted_big_winner_capture_rate_50h120,0.13023255813953488,0.1,False,diagnostic_only
R03_all_H40,all_h40,R03_all_H40,,,validation,partial_capture_rate_50h120,0.37209302325581395,0.0,False,diagnostic_only
R03_confirmed_H40,confirmed_h40,R03_confirmed_H40,,,robustness,mean_after_cost_return,0.018636330002501512,0.012867373991159524,False,diagnostic_only
R03_confirmed_H40,confirmed_h40,R03_confirmed_H40,,,robustness,p05_after_cost_return,-0.025072181791080846,-0.006846765417989845,False,diagnostic_only
R03_confirmed_H40,confirmed_h40,R03_confirmed_H40,,,robustness,strict_big_winner_capture_rate_50h120,0.14960629921259844,0.12598425196850394,False,diagnostic_only
R03_confirmed_H40,confirmed_h40,R03_confirmed_H40,,,robustness,exposure_weighted_big_winner_capture_rate_50h120,0.14409448818897638,0.12598425196850394,False,diagnostic_only
R03_confirmed_H40,confirmed_h40,R03_confirmed_H40,,,robustness,partial_capture_rate_50h120,0.36220472440944884,0.0,False,diagnostic_only
R03_confirmed_H40,confirmed_h40,R03_confirmed_H40,,,train,mean_after_cost_return,0.016621657577982733,0.0037698111775176027,False,diagnostic_only
R03_confirmed_H40,confirmed_h40,R03_confirmed_H40,,,train,p05_after_cost_return,-0.028299782150463196,-0.025605011927354305,False,diagnostic_only
R03_confirmed_H40,confirmed_h40,R03_confirmed_H40,,,train,strict_big_winner_capture_rate_50h120,0.14054054054054055,0.10810810810810811,False,diagnostic_only
R03_confirmed_H40,confirmed_h40,R03_confirmed_H40,,,train,exposure_weighted_big_winner_capture_rate_50h120,0.13297297297297297,0.10810810810810811,False,diagnostic_only
R03_confirmed_H40,confirmed_h40,R03_confirmed_H40,,,train,partial_capture_rate_50h120,0.3945945945945946,0.0,False,diagnostic_only
R03_confirmed_H40,confirmed_h40,R03_confirmed_H40,,,validation,mean_after_cost_return,0.0098551964015936,0.0012635267145030982,False,diagnostic_only
R03_confirmed_H40,confirmed_h40,R03_confirmed_H40,,,validation,p05_after_cost_return,-0.03166326479128116,-0.0241206690616142,False,diagnostic_only
R03_confirmed_H40,confirmed_h40,R03_confirmed_H40,,,validation,strict_big_winner_capture_rate_50h120,0.16279069767441862,0.11627906976744187,False,diagnostic_only
R03_confirmed_H40,confirmed_h40,R03_confirmed_H40,,,validation,exposure_weighted_big_winner_capture_rate_50h120,0.14651162790697675,0.11627906976744187,False,diagnostic_only
R03_confirmed_H40,confirmed_h40,R03_confirmed_H40,,,validation,partial_capture_rate_50h120,0.37209302325581395,0.0,False,diagnostic_only
R03_no_fast_fail,no_fast_fail,R03_no_fast_fail,,,robustness,mean_after_cost_return,0.007892137876534807,0.0021231818651928185,False,diagnostic_only
R03_no_fast_fail,no_fast_fail,R03_no_fast_fail,,,robustness,p05_after_cost_return,-0.009940084725156029,0.008285331647934971,False,diagnostic_only
R03_no_fast_fail,no_fast_fail,R03_no_fast_fail,,,robustness,strict_big_winner_capture_rate_50h120,0.023622047244094488,0.0,False,diagnostic_only
R03_no_fast_fail,no_fast_fail,R03_no_fast_fail,,,robustness,exposure_weighted_big_winner_capture_rate_50h120,0.01811023622047244,0.0,False,diagnostic_only
R03_no_fast_fail,no_fast_fail,R03_no_fast_fail,,,robustness,partial_capture_rate_50h120,0.36220472440944884,0.0,False,diagnostic_only
R03_no_fast_fail,no_fast_fail,R03_no_fast_fail,,,train,mean_after_cost_return,0.014760103066212275,0.0019082566657471454,False,diagnostic_only
R03_no_fast_fail,no_fast_fail,R03_no_fast_fail,,,train,p05_after_cost_return,0.0,0.0026947702231088916,False,diagnostic_only
R03_no_fast_fail,no_fast_fail,R03_no_fast_fail,,,train,strict_big_winner_capture_rate_50h120,0.03783783783783784,0.005405405405405406,False,diagnostic_only
R03_no_fast_fail,no_fast_fail,R03_no_fast_fail,,,train,exposure_weighted_big_winner_capture_rate_50h120,0.03027027027027027,0.005405405405405406,False,diagnostic_only
R03_no_fast_fail,no_fast_fail,R03_no_fast_fail,,,train,partial_capture_rate_50h120,0.3945945945945946,0.0,False,diagnostic_only
R03_no_fast_fail,no_fast_fail,R03_no_fast_fail,,,validation,mean_after_cost_return,0.010127889086400443,0.0015362193993099411,False,diagnostic_only
R03_no_fast_fail,no_fast_fail,R03_no_fast_fail,,,validation,p05_after_cost_return,-0.0026966329069889874,0.004845962822677974,False,diagnostic_only
R03_no_fast_fail,no_fast_fail,R03_no_fast_fail,,,validation,strict_big_winner_capture_rate_50h120,0.046511627906976744,0.0,False,diagnostic_only
R03_no_fast_fail,no_fast_fail,R03_no_fast_fail,,,validation,exposure_weighted_big_winner_capture_rate_50h120,0.030232558139534883,0.0,False,diagnostic_only
R03_no_fast_fail,no_fast_fail,R03_no_fast_fail,,,validation,partial_capture_rate_50h120,0.37209302325581395,0.0,False,diagnostic_only
