schedule_id,variant_id,split,launch_episode_id,instrument,winner_state_signal_date,winner_state_effective_date,transition_price,close_return_from_first_exposure,max_drawdown_since_first_exposure,close_above_confirm_add_price,fast_fail_state_has_occurred,winner_state_signal_passed,winner_state_entered,winner_state_feature_max_date,asof_passed,no_same_close_transition_passed,winner_state_transition_price_date,same_close_transition_used,effective_date_high_low_close_used_as_signal,future_target_label_used_as_signal,detail
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600048_20180105_728afbada8,SH600048,2018-01-16,2018-01-17,,0.12489006953267201,-0.0237466584702678,True,False,True,False,2018-01-16,True,True,2018-01-17,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600048_20180105_728afbada8,SH600048,2018-01-16,2018-01-17,12.59000015258789,,,True,False,True,True,2018-01-16,True,True,2018-01-17,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600050_20190213_0f214cc319,SH600050,2019-02-27,2019-02-28,,0.1547862021385613,-0.02240318942885977,True,False,True,False,2019-02-27,True,True,2019-02-28,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600050_20190213_0f214cc319,SH600050,2019-02-27,2019-02-28,5.559999942779541,,,True,False,True,True,2019-02-27,True,True,2019-02-28,False,False,False,
R03_winner_state_hold_H120,winner_state_base,robustness,EP2_LAUNCH_DETECTOR_V0_SH600066_20240411_e7b05ed605,SH600066,2024-04-26,2024-04-29,,0.13551639709633312,-0.007556655700132864,True,False,True,False,2024-04-26,True,True,2024-04-29,False,False,False,
R03_winner_state_hold_H120,winner_state_base,robustness,EP2_LAUNCH_DETECTOR_V0_SH600066_20240411_e7b05ed605,SH600066,2024-04-26,2024-04-29,23.459999084472656,,,True,False,True,True,2024-04-26,True,True,2024-04-29,False,False,False,
R03_winner_state_hold_H120,winner_state_base,validation,EP2_LAUNCH_DETECTOR_V0_SH600089_20220519_a3ea55f8c1,SH600089,2022-06-10,2022-06-13,,0.1435997393662063,-0.0032488752189376857,True,False,True,False,2022-06-10,True,True,2022-06-13,False,False,False,
R03_winner_state_hold_H120,winner_state_base,validation,EP2_LAUNCH_DETECTOR_V0_SH600089_20220519_a3ea55f8c1,SH600089,2022-06-10,2022-06-13,17.829999923706055,,,True,False,True,True,2022-06-10,True,True,2022-06-13,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600104_20201029_9892223a3b,SH600104,2020-11-05,2020-11-06,,0.20358387862237204,-0.006470934152705277,True,False,True,False,2020-11-05,True,True,2020-11-06,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600104_20201029_9892223a3b,SH600104,2020-11-05,2020-11-06,24.200000762939453,,,True,False,True,True,2020-11-05,True,True,2020-11-06,False,False,False,
