artifact_name,artifact_path,authority_role,producer_command,schema_version,required_for_requirement,row_count,content_hash
requirement_04_schedule_action_panel.parquet,ep2/outputs/requirement_04_holding_exit_winner_capture_extension/cache/requirement_04_schedule_action_panel.parquet,cache,uv run python ep2/scripts/run_requirement_04_holding_exit_winner_capture_extension.py --config ep2/configs/requirement_04_holding_exit_winner_capture_extension.yaml,requirement_04_holding_exit_winner_capture_extension_v1,True,20025,3b1854add912a977c1e44f517c095dab8382d16e1126bc6a7bfce3a9797b6241
requirement_04_exposure_daily_panel.parquet,ep2/outputs/requirement_04_holding_exit_winner_capture_extension/cache/requirement_04_exposure_daily_panel.parquet,cache,uv run python ep2/scripts/run_requirement_04_holding_exit_winner_capture_extension.py --config ep2/configs/requirement_04_holding_exit_winner_capture_extension.yaml,requirement_04_holding_exit_winner_capture_extension_v1,True,160927,a2ffb2d4998569202e7b992f7da508150015a02449b40a3c30c901a2915201f4
requirement_04_episode_schedule_summary.parquet,ep2/outputs/requirement_04_holding_exit_winner_capture_extension/cache/requirement_04_episode_schedule_summary.parquet,cache,uv run python ep2/scripts/run_requirement_04_holding_exit_winner_capture_extension.py --config ep2/configs/requirement_04_holding_exit_winner_capture_extension.yaml,requirement_04_holding_exit_winner_capture_extension_v1,True,36660,cb899ea1abf8a42710112b21d4081d2b119aec0ebc4b0c71bfe8d4c28ee3ae1a
requirement_04_winner_state_event_panel.parquet,ep2/outputs/requirement_04_holding_exit_winner_capture_extension/cache/requirement_04_winner_state_event_panel.parquet,cache,uv run python ep2/scripts/run_requirement_04_holding_exit_winner_capture_extension.py --config ep2/configs/requirement_04_holding_exit_winner_capture_extension.yaml,requirement_04_holding_exit_winner_capture_extension_v1,True,2284,dfb885fe1a82c3c81f04a8b3e4c12073a2a235c92fac5489118f271bb1da7379
requirement_04_schedule_results.csv,ep2/outputs/requirement_04_holding_exit_winner_capture_extension/reports/requirement_04_schedule_results.csv,report,uv run python ep2/scripts/run_requirement_04_holding_exit_winner_capture_extension.py --config ep2/configs/requirement_04_holding_exit_winner_capture_extension.yaml,requirement_04_holding_exit_winner_capture_extension_v1,True,45,e8eb775eab398044e3afe04181c84ecba45d6f2ac5366fc387915c6d3ed0044f
requirement_04_schedule_comparison.csv,ep2/outputs/requirement_04_holding_exit_winner_capture_extension/reports/requirement_04_schedule_comparison.csv,report,uv run python ep2/scripts/run_requirement_04_holding_exit_winner_capture_extension.py --config ep2/configs/requirement_04_holding_exit_winner_capture_extension.yaml,requirement_04_holding_exit_winner_capture_extension_v1,True,42,2de45226f4cfffcdb59f73379a5f73c26e7a6ef228396d5e590e498c71e669ab
requirement_04_selected_schedule.csv,ep2/outputs/requirement_04_holding_exit_winner_capture_extension/reports/requirement_04_selected_schedule.csv,report,uv run python ep2/scripts/run_requirement_04_holding_exit_winner_capture_extension.py --config ep2/configs/requirement_04_holding_exit_winner_capture_extension.yaml,requirement_04_holding_exit_winner_capture_extension_v1,True,1,9a2f71774f4c1d53056ffaedc191f39d792111860a4a38090909ea5eceb2cc19
requirement_04_big_winner_capture_audit.csv,ep2/outputs/requirement_04_holding_exit_winner_capture_extension/reports/requirement_04_big_winner_capture_audit.csv,report,uv run python ep2/scripts/run_requirement_04_holding_exit_winner_capture_extension.py --config ep2/configs/requirement_04_holding_exit_winner_capture_extension.yaml,requirement_04_holding_exit_winner_capture_extension_v1,True,36660,8f6e04903bd8fbe849ca2aad2a877670c99658752bd42cc5bade8185a43844b7
requirement_04_fast_fail_value_audit.csv,ep2/outputs/requirement_04_holding_exit_winner_capture_extension/reports/requirement_04_fast_fail_value_audit.csv,report,uv run python ep2/scripts/run_requirement_04_holding_exit_winner_capture_extension.py --config ep2/configs/requirement_04_holding_exit_winner_capture_extension.yaml,requirement_04_holding_exit_winner_capture_extension_v1,True,6,8dfb11a8404160bc4088e7d94d4b7b10d020be7c86d0c510e065995df18c1805
requirement_04_winner_state_asof_audit.csv,ep2/outputs/requirement_04_holding_exit_winner_capture_extension/reports/requirement_04_winner_state_asof_audit.csv,report,uv run python ep2/scripts/run_requirement_04_holding_exit_winner_capture_extension.py --config ep2/configs/requirement_04_holding_exit_winner_capture_extension.yaml,requirement_04_holding_exit_winner_capture_extension_v1,True,2284,f97db577099229f4d3801db419d8a6d4180cb06b085518355c10c6ea71b8bb0c
