industry_target_key,industry_ts_code,status,rows,source_trade_date,source,error
sw_801010,801010.SI,ok,104,20260430,tushare.index_member,
sw_801030,801030.SI,ok,409,20260430,tushare.index_member,
sw_801040,801040.SI,ok,44,20260430,tushare.index_member,
sw_801050,801050.SI,ok,140,20260430,tushare.index_member,
sw_801080,801080.SI,ok,481,20260430,tushare.index_member,
sw_801110,801110.SI,ok,94,20260430,tushare.index_member,
sw_801120,801120.SI,ok,123,20260430,tushare.index_member,
sw_801130,801130.SI,ok,106,20260430,tushare.index_member,
sw_801140,801140.SI,ok,158,20260430,tushare.index_member,
sw_801150,801150.SI,ok,479,20260430,tushare.index_member,
sw_801160,801160.SI,ok,131,20260430,tushare.index_member,
sw_801170,801170.SI,ok,126,20260430,tushare.index_member,
sw_801180,801180.SI,ok,99,20260430,tushare.index_member,
sw_801200,801200.SI,ok,99,20260430,tushare.index_member,
sw_801210,801210.SI,ok,81,20260430,tushare.index_member,
sw_801230,801230.SI,ok,15,20260430,tushare.index_member,
sw_801710,801710.SI,ok,72,20260430,tushare.index_member,
sw_801720,801720.SI,ok,156,20260430,tushare.index_member,
sw_801730,801730.SI,ok,367,20260430,tushare.index_member,
sw_801740,801740.SI,ok,141,20260430,tushare.index_member,
sw_801750,801750.SI,ok,334,20260430,tushare.index_member,
sw_801760,801760.SI,ok,130,20260430,tushare.index_member,
sw_801770,801770.SI,ok,122,20260430,tushare.index_member,
sw_801780,801780.SI,ok,42,20260430,tushare.index_member,
sw_801790,801790.SI,ok,82,20260430,tushare.index_member,
sw_801880,801880.SI,ok,285,20260430,tushare.index_member,
sw_801890,801890.SI,ok,533,20260430,tushare.index_member,
sw_801950,801950.SI,ok,37,20260430,tushare.index_member,
sw_801960,801960.SI,ok,47,20260430,tushare.index_member,
sw_801970,801970.SI,ok,133,20260430,tushare.index_member,
sw_801980,801980.SI,ok,29,20260430,tushare.index_member,
