instrument,candidate_rows,member_rows,is_sh_lifetime_st_excluded,interval_rows,executable_rows_total
SH600000,640,640,False,5697,470682
SH600004,0,0,False,5697,470682
SH600006,0,0,False,5697,470682
SH600007,0,0,False,5697,470682
SH600008,0,0,False,5697,470682
SH600009,2270,2270,False,5697,470682
SH600010,2249,2249,False,5697,470682
SH600011,2281,2281,False,5697,470682
SH600012,0,0,False,5697,470682
SH600015,2281,2281,False,5697,470682
SH600017,0,0,False,5697,470682
SH600016,2281,2281,False,5697,470682
SH600019,1635,1635,False,5697,470682
SH600018,2278,2278,False,5697,470682
SH600020,0,0,False,5697,470682
SH600021,164,164,False,5697,470682
SH600022,0,0,False,5697,470682
SH600023,1731,1731,False,5697,470682
SH600025,2035,2035,False,5697,470682
SH600026,863,863,False,5697,470682
SH600027,949,949,False,5697,470682
SH600029,418,418,False,5697,470682
SH600028,2281,2281,False,5697,470682
SH600030,2264,2264,False,5697,470682
SH600032,0,0,False,5697,470682
SH600031,1422,1422,False,5697,470682
SH600033,0,0,False,5697,470682
SH600035,0,0,False,5697,470682
SH600036,2281,2281,False,5697,470682
SH600037,0,0,False,5697,470682
SH600038,0,0,False,5697,470682
SH600039,917,917,False,5697,470682
SH600048,2281,2281,False,5697,470682
SH600050,1755,1755,False,5697,470682
SH600051,0,0,False,5697,470682
SH600052,0,0,False,5697,470682
SH600053,0,0,False,5697,470682
SH600054,0,0,False,5697,470682
SH600055,0,0,False,5697,470682
SH600056,0,0,False,5697,470682
SH600057,0,0,False,5697,470682
SH600058,0,0,False,5697,470682
SH600059,0,0,False,5697,470682
SH600060,0,0,False,5697,470682
SH600061,100,100,False,5697,470682
SH600062,0,0,False,5697,470682
SH600063,0,0,False,5697,470682
SH600064,0,0,False,5697,470682
SH600067,0,0,False,5697,470682
SH600066,593,593,False,5697,470682
SH600071,0,0,False,5697,470682
SH600072,0,0,False,5697,470682
SH600073,0,0,False,5697,470682
SH600076,0,0,False,5697,470682
SH600075,0,0,False,5697,470682
SH600078,0,0,False,5697,470682
SH600079,73,0,True,5697,470682
SH600080,0,0,False,5697,470682
SH600081,0,0,False,5697,470682
SH600082,0,0,False,5697,470682
SH600084,0,0,False,5697,470682
SH600085,882,882,False,5697,470682
SH600088,0,0,False,5697,470682
SH600089,1186,1186,False,5697,470682
SH600094,0,0,False,5697,470682
SH600095,1,1,False,5697,470682
SH600096,234,234,False,5697,470682
SH600097,0,0,False,5697,470682
SH600098,0,0,False,5697,470682
SH600099,0,0,False,5697,470682
SH600100,0,0,False,5697,470682
SH600101,0,0,False,5697,470682
SH600103,0,0,False,5697,470682
SH600104,2281,2281,False,5697,470682
SH600105,34,34,False,5697,470682
SH600106,0,0,False,5697,470682
SH600107,0,0,False,5697,470682
SH600108,0,0,False,5697,470682
SH600109,32,0,True,5697,470682
SH600110,0,0,False,5697,470682
SH600111,1434,1434,False,5697,470682
SH600113,0,0,False,5697,470682
SH600114,0,0,False,5697,470682
SH600115,2281,0,True,5697,470682
SH600116,0,0,False,5697,470682
SH600117,0,0,False,5697,470682
SH600118,134,134,False,5697,470682
SH600119,0,0,False,5697,470682
SH600120,0,0,False,5697,470682
SH600121,0,0,False,5697,470682
SH600123,0,0,False,5697,470682
SH600125,0,0,False,5697,470682
SH600126,0,0,False,5697,470682
SH600127,0,0,False,5697,470682
SH600128,0,0,False,5697,470682
SH600129,0,0,False,5697,470682
SH600130,0,0,False,5697,470682
SH600131,0,0,False,5697,470682
SH600132,579,579,False,5697,470682
SH600133,0,0,False,5697,470682
SH600135,0,0,False,5697,470682
SH600136,0,0,False,5697,470682
SH600137,0,0,False,5697,470682
SH600138,0,0,False,5697,470682
SH600141,0,0,False,5697,470682
SH600143,218,218,False,5697,470682
SH600148,0,0,False,5697,470682
SH600149,0,0,False,5697,470682
SH600150,1480,0,True,5697,470682
SH600151,0,0,False,5697,470682
SH600152,0,0,False,5697,470682
SH600153,0,0,False,5697,470682
SH600155,0,0,False,5697,470682
SH600156,0,0,False,5697,470682
SH600157,44,0,True,5697,470682
SH600158,0,0,False,5697,470682
SH600159,0,0,False,5697,470682
SH600160,532,532,False,5697,470682
SH600161,164,164,False,5697,470682
SH600162,0,0,False,5697,470682
SH600163,0,0,False,5697,470682
SH600165,0,0,False,5697,470682
SH600166,0,0,False,5697,470682
SH600167,0,0,False,5697,470682
SH600168,0,0,False,5697,470682
SH600169,0,0,False,5697,470682
SH600170,0,0,False,5697,470682
SH600171,0,0,False,5697,470682
SH600172,0,0,False,5697,470682
SH600173,0,0,False,5697,470682
SH600176,984,984,False,5697,470682
SH600177,0,0,False,5697,470682
SH600178,0,0,False,5697,470682
SH600179,0,0,False,5697,470682
SH600180,0,0,False,5697,470682
SH600182,0,0,False,5697,470682
SH600183,471,471,False,5697,470682
SH600184,0,0,False,5697,470682
SH600185,0,0,False,5697,470682
SH600186,0,0,False,5697,470682
SH600187,0,0,False,5697,470682
SH600188,1272,1272,False,5697,470682
SH600189,0,0,False,5697,470682
SH600191,0,0,False,5697,470682
SH600192,0,0,False,5697,470682
SH600193,0,0,False,5697,470682
SH600195,0,0,False,5697,470682
SH600196,2281,2281,False,5697,470682
SH600197,0,0,False,5697,470682
SH600198,0,0,False,5697,470682
SH600199,0,0,False,5697,470682
SH600201,0,0,False,5697,470682
SH600202,0,0,False,5697,470682
SH600203,0,0,False,5697,470682
SH600206,0,0,False,5697,470682
SH600207,0,0,False,5697,470682
SH600208,0,0,False,5697,470682
SH600210,0,0,False,5697,470682
SH600211,0,0,False,5697,470682
SH600212,0,0,False,5697,470682
SH600215,0,0,False,5697,470682
SH600216,0,0,False,5697,470682
SH600217,0,0,False,5697,470682
SH600218,0,0,False,5697,470682
SH600219,313,313,False,5697,470682
SH600221,1226,1226,False,5697,470682
SH600222,0,0,False,5697,470682
SH600223,0,0,False,5697,470682
SH600226,0,0,False,5697,470682
SH600227,0,0,False,5697,470682
SH600228,0,0,False,5697,470682
SH600229,0,0,False,5697,470682
SH600230,0,0,False,5697,470682
SH600231,0,0,False,5697,470682
SH600232,0,0,False,5697,470682
SH600233,807,807,False,5697,470682
SH600234,0,0,False,5697,470682
SH600235,0,0,False,5697,470682
SH600236,460,460,False,5697,470682
SH600237,0,0,False,5697,470682
SH600238,0,0,False,5697,470682
SH600239,0,0,False,5697,470682
SH600241,0,0,False,5697,470682
SH600243,0,0,False,5697,470682
SH600246,0,0,False,5697,470682
SH600248,0,0,False,5697,470682
SH600249,0,0,False,5697,470682
SH600250,0,0,False,5697,470682
SH600251,0,0,False,5697,470682
SH600252,0,0,False,5697,470682
SH600255,0,0,False,5697,470682
SH600256,425,425,False,5697,470682
SH600257,0,0,False,5697,470682
SH600258,0,0,False,5697,470682
SH600259,0,0,False,5697,470682
SH600261,0,0,False,5697,470682
SH600262,0,0,False,5697,470682
SH600265,0,0,False,5697,470682
SH600266,0,0,False,5697,470682
SH600267,0,0,False,5697,470682
SH600268,0,0,False,5697,470682
SH600269,0,0,False,5697,470682
SH600271,97,97,False,5697,470682
SH600272,0,0,False,5697,470682
SH600273,0,0,False,5697,470682
SH600276,1738,1738,False,5697,470682
SH600278,0,0,False,5697,470682
SH600279,0,0,False,5697,470682
SH600280,0,0,False,5697,470682
SH600281,0,0,False,5697,470682
SH600282,0,0,False,5697,470682
SH600283,0,0,False,5697,470682
SH600284,0,0,False,5697,470682
SH600285,0,0,False,5697,470682
SH600287,0,0,False,5697,470682
SH600288,0,0,False,5697,470682
SH600289,0,0,False,5697,470682
SH600292,131,131,False,5697,470682
SH600293,0,0,False,5697,470682
SH600295,18,18,False,5697,470682
SH600298,69,69,False,5697,470682
SH600299,0,0,False,5697,470682
SH600300,0,0,False,5697,470682
SH600301,0,0,False,5697,470682
SH600302,0,0,False,5697,470682
SH600303,0,0,False,5697,470682
SH600305,0,0,False,5697,470682
SH600307,0,0,False,5697,470682
SH600308,0,0,False,5697,470682
SH600309,2155,2155,False,5697,470682
SH600310,0,0,False,5697,470682
SH600312,0,0,False,5697,470682
SH600313,0,0,False,5697,470682
SH600315,0,0,False,5697,470682
SH600316,0,0,False,5697,470682
SH600318,0,0,False,5697,470682
SH600319,0,0,False,5697,470682
SH600320,0,0,False,5697,470682
SH600322,0,0,False,5697,470682
SH600323,0,0,False,5697,470682
SH600325,0,0,False,5697,470682
SH600326,0,0,False,5697,470682
SH600327,0,0,False,5697,470682
SH600328,0,0,False,5697,470682
SH600329,0,0,False,5697,470682
SH600330,0,0,False,5697,470682
SH600331,8,8,False,5697,470682
SH600333,0,0,False,5697,470682
SH600335,0,0,False,5697,470682
SH600332,919,919,False,5697,470682
SH600336,0,0,False,5697,470682
SH600337,0,0,False,5697,470682
SH600338,0,0,False,5697,470682
SH600339,1,1,False,5697,470682
SH600340,969,969,False,5697,470682
SH600343,0,0,False,5697,470682
SH600345,0,0,False,5697,470682
SH600346,2012,2012,False,5697,470682
SH600348,16,16,False,5697,470682
SH600350,116,116,False,5697,470682
SH600351,0,0,False,5697,470682
SH600352,130,130,False,5697,470682
SH600353,0,0,False,5697,470682
SH600354,0,0,False,5697,470682
SH600356,0,0,False,5697,470682
SH600358,0,0,False,5697,470682
SH600359,0,0,False,5697,470682
SH600360,0,0,False,5697,470682
SH600361,0,0,False,5697,470682
SH600362,2007,2007,False,5697,470682
SH600363,0,0,False,5697,470682
SH600365,0,0,False,5697,470682
SH600366,0,0,False,5697,470682
SH600367,0,0,False,5697,470682
SH600368,0,0,False,5697,470682
SH600369,0,0,False,5697,470682
SH600370,0,0,False,5697,470682
SH600371,0,0,False,5697,470682
SH600372,691,691,False,5697,470682
SH600373,0,0,False,5697,470682
SH600375,0,0,False,5697,470682
SH600376,0,0,False,5697,470682
SH600377,1052,1052,False,5697,470682
SH600378,7,7,False,5697,470682
SH600379,0,0,False,5697,470682
SH600380,0,0,False,5697,470682
SH600381,0,0,False,5697,470682
SH600382,0,0,False,5697,470682
SH600383,1077,1077,False,5697,470682
SH600386,0,0,False,5697,470682
SH600388,0,0,False,5697,470682
SH600389,0,0,False,5697,470682
SH600390,109,109,False,5697,470682
SH600391,0,0,False,5697,470682
