population_id,source_artifact_id,raw_event_n,after_status_filter_event_n,risk_on_join_date_field,risk_on_join_status,global_regime_calendar_status,non_date_calendar_row_n,regime_conflict_date_n,multi_regime_date_n,split_assignment_source,split_assignment_status,entry_status_policy,expected_event_n,actual_event_n,count_drift_n,count_drift_flag,notes
c0_risk_on,state_change_candidate_event_canonical,28691.0,28691,market_regime_bucket_upstream,pass,pass,1,0,0,12A2 event_split,pass,canonical_trade_open,15113.0,15113,0.0,False,robustness:2024-01-02..2025-11-26;train:2018-01-10..2021-12-31;validation:2022-01-04..2023-12-29
r_core_risk_on,r_core_arm_event_registry,47914.0,47849,event_signal_date,pass,pass,1,0,0,r_core event_split,pass,headline_requires_executable_next_open,47849.0,47849,0.0,False,risk_on_after_join=30737; quoted_raw_minus_headline=65
matched_random_risk_on,pit_executable_daily,,415258,random_event_t0_date,pass,pass,1,0,0,C0 split date intervals,pass,next_open_after_random_event_t0,,415258,,False,robustness:2024-01-02..2025-11-26;train:2018-01-10..2021-12-31;validation:2022-01-04..2023-12-29
