population_id,baseline_role,scope_id,slice_type,split,board_bucket,primary_family_id,calendar_year,horizon_sessions,lower_barrier_pct,event_n,entry_blocked_n,censored_n,complete_executable_event_n,fast_fail_n,fast_fail_rate,no_fast_fail_n,no_fast_fail_rate,median_time_to_fast_fail_sessions,p75_time_to_fast_fail_sessions,label_status,diagnostic_only_flag,seed
matched_random_risk_on_seed_120600,matched_random,risk_on_all,all,all,all,all,all,10,-0.06,15113.0,0.0,0.0,15113.0,5912.0,0.3911863958181698,9201.0,0.6088136041818302,4.0,7.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_all,all,all,all,all,all,10,-0.08,15113.0,0.0,0.0,15113.0,4145.0,0.27426718718983656,10968.0,0.7257328128101634,5.0,7.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_all,all,all,all,all,all,10,-0.1,15113.0,0.0,0.0,15113.0,2850.0,0.18857936875537618,12263.0,0.8114206312446238,5.0,8.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_all,all,all,all,all,all,10,-0.12,15113.0,0.0,0.0,15113.0,1957.0,0.1294911665453583,13156.0,0.8705088334546417,6.0,8.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_all,all,all,all,all,all,10,-0.15,15113.0,0.0,0.0,15113.0,1118.0,0.07397604711175809,13995.0,0.9260239528882419,6.0,8.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_all,all,all,all,all,all,10,-0.2,15113.0,0.0,0.0,15113.0,401.0,0.026533448024879242,14712.0,0.9734665519751208,7.0,9.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_all,all,all,all,all,all,20,-0.06,15113.0,0.0,0.0,15113.0,8078.0,0.5345067160722556,7035.0,0.46549328392774436,6.0,11.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_all,all,all,all,all,all,20,-0.08,15113.0,0.0,0.0,15113.0,6399.0,0.423410309005492,8714.0,0.5765896909945081,8.0,13.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_all,all,all,all,all,all,20,-0.1,15113.0,0.0,0.0,15113.0,4928.0,0.32607688744789254,10185.0,0.6739231125521075,9.0,14.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_all,all,all,all,all,all,20,-0.12,15113.0,0.0,0.0,15113.0,3792.0,0.2509098127439952,11321.0,0.7490901872560047,10.0,15.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_all,all,all,all,all,all,20,-0.15,15113.0,0.0,0.0,15113.0,2461.0,0.1628399391252564,12652.0,0.8371600608747436,11.0,16.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_all,all,all,all,all,all,20,-0.2,15113.0,0.0,0.0,15113.0,1060.0,0.07013829153708727,14053.0,0.9298617084629127,13.0,17.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_split,split,robustness,all,all,all,10,-0.06,4659.0,0.0,0.0,4659.0,1492.0,0.3202403949345353,3167.0,0.6797596050654646,4.0,7.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_split,split,robustness,all,all,all,10,-0.08,4659.0,0.0,0.0,4659.0,967.0,0.20755526937110969,3692.0,0.7924447306288903,5.0,7.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_split,split,robustness,all,all,all,10,-0.1,4659.0,0.0,0.0,4659.0,631.0,0.13543678901051728,4028.0,0.8645632109894827,5.0,8.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_split,split,robustness,all,all,all,10,-0.12,4659.0,0.0,0.0,4659.0,431.0,0.09250912212921228,4228.0,0.9074908778707877,5.0,8.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_split,split,robustness,all,all,all,10,-0.15,4659.0,0.0,0.0,4659.0,248.0,0.0532303069328182,4411.0,0.9467696930671818,5.0,8.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_split,split,robustness,all,all,all,10,-0.2,4659.0,0.0,0.0,4659.0,85.0,0.018244258424554627,4574.0,0.9817557415754454,5.0,8.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_split,split,robustness,all,all,all,20,-0.06,4659.0,0.0,0.0,4659.0,2092.0,0.44902339557845034,2567.0,0.5509766044215496,6.0,11.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_split,split,robustness,all,all,all,20,-0.08,4659.0,0.0,0.0,4659.0,1547.0,0.3320455033268942,3112.0,0.6679544966731058,8.0,13.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_split,split,robustness,all,all,all,20,-0.1,4659.0,0.0,0.0,4659.0,1088.0,0.2335265078342992,3571.0,0.7664734921657008,9.0,14.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_split,split,robustness,all,all,all,20,-0.12,4659.0,0.0,0.0,4659.0,781.0,0.16763253917149604,3878.0,0.832367460828504,10.0,15.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_split,split,robustness,all,all,all,20,-0.15,4659.0,0.0,0.0,4659.0,476.0,0.1021678471775059,4183.0,0.8978321528224941,10.0,16.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_split,split,robustness,all,all,all,20,-0.2,4659.0,0.0,0.0,4659.0,195.0,0.04185447520927238,4464.0,0.9581455247907276,11.0,16.5,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_split,split,train,all,all,all,10,-0.06,8303.0,0.0,0.0,8303.0,3650.0,0.43960014452607493,4653.0,0.5603998554739251,4.0,6.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_split,split,train,all,all,all,10,-0.08,8303.0,0.0,0.0,8303.0,2684.0,0.3232566542213658,5619.0,0.6767433457786343,5.0,7.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_split,split,train,all,all,all,10,-0.1,8303.0,0.0,0.0,8303.0,1915.0,0.23063952788148862,6388.0,0.7693604721185114,5.0,8.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_split,split,train,all,all,all,10,-0.12,8303.0,0.0,0.0,8303.0,1357.0,0.1634349030470914,6946.0,0.8365650969529086,6.0,8.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_split,split,train,all,all,all,10,-0.15,8303.0,0.0,0.0,8303.0,796.0,0.0958689630254125,7507.0,0.9041310369745875,6.0,8.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_split,split,train,all,all,all,10,-0.2,8303.0,0.0,0.0,8303.0,295.0,0.0355293267493677,8008.0,0.9644706732506323,7.0,9.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_split,split,train,all,all,all,20,-0.06,8303.0,0.0,0.0,8303.0,4812.0,0.5795495603998555,3491.0,0.4204504396001445,5.0,10.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_split,split,train,all,all,all,20,-0.08,8303.0,0.0,0.0,8303.0,3950.0,0.47573166325424543,4353.0,0.5242683367457546,7.0,12.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_split,split,train,all,all,all,20,-0.1,8303.0,0.0,0.0,8303.0,3180.0,0.3829940985186077,5123.0,0.6170059014813922,9.0,13.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_split,split,train,all,all,all,20,-0.12,8303.0,0.0,0.0,8303.0,2545.0,0.30651571721064674,5758.0,0.6934842827893533,10.0,14.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_split,split,train,all,all,all,20,-0.15,8303.0,0.0,0.0,8303.0,1725.0,0.2077562326869806,6578.0,0.7922437673130194,11.0,15.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_split,split,train,all,all,all,20,-0.2,8303.0,0.0,0.0,8303.0,784.0,0.09442370227628567,7519.0,0.9055762977237143,13.0,17.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_split,split,validation,all,all,all,10,-0.06,2151.0,0.0,0.0,2151.0,770.0,0.3579730357973036,1381.0,0.6420269642026963,5.0,7.0,ok,False,120600
matched_random_risk_on_seed_120600,matched_random,risk_on_split,split,validation,all,all,all,10,-0.08,2151.0,0.0,0.0,2151.0,494.0,0.2296606229660623,1657.0,0.7703393770339377,6.0,8.0,ok,False,120600
