population_id,scope_id,slice_type,split,board_bucket,primary_family_id,calendar_year,complete_executable_event_n,fast_fail_n,fast_fail_rate,no_fast_fail_n,no_fast_fail_rate,retention_after_no_fast_fail,diagnostic_only_flag
c0_risk_on,risk_on_all,all,all,all,all,all,15113.0,5632.0,0.3726592999404486,9481.0,0.6273407000595514,0.6273407000595514,False
c0_risk_on,risk_on_split,split,robustness,all,all,all,4659.0,1425.0,0.30585962652929816,3234.0,0.6941403734707019,0.6941403734707019,False
c0_risk_on,risk_on_split,split,train,all,all,all,8303.0,3476.0,0.418643863663736,4827.0,0.581356136336264,0.581356136336264,False
c0_risk_on,risk_on_split,split,validation,all,all,all,2151.0,731.0,0.3398419339841934,1420.0,0.6601580660158066,0.6601580660158066,False
c0_risk_on,risk_on_board,board,all,chinext,all,all,3115.0,1524.0,0.4892455858747994,1591.0,0.5107544141252006,0.5107544141252006,False
c0_risk_on,risk_on_board,board,all,main_board,all,all,11998.0,4108.0,0.3423903983997333,7890.0,0.6576096016002667,0.6576096016002667,False
c0_risk_on,risk_on_year,year,all,all,all,2018,344.0,252.0,0.7325581395348837,92.0,0.2674418604651163,0.2674418604651163,False
c0_risk_on,risk_on_year,year,all,all,all,2019,2189.0,715.0,0.32663316582914576,1474.0,0.6733668341708543,0.6733668341708543,False
c0_risk_on,risk_on_year,year,all,all,all,2020,3083.0,1339.0,0.43431722348361984,1744.0,0.5656827765163801,0.5656827765163801,False
c0_risk_on,risk_on_year,year,all,all,all,2021,2687.0,1170.0,0.4354298474134723,1517.0,0.5645701525865277,0.5645701525865277,False
c0_risk_on,risk_on_year,year,all,all,all,2022,749.0,310.0,0.41388518024032045,439.0,0.5861148197596795,0.5861148197596795,False
c0_risk_on,risk_on_year,year,all,all,all,2023,1402.0,421.0,0.30028530670470754,981.0,0.6997146932952925,0.6997146932952925,False
c0_risk_on,risk_on_year,year,all,all,all,2024,2039.0,727.0,0.3565473271211378,1312.0,0.6434526728788622,0.6434526728788622,False
c0_risk_on,risk_on_year,year,all,all,all,2025,2620.0,698.0,0.26641221374045804,1922.0,0.7335877862595419,0.7335877862595419,False
c0_risk_on,c0_risk_on_by_family,family,all,all,B1,all,1990.0,764.0,0.38391959798994973,1226.0,0.6160804020100503,0.6160804020100503,True
c0_risk_on,c0_risk_on_by_family,family,all,all,B2,all,1946.0,564.0,0.289825282631038,1382.0,0.710174717368962,0.710174717368962,True
c0_risk_on,c0_risk_on_by_family,family,all,all,B3,all,1417.0,428.0,0.3020465772759351,989.0,0.6979534227240649,0.6979534227240649,True
c0_risk_on,c0_risk_on_by_family,family,all,all,B4,all,307.0,181.0,0.5895765472312704,126.0,0.4104234527687296,0.4104234527687296,True
c0_risk_on,c0_risk_on_by_family,family,all,all,B5,all,6286.0,2387.0,0.37973273942093544,3899.0,0.6202672605790646,0.6202672605790646,True
c0_risk_on,c0_risk_on_by_family,family,all,all,B6,all,989.0,447.0,0.45197168857431747,542.0,0.5480283114256825,0.5480283114256825,True
c0_risk_on,c0_risk_on_by_family,family,all,all,B8,all,2178.0,861.0,0.3953168044077135,1317.0,0.6046831955922864,0.6046831955922864,True
r_core_risk_on,risk_on_all,all,all,all,all,all,30266.0,12376.0,0.40890768519130377,17890.0,0.5910923148086962,0.5910923148086962,False
r_core_risk_on,risk_on_split,split,robustness,all,all,all,9567.0,3350.0,0.3501620152607923,6217.0,0.6498379847392077,0.6498379847392077,False
