population_id,event_n,entry_status_policy,executable_entry_n,entry_blocked_n,missing_price_file_n,missing_entry_date_n,missing_entry_pos_n,missing_entry_price_n,entry_date_pos_mismatch_n,pit_membership_missing_n,pit_membership_not_executable_n,r_core_registry_raw_event_n,r_core_executable_next_open_event_n,r_core_excluded_non_next_open_n,r_core_excluded_missing_execution_date_or_pos_n,entry_parity_gate_pass
c0_risk_on,15113,canonical_or_random_next_open,15113,0,0,0,0,0,0,0,0,,,,,True
r_core_risk_on,30737,headline_requires_executable_next_open,30266,471,0,0,0,0,0,471,0,47914.0,47849.0,65.0,0.0,False
matched_random_risk_on,1511300,canonical_or_random_next_open,1511300,0,0,0,0,0,0,0,0,,,,,True
