scope_id,split,slice_type,board_bucket,primary_family_id,calendar_year,horizon_sessions,lower_barrier_pct,c0_complete_executable_event_n,c0_fast_fail_rate,random_fast_fail_rate_p05,random_fast_fail_rate_p50,random_fast_fail_rate_p95,r_core_fast_fail_rate,fast_fail_abs_delta_vs_random_p50,fast_fail_abs_delta_vs_r_core,fast_fail_relative_reduction_vs_random_p50,fast_fail_relative_reduction_vs_r_core,uplift_status,diagnostic_only_flag
risk_on_all,all,all,all,all,all,10,-0.06,15113.0,0.44590749685701053,0.38767617283133726,0.39300602130616025,0.3982928604512671,0.48688297099055045,0.052901475550850285,-0.04097547413353991,-0.13460729017594075,0.08415877443849884,no_random_uplift,False
risk_on_all,all,all,all,all,all,10,-0.08,15113.0,0.32356249586448754,0.27009197379739297,0.2747303645867796,0.2796499702243102,0.3613295447036278,0.04883213127770797,-0.03776704883914028,-0.1777456647398845,0.10452244880810346,no_random_uplift,False
risk_on_all,all,all,all,all,all,10,-0.1,15113.0,0.22947131608548932,0.18637265929994043,0.19086217164030966,0.19513994574207635,0.26399259895592414,0.038609144445179655,-0.03452128287043482,-0.2022880915236609,0.13076610104587993,no_random_uplift,False
risk_on_all,all,all,all,all,all,10,-0.12,15113.0,0.15873751075233242,0.12795937272546815,0.13157546483160193,0.13597895851253888,0.18733892817022402,0.027162045920730488,-0.0286014174178916,-0.2064370128237365,0.1526720457795251,no_random_uplift,False
risk_on_all,all,all,all,all,all,10,-0.15,15113.0,0.09190762919340965,0.07204393568451004,0.07453847680804605,0.07894527889896116,0.11035485363113726,0.0173691523853636,-0.018447224437727602,-0.23302263648468724,0.1671627828839113,no_random_uplift,False
risk_on_all,all,all,all,all,all,10,-0.2,15113.0,0.03447363197247403,0.02527294382319857,0.027162045920730495,0.02931582081651558,0.04248992268552171,0.007311586051743535,-0.008016290713047679,-0.26918392204628505,0.1886633395965016,no_random_uplift,False
risk_on_all,all,all,all,all,all,20,-0.06,15113.0,0.5810229603652485,0.5294713160854894,0.5356977436643949,0.5425825448289552,0.6179871803343686,0.04532521670085354,-0.03696421996912014,-0.08460968379446632,0.05981389443891094,no_random_uplift,False
risk_on_all,all,all,all,all,all,20,-0.08,15113.0,0.4701912260967379,0.41851055382783037,0.42360881360418184,0.428922120029114,0.5066741558184101,0.04658241249255607,-0.03648292972167222,-0.10996563573883167,0.07200471802778818,no_random_uplift,False
risk_on_all,all,all,all,all,all,20,-0.1,15113.0,0.3726592999404486,0.32352279494474956,0.32925296102693047,0.33441738900284523,0.40890768519130377,0.04340633891351814,-0.036248385250855164,-0.13183279742765275,0.08864686716244197,no_random_uplift,False
risk_on_all,all,all,all,all,all,20,-0.12,15113.0,0.2923311056706147,0.2459471977767485,0.25186925163766294,0.25674584794547745,0.3239939205709377,0.04046185403295177,-0.031662814900322966,-0.16064626297123352,0.09772657105579996,no_random_uplift,False
risk_on_all,all,all,all,all,all,20,-0.15,15113.0,0.19804142129292662,0.16144048170449282,0.16542049890822472,0.16906305829418383,0.2214365955197251,0.032620922384701906,-0.023395174226798487,-0.19720000000000004,0.10565179694841587,no_random_uplift,False
risk_on_all,all,all,all,all,all,20,-0.2,15113.0,0.09528220737113743,0.07011844107721828,0.07321511281678025,0.0760338781181764,0.10721601797396418,0.02206709455435718,-0.01193381060282675,-0.3014008133755084,0.1113062285686146,no_random_uplift,False
risk_on_split,robustness,split,all,all,all,10,-0.06,4659.0,0.40051513200257566,0.30885383129426913,0.32034771410173857,0.32914788581240606,0.44831190550851885,0.08016741790083709,-0.04779677350594319,-0.250251256281407,0.10661499933116314,no_random_uplift,False
risk_on_split,robustness,split,all,all,all,10,-0.08,4659.0,0.2891178364455892,0.2013092938398798,0.21131144022322385,0.22002575660012877,0.3271663008257552,0.07780639622236535,-0.038048464380166014,-0.36820721178263094,0.11629701556710803,no_random_uplift,False
risk_on_split,robustness,split,all,all,all,10,-0.1,4659.0,0.2017600343421335,0.13627387851470274,0.14155398154110324,0.14810045074050227,0.2405142677955472,0.06020605280103025,-0.038754233453413695,-0.4253222137983319,0.16113070467136414,no_random_uplift,False
risk_on_split,robustness,split,all,all,all,10,-0.12,4659.0,0.13264649066323245,0.0892895471131144,0.09422622880446448,0.10067611075338055,0.17142259851573116,0.03842026185876797,-0.038776107852498715,-0.4077448747152619,0.22620184379564345,no_random_uplift,False
risk_on_split,robustness,split,all,all,all,10,-0.15,4659.0,0.07447950203906417,0.04700579523502898,0.051513200257566,0.058392358875295126,0.0984634681718407,0.022966301781498173,-0.023983966132776535,-0.4458333333333333,0.24358238215740247,no_random_uplift,False
risk_on_split,robustness,split,all,all,all,10,-0.2,4659.0,0.0231809401159047,0.01588323674608285,0.01878085426057094,0.022762395363811975,0.033657363854917945,0.00440008585533376,-0.010476423739013245,-0.2342857142857142,0.3112669127675146,no_random_uplift,False
risk_on_split,robustness,split,all,all,all,20,-0.06,4659.0,0.515561279244473,0.43999785361665594,0.45127709808971883,0.46155827430779134,0.5615135361137242,0.0642841811547542,-0.045952256869251196,-0.14244946492271104,0.08183641873941294,no_random_uplift,False
risk_on_split,robustness,split,all,all,all,20,-0.08,4659.0,0.4058810903627388,0.3242970594548186,0.33483580167417903,0.3462438291478858,0.44601233406501517,0.07104528868855975,-0.04013124370227639,-0.2121794871794871,0.08997787872033702,no_random_uplift,False
