arm_id,run_status,reason,row_n,exact_replication_claim_allowed
P2_TREND_FULL_EXACT,registered_not_run,20A exact data/history/universe gates failed,0,False
P3_RESMOM_CH3_EXACT,registered_not_run,20A exact data/history/universe gates failed,0,False
