artifact_role,path,expected_sha256,actual_sha256,status,blocking_reason
final_output_hashes,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/output_hashes_20b_trendpv_residual_momentum_design_and_replication_diagnostic.json,51c74f44ec3157f0df39b724b818477907c69bc7e10490fafbc67cc2bf6ff6e4,51c74f44ec3157f0df39b724b818477907c69bc7e10490fafbc67cc2bf6ff6e4,pass,
final_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/manifest_20b_trendpv_residual_momentum_design_and_replication_diagnostic.json,e99d797c81729ab6c51e6de027218d81cbd7d9244cb556989af62b8916f83e6b,e99d797c81729ab6c51e6de027218d81cbd7d9244cb556989af62b8916f83e6b,pass,
decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/20B_trendpv_residual_momentum_design_and_replication_diagnostic_decision.csv,322aac8de0f5ccd456e9b90830644edcd2c473bfec48baf1cab348fee11e9992,322aac8de0f5ccd456e9b90830644edcd2c473bfec48baf1cab348fee11e9992,pass,
preoutcome_registry,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/preoutcome/preoutcome_output_hashes_20b.json,4079813d74ce16344dd53886c6a986c356a17589dd5725c18622a807de1102d1,4079813d74ce16344dd53886c6a986c356a17589dd5725c18622a807de1102d1,pass,
historical_registry,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/historical/historical_output_hashes_20b.json,bac77bc13efcd7b75df5b18f44940bcc24e57589e62dde593bd0ef748705426f,bac77bc13efcd7b75df5b18f44940bcc24e57589e62dde593bd0ef748705426f,pass,
historical_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/historical/historical_manifest_20b.json,4080855f5a97ecfaba0d11dbf2ac0607a927086ef3e57cfd40dfbcdf89474bda,4080855f5a97ecfaba0d11dbf2ac0607a927086ef3e57cfd40dfbcdf89474bda,pass,
assignment,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/historical/instrument_month_signal_bucket_assignment.parquet,99f4d543318a343b9a1832b2e7f6c3b00ad841f80af68270c994054dd4e86721,99f4d543318a343b9a1832b2e7f6c3b00ad841f80af68270c994054dd4e86721,pass,
outcome_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/historical/outcome_resolution_audit.csv.gz,6231d9f6fc6828b0803b71b4a7a52ef199db6792b1ec9616b7e152495616bba6,6231d9f6fc6828b0803b71b4a7a52ef199db6792b1ec9616b7e152495616bba6,pass,
fold_freeze,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/preoutcome/statistical_and_fold_freeze.csv,0930e56eaca91882b5f82b7ef0062ee924607a6a6847e9f00916e3816380b9e7,0930e56eaca91882b5f82b7ef0062ee924607a6a6847e9f00916e3816380b9e7,pass,
upstream_manifest_identity,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/manifest_20b_trendpv_residual_momentum_design_and_replication_diagnostic.json,14f19c458e9e940ec2ce2519478ec8056f9aeeb063624a7a6e1371e4a787b907,14f19c458e9e940ec2ce2519478ec8056f9aeeb063624a7a6e1371e4a787b907,pass,
