split,scored_model_id,model_family_id,fit_id,model_role,feature_set_id,trainable,selection_eligible,score_scope
validation,B0_P4_RAW_RANK,NONTRAINABLE_P4_BASELINE,,nontrainable,full16,False,False,validation
validation,N0_HASH_NULL,NONTRAINABLE_HASH_NULL,,nontrainable,full16,False,False,validation
validation,M1_RIDGE_RANK_REGRESSION,M1_RIDGE_RANK_REGRESSION,M1_candidate_train,trainable,full16,True,True,validation
validation,M2_LIGHTGBM_LAMBDARANK,M2_LIGHTGBM_LAMBDARANK,M2_candidate_train,trainable,full16,True,True,validation
robustness,B0_P4_RAW_RANK,NONTRAINABLE_P4_BASELINE,,nontrainable,full16,False,False,robustness
robustness,N0_HASH_NULL,NONTRAINABLE_HASH_NULL,,nontrainable,full16,False,False,robustness
robustness,S0_SELECTED_FULL,SELECTED_FAMILY_PLACEHOLDER,selected_full_refit,trainable,full16,True,False,robustness
robustness,A1_P4_PATH_ONLY,SELECTED_FAMILY_PLACEHOLDER,A1_p4_path_only_refit,trainable,A1_p4_path,True,False,robustness
robustness,A2_CROSS_SIGNALS_WITHOUT_P4,SELECTED_FAMILY_PLACEHOLDER,A2_cross_signals_without_p4_refit,trainable,A2_cross_signals,True,False,robustness
