split,event_scope,event_stage,family_group,family_id,component_id,non_null_event_count,null_event_count,weighted_non_null_event_count,component_true_rate,component_true_count
train,r03_clean_fresh_family_event,fresh_3,per_family,momentum_rps,down_volume_dominance_flag,147,1,147.0,0.14965986394557823,22
train,r03_clean_fresh_family_event,fresh_3,per_family,momentum_rps,ma20_break_no_reclaim_flag,108,40,108.0,0.08333333333333333,9
train,r03_clean_fresh_family_event,fresh_3,per_family,momentum_rps,large_bearish_engulf_flag,147,1,147.0,0.19727891156462585,29
train,r03_clean_fresh_family_event,fresh_3,per_family,momentum_rps,volatility_up_no_price_flag,109,39,109.0,0.1926605504587156,21
train,r03_clean_fresh_family_event,fresh_3,per_family,momentum_rps,low_upside_efficiency_flag,109,39,109.0,0.22018348623853212,24
train,r03_clean_fresh_family_event,fresh_3,per_family,momentum_rps,lower_low_lower_high_flag,147,1,147.0,0.09523809523809523,14
train,r03_clean_fresh_family_event,fresh_3,per_family,momentum_rps,gap_up_fade_flag,147,1,147.0,0.2108843537414966,31
train,r03_clean_fresh_family_event,fresh_3,per_family,oscillator,volume_stall_flag,227,6,227.0,0.18061674008810572,41
train,r03_clean_fresh_family_event,fresh_3,per_family,oscillator,failed_breakout_flag,96,137,96.0,0.8125,78
train,r03_clean_fresh_family_event,fresh_3,per_family,oscillator,dense_upper_shadow_flag,228,5,228.0,0.6885964912280702,157
train,r03_clean_fresh_family_event,fresh_3,per_family,oscillator,down_volume_dominance_flag,228,5,228.0,0.12719298245614036,29
train,r03_clean_fresh_family_event,fresh_3,per_family,oscillator,ma20_break_no_reclaim_flag,149,84,149.0,0.18120805369127516,27
train,r03_clean_fresh_family_event,fresh_3,per_family,oscillator,large_bearish_engulf_flag,228,5,228.0,0.21929824561403508,50
train,r03_clean_fresh_family_event,fresh_3,per_family,oscillator,volatility_up_no_price_flag,160,73,160.0,0.2375,38
train,r03_clean_fresh_family_event,fresh_3,per_family,oscillator,low_upside_efficiency_flag,160,73,160.0,0.28125,45
train,r03_clean_fresh_family_event,fresh_3,per_family,oscillator,lower_low_lower_high_flag,228,5,228.0,0.14912280701754385,34
train,r03_clean_fresh_family_event,fresh_3,per_family,oscillator,gap_up_fade_flag,228,5,228.0,0.2324561403508772,53
train,r03_clean_fresh_family_event,fresh_3,per_family,price_trend,volume_stall_flag,159,4,159.0,0.14465408805031446,23
train,r03_clean_fresh_family_event,fresh_3,per_family,price_trend,failed_breakout_flag,65,98,65.0,0.9230769230769231,60
train,r03_clean_fresh_family_event,fresh_3,per_family,price_trend,dense_upper_shadow_flag,159,4,159.0,0.6666666666666666,106
train,r03_clean_fresh_family_event,fresh_3,per_family,price_trend,down_volume_dominance_flag,159,4,159.0,0.18867924528301888,30
train,r03_clean_fresh_family_event,fresh_3,per_family,price_trend,ma20_break_no_reclaim_flag,99,64,99.0,0.10101010101010101,10
train,r03_clean_fresh_family_event,fresh_3,per_family,price_trend,large_bearish_engulf_flag,159,4,159.0,0.31446540880503143,50
train,r03_clean_fresh_family_event,fresh_3,per_family,price_trend,volatility_up_no_price_flag,120,43,120.0,0.18333333333333332,22
train,r03_clean_fresh_family_event,fresh_3,per_family,price_trend,low_upside_efficiency_flag,120,43,120.0,0.21666666666666667,26
train,r03_clean_fresh_family_event,fresh_3,per_family,price_trend,lower_low_lower_high_flag,159,4,159.0,0.08176100628930817,13
train,r03_clean_fresh_family_event,fresh_3,per_family,price_trend,gap_up_fade_flag,159,4,159.0,0.18238993710691823,29
train,r03_clean_fresh_family_event,fresh_3,per_family,pullback_drawdown,volume_stall_flag,103,3,103.0,0.17475728155339806,18
train,r03_clean_fresh_family_event,fresh_3,per_family,pullback_drawdown,failed_breakout_flag,29,77,29.0,0.8620689655172413,25
train,r03_clean_fresh_family_event,fresh_3,per_family,pullback_drawdown,dense_upper_shadow_flag,103,3,103.0,0.6407766990291263,66
train,r03_clean_fresh_family_event,fresh_3,per_family,pullback_drawdown,down_volume_dominance_flag,103,3,103.0,0.1553398058252427,16
train,r03_clean_fresh_family_event,fresh_3,per_family,pullback_drawdown,ma20_break_no_reclaim_flag,79,27,79.0,0.06329113924050633,5
train,r03_clean_fresh_family_event,fresh_3,per_family,pullback_drawdown,large_bearish_engulf_flag,103,3,103.0,0.33980582524271846,35
train,r03_clean_fresh_family_event,fresh_3,per_family,pullback_drawdown,volatility_up_no_price_flag,74,32,74.0,0.20270270270270271,15
train,r03_clean_fresh_family_event,fresh_3,per_family,pullback_drawdown,low_upside_efficiency_flag,74,32,74.0,0.1891891891891892,14
train,r03_clean_fresh_family_event,fresh_3,per_family,pullback_drawdown,lower_low_lower_high_flag,103,3,103.0,0.06796116504854369,7
train,r03_clean_fresh_family_event,fresh_3,per_family,pullback_drawdown,gap_up_fade_flag,103,3,103.0,0.11650485436893204,12
train,r03_clean_fresh_family_event,fresh_3,per_family,range_breakout,volume_stall_flag,10,0,10.0,0.2,2
train,r03_clean_fresh_family_event,fresh_3,per_family,range_breakout,failed_breakout_flag,2,8,2.0,1.0,2
train,r03_clean_fresh_family_event,fresh_3,per_family,range_breakout,dense_upper_shadow_flag,10,0,10.0,0.8,8
train,r03_clean_fresh_family_event,fresh_3,per_family,range_breakout,down_volume_dominance_flag,10,0,10.0,0.1,1
train,r03_clean_fresh_family_event,fresh_3,per_family,range_breakout,ma20_break_no_reclaim_flag,7,3,7.0,0.0,0
train,r03_clean_fresh_family_event,fresh_3,per_family,range_breakout,large_bearish_engulf_flag,10,0,10.0,0.1,1
train,r03_clean_fresh_family_event,fresh_3,per_family,range_breakout,volatility_up_no_price_flag,9,1,9.0,0.2222222222222222,2
train,r03_clean_fresh_family_event,fresh_3,per_family,range_breakout,low_upside_efficiency_flag,9,1,9.0,0.2222222222222222,2
train,r03_clean_fresh_family_event,fresh_3,per_family,range_breakout,lower_low_lower_high_flag,10,0,10.0,0.0,0
train,r03_clean_fresh_family_event,fresh_3,per_family,range_breakout,gap_up_fade_flag,10,0,10.0,0.5,5
train,r03_clean_fresh_family_event,fresh_3,per_family,volatility_band,volume_stall_flag,216,10,216.0,0.1574074074074074,34
train,r03_clean_fresh_family_event,fresh_3,per_family,volatility_band,failed_breakout_flag,68,158,68.0,0.8970588235294118,61
train,r03_clean_fresh_family_event,fresh_3,per_family,volatility_band,dense_upper_shadow_flag,216,10,216.0,0.6851851851851852,148
train,r03_clean_fresh_family_event,fresh_3,per_family,volatility_band,down_volume_dominance_flag,216,10,216.0,0.16666666666666666,36
train,r03_clean_fresh_family_event,fresh_3,per_family,volatility_band,ma20_break_no_reclaim_flag,151,75,151.0,0.152317880794702,23
train,r03_clean_fresh_family_event,fresh_3,per_family,volatility_band,large_bearish_engulf_flag,216,10,216.0,0.18055555555555555,39
train,r03_clean_fresh_family_event,fresh_3,per_family,volatility_band,volatility_up_no_price_flag,168,58,168.0,0.18452380952380953,31
train,r03_clean_fresh_family_event,fresh_3,per_family,volatility_band,low_upside_efficiency_flag,168,58,168.0,0.20833333333333334,35
train,r03_clean_fresh_family_event,fresh_3,per_family,volatility_band,lower_low_lower_high_flag,216,10,216.0,0.12962962962962962,28
train,r03_clean_fresh_family_event,fresh_3,per_family,volatility_band,gap_up_fade_flag,216,10,216.0,0.2361111111111111,51
