event_scope,event_stage,family_group,family_id,outcome_anchor,filter_policy,metric,validation_value,robustness_value,robustness_minus_validation,primary_decision_grain
r02_signal_episode_start,r02_episode_start,all_families_dedup_weighted,ALL,filter_decision_close_anchor,drop_score_ge3,p_bad,0.8767676767676768,0.8554376657824934,-0.02133001098518339,False
r02_signal_episode_start,r02_episode_start,all_families_dedup_weighted,ALL,filter_decision_close_anchor,drop_score_ge3,p_good,0.10707070707070708,0.1419098143236074,0.034839107252900334,False
r02_signal_episode_start,r02_episode_start,all_families_dedup_weighted,ALL,filter_decision_close_anchor,drop_score_ge3,p_good_minus_p_bad,-0.7696969696969697,-0.713527851458886,0.05616911823808368,False
r02_signal_episode_start,r02_episode_start,all_families_dedup_weighted,ALL,filter_decision_close_anchor,drop_score_ge3,big_winner_rate,0.046464646464646465,0.03315649867374005,-0.013308147790906416,False
r02_signal_episode_start,r02_episode_start,all_families_dedup_weighted,ALL,filter_decision_close_anchor,drop_score_ge5,p_bad,0.8731182795698925,0.8344741754822651,-0.03864410408762742,False
r02_signal_episode_start,r02_episode_start,all_families_dedup_weighted,ALL,filter_decision_close_anchor,drop_score_ge5,p_good,0.11505376344086021,0.1611698817672682,0.046116118326407995,False
r02_signal_episode_start,r02_episode_start,all_families_dedup_weighted,ALL,filter_decision_close_anchor,drop_score_ge5,p_good_minus_p_bad,-0.7580645161290323,-0.6733042937149969,0.08476022241403536,False
r02_signal_episode_start,r02_episode_start,all_families_dedup_weighted,ALL,filter_decision_close_anchor,drop_score_ge5,big_winner_rate,0.060215053763440864,0.02924704418170504,-0.030968009581735824,False
r02_signal_episode_start,r02_episode_start,all_families_dedup_weighted,ALL,filter_decision_close_anchor,drop_score_ge7,p_bad,0.8717712177121771,0.8309705561613958,-0.040800661550781325,False
r02_signal_episode_start,r02_episode_start,all_families_dedup_weighted,ALL,filter_decision_close_anchor,drop_score_ge7,p_good,0.1088560885608856,0.1619411123227917,0.0530850237619061,False
