split,event_scope,event_stage,family_group,family_id,outcome_anchor,filter_policy,denominator_policy,baseline_event_count,baseline_weighted_event_count,passed_event_count,dropped_event_count,dropped_p_bad,event_count,weighted_event_count,unique_instrument_count,unique_signal_date_count,p_good,p_bad,p_neutral,big_winner_rate,p_good_minus_p_bad,delta_p_bad_vs_parent,delta_p_good_vs_parent,delta_p_good_minus_p_bad_vs_parent,delta_big_winner_rate_vs_parent
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,signal_anchor_retention_audit,no_badshape_filter_t10_survivor,baseline_1,1037,1037.0,1037,0,,1037,1037.0,248,407,0.07521697203471553,0.9218900675024108,0.0019286403085824494,0.3085824493731919,-0.8466730954676952,0.0,0.0,0.0,0.0
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,signal_anchor_retention_audit,drop_score_ge3,baseline_1,1037,1037.0,469,568,0.9524647887323944,469,469.0,171,275,0.11087420042643924,0.8848614072494669,0.0021321961620469083,0.3646055437100213,-0.7739872068230277,-0.037028660252943824,0.03565722839172371,0.07268588864466752,0.05602309433682939
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,signal_anchor_retention_audit,drop_score_ge5,baseline_1,1037,1037.0,858,179,0.9888268156424581,858,858.0,237,383,0.08857808857808858,0.9079254079254079,0.002331002331002331,0.3344988344988345,-0.8193473193473193,-0.01396465957700288,0.013361116543373047,0.0273257761203759,0.025916385125642594
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,signal_anchor_retention_audit,drop_score_ge7,baseline_1,1037,1037.0,968,69,1.0,968,968.0,245,399,0.08057851239669421,0.9163223140495868,0.002066115702479339,0.31714876033057854,-0.8357438016528925,-0.005567753452824009,0.005361540361978681,0.010929293814802676,0.008566310957386636
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,filter_decision_next_open_anchor,no_badshape_filter_t10_survivor,baseline_1,1037,1037.0,1037,0,,1037,1037.0,248,407,0.052073288331726135,0.9450337512054002,0.0028929604628736743,0.30665380906460943,-0.8929604628736741,0.0,0.0,0.0,0.0
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,filter_decision_next_open_anchor,drop_score_ge3,baseline_1,1037,1037.0,469,568,0.9383802816901409,469,469.0,171,275,0.046908315565031986,0.9530916844349681,0.0,0.31769722814498935,-0.9061833688699361,0.008057933229567826,-0.0051649727666941495,-0.013222905996261969,0.011043419080379924
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,filter_decision_next_open_anchor,drop_score_ge5,baseline_1,1037,1037.0,858,179,0.9441340782122905,858,858.0,237,383,0.05244755244755245,0.9452214452214452,0.002331002331002331,0.30652680652680653,-0.8927738927738929,0.00018769401604501468,0.00037426411582631297,0.00018657009978129135,-0.0001270025378029005
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,filter_decision_next_open_anchor,drop_score_ge7,baseline_1,1037,1037.0,968,69,0.9710144927536232,968,968.0,245,399,0.05371900826446281,0.9431818181818182,0.0030991735537190084,0.3047520661157025,-0.8894628099173554,-0.0018519330235819975,0.0016457199327366764,0.003497652956318764,-0.001901742948906937
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,filter_decision_close_anchor,no_badshape_filter_t10_survivor,baseline_1,1037,1037.0,1037,0,,1037,1037.0,248,407,0.052073288331726135,0.9450337512054002,0.0028929604628736743,0.2786885245901639,-0.8929604628736741,0.0,0.0,0.0,0.0
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,filter_decision_close_anchor,drop_score_ge3,baseline_1,1037,1037.0,469,568,0.9383802816901409,469,469.0,171,275,0.046908315565031986,0.9530916844349681,0.0,0.2857142857142857,-0.9061833688699361,0.008057933229567826,-0.0051649727666941495,-0.013222905996261969,0.007025761124121788
