split,event_scope,event_stage,family_group,family_id,baseline,event_count,weighted_event_count,shape_eval_complete_rate,bad_score_complete_rate,filter_path_complete_rate,signal_anchor_big_winner_rate
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,baseline_0_all_events,5780,5780.0,0.9835640138408305,0.22110726643598616,0.7880622837370242,0.15363321799307958
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,baseline_1_t10_survivor_badscore_evaluable,1037,1037.0,1.0,1.0,1.0,0.3085824493731919
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,baseline_0_all_events,6368,6368.0,0.9886934673366834,0.22581658291457288,0.820037688442211,0.1304962311557789
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,baseline_1_t10_survivor_badscore_evaluable,1191,1191.0,1.0,1.0,1.0,0.2787573467674223
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,baseline_0_all_events,6396,6396.0,0.9863977485928705,0.2090368980612883,0.791588492808005,0.1483739837398374
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,baseline_1_t10_survivor_badscore_evaluable,1091,1091.0,1.0,1.0,1.0,0.29605866177818513
train,r02_signal_episode_start,r02_episode_start,per_family,pullback_drawdown,baseline_0_all_events,6267,6267.0,0.9861177596936334,0.18477740545715654,0.7978299026647518,0.13898196904419977
train,r02_signal_episode_start,r02_episode_start,per_family,pullback_drawdown,baseline_1_t10_survivor_badscore_evaluable,954,954.0,1.0,1.0,1.0,0.2976939203354298
train,r02_signal_episode_start,r02_episode_start,per_family,range_breakout,baseline_0_all_events,8431,8431.0,0.9855295931680702,0.14458545842723283,0.8078519748547028,0.12098208990629819
train,r02_signal_episode_start,r02_episode_start,per_family,range_breakout,baseline_1_t10_survivor_badscore_evaluable,990,990.0,1.0,1.0,1.0,0.29494949494949496
train,r02_signal_episode_start,r02_episode_start,per_family,volatility_band,baseline_0_all_events,5910,5910.0,0.9884940778341793,0.22944162436548224,0.8157360406091371,0.12301184433164128
train,r02_signal_episode_start,r02_episode_start,per_family,volatility_band,baseline_1_t10_survivor_badscore_evaluable,1121,1121.0,1.0,1.0,1.0,0.2649420160570919
train,r02_signal_episode_start,r02_episode_start,per_family,volume_money,baseline_0_all_events,7577,7577.0,0.9870661211561303,0.17223175399234525,0.8214332849412697,0.11772469315032334
train,r02_signal_episode_start,r02_episode_start,per_family,volume_money,baseline_1_t10_survivor_badscore_evaluable,1087,1087.0,1.0,1.0,1.0,0.265869365225391
train,r03_clean_fresh_family_event,fresh_1,per_family,momentum_rps,baseline_0_all_events,856,856.0,0.9894859813084113,0.2207943925233645,0.8095794392523364,0.13901869158878505
train,r03_clean_fresh_family_event,fresh_1,per_family,momentum_rps,baseline_1_t10_survivor_badscore_evaluable,163,163.0,1.0,1.0,1.0,0.26380368098159507
train,r03_clean_fresh_family_event,fresh_1,per_family,oscillator,baseline_0_all_events,743,743.0,0.9919246298788694,0.18842530282637954,0.8667563930013459,0.1117092866756393
train,r03_clean_fresh_family_event,fresh_1,per_family,oscillator,baseline_1_t10_survivor_badscore_evaluable,123,123.0,1.0,1.0,1.0,0.2601626016260163
train,r03_clean_fresh_family_event,fresh_1,per_family,price_trend,baseline_0_all_events,632,632.0,0.9920886075949367,0.2389240506329114,0.8465189873417721,0.15031645569620253
train,r03_clean_fresh_family_event,fresh_1,per_family,price_trend,baseline_1_t10_survivor_badscore_evaluable,130,130.0,1.0,1.0,1.0,0.3153846153846154
train,r03_clean_fresh_family_event,fresh_1,per_family,pullback_drawdown,baseline_0_all_events,1220,1220.0,0.9926229508196721,0.17868852459016393,0.8221311475409836,0.13524590163934427
train,r03_clean_fresh_family_event,fresh_1,per_family,pullback_drawdown,baseline_1_t10_survivor_badscore_evaluable,187,187.0,1.0,1.0,1.0,0.32620320855614976
train,r03_clean_fresh_family_event,fresh_1,per_family,range_breakout,baseline_0_all_events,555,555.0,0.9873873873873874,0.16756756756756758,0.8486486486486486,0.13333333333333333
train,r03_clean_fresh_family_event,fresh_1,per_family,range_breakout,baseline_1_t10_survivor_badscore_evaluable,82,82.0,1.0,1.0,1.0,0.36585365853658536
train,r03_clean_fresh_family_event,fresh_1,per_family,volatility_band,baseline_0_all_events,729,729.0,0.99039780521262,0.22496570644718794,0.821673525377229,0.1111111111111111
train,r03_clean_fresh_family_event,fresh_1,per_family,volatility_band,baseline_1_t10_survivor_badscore_evaluable,135,135.0,1.0,1.0,1.0,0.3037037037037037
train,r03_clean_fresh_family_event,fresh_1,per_family,volume_money,baseline_0_all_events,753,753.0,0.9867197875166003,0.1806108897742364,0.8273572377158035,0.09694555112881806
