split,event_scope,event_stage,family_group,family_id,bad_score_bucket,event_count,weighted_event_count,unique_instrument_count,unique_signal_date_count,p_good,p_bad,p_neutral,p_good_minus_p_bad,big_winner_rate
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,0_2,469,469.0,171,275,0.046908315565031986,0.9530916844349681,0.0,-0.9061833688699361,0.31769722814498935
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,3_4,389,389.0,186,238,0.05912596401028278,0.9357326478149101,0.005141388174807198,-0.8766066838046273,0.2930591259640103
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,5_6,110,110.0,83,88,0.06363636363636363,0.9272727272727272,0.00909090909090909,-0.8636363636363636,0.2909090909090909
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,7plus,69,69.0,64,55,0.028985507246376812,0.9710144927536232,0.0,-0.9420289855072463,0.3333333333333333
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,0_2,533,533.0,172,287,0.04878048780487805,0.9512195121951219,0.0,-0.9024390243902438,0.3133208255159475
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,3_4,442,442.0,187,248,0.083710407239819,0.916289592760181,0.0,-0.8325791855203619,0.28054298642533937
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,5_6,140,140.0,103,94,0.08571428571428572,0.8928571428571429,0.02142857142857143,-0.8071428571428572,0.20714285714285716
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,7plus,76,76.0,66,56,0.10526315789473684,0.8947368421052632,0.0,-0.7894736842105263,0.35526315789473684
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,0_2,492,492.0,181,267,0.052845528455284556,0.9471544715447154,0.0,-0.8943089430894309,0.3048780487804878
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,3_4,416,416.0,190,229,0.07211538461538461,0.9254807692307693,0.002403846153846154,-0.8533653846153847,0.28125
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,5_6,114,114.0,90,88,0.05263157894736842,0.9385964912280702,0.008771929824561403,-0.8859649122807018,0.2719298245614035
train,r02_signal_episode_start,r02_episode_start,per_family,price_trend,7plus,69,69.0,61,58,0.07246376811594203,0.927536231884058,0.0,-0.855072463768116,0.3188405797101449
train,r02_signal_episode_start,r02_episode_start,per_family,pullback_drawdown,0_2,456,456.0,176,262,0.05043859649122807,0.9495614035087719,0.0,-0.8991228070175439,0.3026315789473684
train,r02_signal_episode_start,r02_episode_start,per_family,pullback_drawdown,3_4,342,342.0,180,202,0.06432748538011696,0.935672514619883,0.0,-0.871345029239766,0.2631578947368421
train,r02_signal_episode_start,r02_episode_start,per_family,pullback_drawdown,5_6,90,90.0,73,74,0.1,0.8888888888888888,0.011111111111111112,-0.7888888888888889,0.18888888888888888
train,r02_signal_episode_start,r02_episode_start,per_family,pullback_drawdown,7plus,66,66.0,60,53,0.07575757575757576,0.9242424242424242,0.0,-0.8484848484848484,0.3484848484848485
train,r02_signal_episode_start,r02_episode_start,per_family,range_breakout,0_2,460,460.0,185,265,0.06739130434782609,0.9326086956521739,0.0,-0.8652173913043477,0.2826086956521739
train,r02_signal_episode_start,r02_episode_start,per_family,range_breakout,3_4,364,364.0,186,206,0.07142857142857142,0.9258241758241759,0.0027472527472527475,-0.8543956043956045,0.2802197802197802
train,r02_signal_episode_start,r02_episode_start,per_family,range_breakout,5_6,101,101.0,81,77,0.0891089108910891,0.900990099009901,0.009900990099009901,-0.8118811881188119,0.24752475247524752
train,r02_signal_episode_start,r02_episode_start,per_family,range_breakout,7plus,65,65.0,58,51,0.06153846153846154,0.9384615384615385,0.0,-0.8769230769230769,0.27692307692307694
train,r02_signal_episode_start,r02_episode_start,per_family,volatility_band,0_2,501,501.0,183,279,0.05588822355289421,0.9441117764471058,0.0,-0.8882235528942115,0.2954091816367265
train,r02_signal_episode_start,r02_episode_start,per_family,volatility_band,3_4,427,427.0,195,217,0.06323185011709602,0.9344262295081968,0.00234192037470726,-0.8711943793911008,0.2646370023419204
train,r02_signal_episode_start,r02_episode_start,per_family,volatility_band,5_6,119,119.0,90,89,0.1092436974789916,0.8739495798319328,0.01680672268907563,-0.7647058823529411,0.21008403361344538
train,r02_signal_episode_start,r02_episode_start,per_family,volatility_band,7plus,74,74.0,64,51,0.0945945945945946,0.9054054054054054,0.0,-0.8108108108108107,0.32432432432432434
train,r02_signal_episode_start,r02_episode_start,per_family,volume_money,0_2,483,483.0,177,264,0.055900621118012424,0.9440993788819876,0.0,-0.8881987577639752,0.2629399585921325
train,r02_signal_episode_start,r02_episode_start,per_family,volume_money,3_4,421,421.0,192,225,0.08076009501187649,0.9192399049881235,0.0,-0.8384798099762469,0.25415676959619954
train,r02_signal_episode_start,r02_episode_start,per_family,volume_money,5_6,118,118.0,87,85,0.1016949152542373,0.8813559322033898,0.01694915254237288,-0.7796610169491525,0.19491525423728814
train,r02_signal_episode_start,r02_episode_start,per_family,volume_money,7plus,65,65.0,56,55,0.03076923076923077,0.9692307692307692,0.0,-0.9384615384615385,0.3076923076923077
train,r03_clean_fresh_family_event,fresh_1,per_family,momentum_rps,0_2,66,66.0,53,60,0.015151515151515152,0.9848484848484849,0.0,-0.9696969696969697,0.24242424242424243
train,r03_clean_fresh_family_event,fresh_1,per_family,momentum_rps,3_4,68,68.0,59,60,0.07352941176470588,0.9117647058823529,0.014705882352941176,-0.8382352941176471,0.25
train,r03_clean_fresh_family_event,fresh_1,per_family,momentum_rps,5_6,18,18.0,18,17,0.05555555555555555,0.9444444444444444,0.0,-0.8888888888888888,0.2222222222222222
train,r03_clean_fresh_family_event,fresh_1,per_family,momentum_rps,7plus,11,11.0,10,11,0.09090909090909091,0.9090909090909091,0.0,-0.8181818181818181,0.36363636363636365
train,r03_clean_fresh_family_event,fresh_1,per_family,oscillator,0_2,51,51.0,43,47,0.0392156862745098,0.9607843137254902,0.0,-0.9215686274509804,0.21568627450980393
train,r03_clean_fresh_family_event,fresh_1,per_family,oscillator,3_4,52,52.0,45,46,0.15384615384615385,0.8461538461538461,0.0,-0.6923076923076923,0.28846153846153844
train,r03_clean_fresh_family_event,fresh_1,per_family,oscillator,5_6,12,12.0,12,10,0.0,1.0,0.0,-1.0,0.08333333333333333
train,r03_clean_fresh_family_event,fresh_1,per_family,oscillator,7plus,8,8.0,8,8,0.25,0.75,0.0,-0.5,0.5
train,r03_clean_fresh_family_event,fresh_1,per_family,price_trend,0_2,65,65.0,53,57,0.0,1.0,0.0,-1.0,0.23076923076923078
train,r03_clean_fresh_family_event,fresh_1,per_family,price_trend,3_4,46,46.0,41,41,0.15217391304347827,0.8478260869565217,0.0,-0.6956521739130435,0.32608695652173914
train,r03_clean_fresh_family_event,fresh_1,per_family,price_trend,5_6,13,13.0,13,12,0.07692307692307693,0.9230769230769231,0.0,-0.8461538461538463,0.07692307692307693
train,r03_clean_fresh_family_event,fresh_1,per_family,price_trend,7plus,6,6.0,6,6,0.16666666666666666,0.8333333333333334,0.0,-0.6666666666666667,0.16666666666666666
train,r03_clean_fresh_family_event,fresh_1,per_family,pullback_drawdown,0_2,100,100.0,71,86,0.03,0.97,0.0,-0.94,0.3
train,r03_clean_fresh_family_event,fresh_1,per_family,pullback_drawdown,3_4,66,66.0,56,57,0.09090909090909091,0.9090909090909091,0.0,-0.8181818181818181,0.2878787878787879
train,r03_clean_fresh_family_event,fresh_1,per_family,pullback_drawdown,5_6,12,12.0,11,12,0.16666666666666666,0.8333333333333334,0.0,-0.6666666666666667,0.0
train,r03_clean_fresh_family_event,fresh_1,per_family,pullback_drawdown,7plus,9,9.0,7,9,0.1111111111111111,0.8888888888888888,0.0,-0.7777777777777777,0.3333333333333333
train,r03_clean_fresh_family_event,fresh_1,per_family,range_breakout,0_2,40,40.0,31,36,0.0,1.0,0.0,-1.0,0.35
train,r03_clean_fresh_family_event,fresh_1,per_family,range_breakout,3_4,25,25.0,24,21,0.08,0.92,0.0,-0.8400000000000001,0.28
train,r03_clean_fresh_family_event,fresh_1,per_family,range_breakout,5_6,8,8.0,8,7,0.0,1.0,0.0,-1.0,0.125
train,r03_clean_fresh_family_event,fresh_1,per_family,range_breakout,7plus,9,9.0,8,9,0.1111111111111111,0.8888888888888888,0.0,-0.7777777777777777,0.2222222222222222
train,r03_clean_fresh_family_event,fresh_1,per_family,volatility_band,0_2,64,64.0,51,60,0.03125,0.96875,0.0,-0.9375,0.28125
train,r03_clean_fresh_family_event,fresh_1,per_family,volatility_band,3_4,55,55.0,48,47,0.10909090909090909,0.8909090909090909,0.0,-0.7818181818181817,0.2545454545454545
train,r03_clean_fresh_family_event,fresh_1,per_family,volatility_band,5_6,10,10.0,10,9,0.1,0.9,0.0,-0.8,0.2
train,r03_clean_fresh_family_event,fresh_1,per_family,volatility_band,7plus,6,6.0,6,6,0.3333333333333333,0.6666666666666666,0.0,-0.3333333333333333,0.16666666666666666
train,r03_clean_fresh_family_event,fresh_1,per_family,volume_money,0_2,43,43.0,39,39,0.046511627906976744,0.9534883720930233,0.0,-0.9069767441860466,0.13953488372093023
train,r03_clean_fresh_family_event,fresh_1,per_family,volume_money,3_4,49,49.0,44,41,0.1836734693877551,0.8163265306122449,0.0,-0.6326530612244898,0.2653061224489796
train,r03_clean_fresh_family_event,fresh_1,per_family,volume_money,5_6,13,13.0,13,13,0.07692307692307693,0.9230769230769231,0.0,-0.8461538461538463,0.23076923076923078
train,r03_clean_fresh_family_event,fresh_1,per_family,volume_money,7plus,9,9.0,9,9,0.0,1.0,0.0,-1.0,0.3333333333333333
train,r03_clean_fresh_family_event,fresh_2,per_family,momentum_rps,0_2,19,19.0,16,19,0.15789473684210525,0.8421052631578947,0.0,-0.6842105263157894,0.2631578947368421
train,r03_clean_fresh_family_event,fresh_2,per_family,momentum_rps,3_4,27,27.0,26,25,0.037037037037037035,0.9629629629629629,0.0,-0.9259259259259258,0.3333333333333333
train,r03_clean_fresh_family_event,fresh_2,per_family,momentum_rps,5_6,3,3.0,3,3,0.3333333333333333,0.6666666666666666,0.0,-0.3333333333333333,0.0
train,r03_clean_fresh_family_event,fresh_2,per_family,oscillator,0_2,59,59.0,51,53,0.05084745762711865,0.9491525423728814,0.0,-0.8983050847457628,0.2542372881355932
