split,event_scope,event_stage,family_group,family_id,component_a,component_b,eligible_event_count,component_a_true_rate,component_b_true_rate,both_true_rate,jaccard_true
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,failed_breakout_flag,ma20_break_no_reclaim_flag,656,0.8429878048780488,0.09451219512195122,0.08841463414634146,0.10412926391382406
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,failed_breakout_flag,large_bearish_engulf_flag,1037,0.837029893924783,0.24783027965284474,0.2256509161041466,0.26262626262626265
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,failed_breakout_flag,volatility_up_no_price_flag,1037,0.837029893924783,0.13886210221793635,0.12439729990356799,0.14609286523216308
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,failed_breakout_flag,low_upside_efficiency_flag,1037,0.837029893924783,0.19768563162970107,0.18032786885245902,0.2110609480812641
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,failed_breakout_flag,lower_low_lower_high_flag,1037,0.837029893924783,0.07714561234329798,0.06846673095467695,0.08095781071835804
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,failed_breakout_flag,gap_up_fade_flag,1037,0.837029893924783,0.4088717454194793,0.3490838958534233,0.38924731182795697
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,dense_upper_shadow_flag,down_volume_dominance_flag,1037,0.7222757955641272,0.24397299903567984,0.17936354869816779,0.22794117647058823
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,dense_upper_shadow_flag,ma20_break_no_reclaim_flag,656,0.7317073170731707,0.09451219512195122,0.0701219512195122,0.09274193548387097
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,dense_upper_shadow_flag,large_bearish_engulf_flag,1037,0.7222757955641272,0.24783027965284474,0.17936354869816779,0.22682926829268293
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,dense_upper_shadow_flag,volatility_up_no_price_flag,1037,0.7222757955641272,0.13886210221793635,0.09932497589199614,0.13037974683544304
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,dense_upper_shadow_flag,low_upside_efficiency_flag,1037,0.7222757955641272,0.19768563162970107,0.1485053037608486,0.1925
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,dense_upper_shadow_flag,lower_low_lower_high_flag,1037,0.7222757955641272,0.07714561234329798,0.058823529411764705,0.07942708333333333
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,dense_upper_shadow_flag,gap_up_fade_flag,1037,0.7222757955641272,0.4088717454194793,0.30279652844744454,0.36554132712456344
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,down_volume_dominance_flag,ma20_break_no_reclaim_flag,656,0.21951219512195122,0.09451219512195122,0.03353658536585366,0.11956521739130435
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,down_volume_dominance_flag,large_bearish_engulf_flag,1037,0.24397299903567984,0.24783027965284474,0.0935390549662488,0.23486682808716708
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,down_volume_dominance_flag,volatility_up_no_price_flag,1037,0.24397299903567984,0.13886210221793635,0.05014464802314368,0.15072463768115943
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,down_volume_dominance_flag,low_upside_efficiency_flag,1037,0.24397299903567984,0.19768563162970107,0.06460945033751206,0.17135549872122763
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,down_volume_dominance_flag,lower_low_lower_high_flag,1037,0.24397299903567984,0.07714561234329798,0.024108003857280617,0.08116883116883117
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,down_volume_dominance_flag,gap_up_fade_flag,1037,0.24397299903567984,0.4088717454194793,0.10028929604628736,0.18150087260034903
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,ma20_break_no_reclaim_flag,large_bearish_engulf_flag,656,0.09451219512195122,0.24085365853658536,0.04573170731707317,0.15789473684210525
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,ma20_break_no_reclaim_flag,volatility_up_no_price_flag,656,0.09451219512195122,0.17073170731707318,0.04878048780487805,0.22535211267605634
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,ma20_break_no_reclaim_flag,low_upside_efficiency_flag,656,0.09451219512195122,0.21798780487804878,0.036585365853658534,0.13259668508287292
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,ma20_break_no_reclaim_flag,lower_low_lower_high_flag,656,0.09451219512195122,0.11128048780487805,0.06554878048780488,0.4673913043478261
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,ma20_break_no_reclaim_flag,gap_up_fade_flag,656,0.09451219512195122,0.40853658536585363,0.054878048780487805,0.12244897959183673
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,large_bearish_engulf_flag,volatility_up_no_price_flag,1037,0.24783027965284474,0.13886210221793635,0.06171648987463838,0.18991097922848665
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,large_bearish_engulf_flag,low_upside_efficiency_flag,1037,0.24783027965284474,0.19768563162970107,0.08775313404050145,0.24528301886792453
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,large_bearish_engulf_flag,lower_low_lower_high_flag,1037,0.24783027965284474,0.07714561234329798,0.02892960462873674,0.09771986970684039
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,large_bearish_engulf_flag,gap_up_fade_flag,1037,0.24783027965284474,0.4088717454194793,0.10221793635486982,0.18434782608695652
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,volatility_up_no_price_flag,low_upside_efficiency_flag,1037,0.13886210221793635,0.19768563162970107,0.10221793635486982,0.43621399176954734
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,volatility_up_no_price_flag,lower_low_lower_high_flag,1037,0.13886210221793635,0.07714561234329798,0.048216007714561235,0.28735632183908044
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,volatility_up_no_price_flag,gap_up_fade_flag,1037,0.13886210221793635,0.4088717454194793,0.0626808100289296,0.12922465208747516
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,low_upside_efficiency_flag,lower_low_lower_high_flag,1037,0.19768563162970107,0.07714561234329798,0.03278688524590164,0.13545816733067728
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,low_upside_efficiency_flag,gap_up_fade_flag,1037,0.19768563162970107,0.4088717454194793,0.08100289296046287,0.15412844036697249
train,r02_signal_episode_start,r02_episode_start,per_family,momentum_rps,lower_low_lower_high_flag,gap_up_fade_flag,1037,0.07714561234329798,0.4088717454194793,0.03953712632594021,0.08855291576673865
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,volume_stall_flag,failed_breakout_flag,1191,0.10411418975650713,0.8488664987405542,0.0982367758186398,0.11493123772102161
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,volume_stall_flag,dense_upper_shadow_flag,1191,0.10411418975650713,0.7212426532325776,0.0764063811922754,0.10201793721973094
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,volume_stall_flag,down_volume_dominance_flag,1191,0.10411418975650713,0.2619647355163728,0.04114189756507137,0.12661498708010335
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,volume_stall_flag,ma20_break_no_reclaim_flag,681,0.1395007342143906,0.08223201174743025,0.05433186490455213,0.32456140350877194
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,volume_stall_flag,large_bearish_engulf_flag,1191,0.10411418975650713,0.25272879932829556,0.05289672544080604,0.17403314917127072
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,volume_stall_flag,volatility_up_no_price_flag,1191,0.10411418975650713,0.13266162888329136,0.07220822837951302,0.4387755102040816
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,volume_stall_flag,low_upside_efficiency_flag,1191,0.10411418975650713,0.20990764063811923,0.0873215785054576,0.3851851851851852
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,volume_stall_flag,lower_low_lower_high_flag,1191,0.10411418975650713,0.0688497061293031,0.042821158690176324,0.32903225806451614
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,volume_stall_flag,gap_up_fade_flag,1191,0.10411418975650713,0.4063811922753988,0.04030226700251889,0.08571428571428572
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,failed_breakout_flag,dense_upper_shadow_flag,1191,0.8488664987405542,0.7212426532325776,0.6230058774139379,0.6578014184397163
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,failed_breakout_flag,down_volume_dominance_flag,1191,0.8488664987405542,0.2619647355163728,0.23089840470193115,0.26240458015267176
train,r02_signal_episode_start,r02_episode_start,per_family,oscillator,failed_breakout_flag,ma20_break_no_reclaim_flag,681,0.8502202643171806,0.08223201174743025,0.07488986784140969,0.08732876712328767
