metric,alpha20_lightgbm_baseline,compact_attentive_gru128,delta_candidate_minus_baseline,interpretation
IC,0.008418875162050685,0.004130860282384394,-0.004288014879666291,worse
ICIR,0.08805024059657719,0.0191235908796621,-0.06892664971691509,worse
Rank IC,0.005547663655492214,0.023586414105356616,0.018038750449864402,better
Rank ICIR,0.05157741391007008,0.09853855664391381,0.04696114273384373,better
gross excess ARR,-0.014083470928612606,-0.025600653708552995,-0.011517182779940389,worse
net excess ARR,-0.061473279771454774,-0.05729956994999579,0.004173709821458982,better_but_cost_artifact
net excess IR,-0.8372405783611963,-0.5652212299895331,0.2720193483716632,better_but_still_negative
net excess MDD,-0.23169817261707287,-0.19560557087332003,0.03609260174375284,less_negative
cost drag ARR,-0.04738980884284217,-0.0316989162414428,0.015690892601399373,lower_cost_drag
