,0
1day.excess_return_with_cost.max_drawdown,-0.19560557087332003
1day.ffr,1.0
ICIR,0.0191235908796621
1day.pos,0.0
1day.excess_return_without_cost.information_ratio,-0.25260555642732435
1day.excess_return_without_cost.max_drawdown,-0.15189136931659933
1day.pa,0.0
Rank ICIR,0.09853855664391381
IC,0.004130860282384394
1day.excess_return_with_cost.mean,-0.0002407544955882176
Rank IC,0.023586414105356616
1day.excess_return_with_cost.information_ratio,-0.5652212299895331
1day.excess_return_with_cost.annualized_return,-0.05729956994999579
1day.excess_return_without_cost.mean,-0.00010756577188467645
1day.excess_return_without_cost.annualized_return,-0.025600653708552995
1day.excess_return_with_cost.std,0.006571195954584505
1day.excess_return_without_cost.std,0.0065693088045859615
