artifact_id,resolved_path,row_count,column_count,sha256,schema_status,read_status,required_flag
requirement,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/requirement_12a7f_c0_winner_baserate_enrichment_control_diagnostic.md,,,db06dc2ee7e21bb8c305bbedfe4b785310d84b7ab6298c0faccf6e436f90eab3,file,pass,True
state_change_candidate_event_canonical,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A2_state_change_backbone_candidate_generator/state_change_candidate_event_canonical.csv.gz,28691.0,31.0,4035524801cfc0b21f499e5840fa110794885f7236525c4af0afa59f1b043048,pass,pass,True
two_stage_event_universe,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A6c_two_stage_fast_fail_rejector_continuation_feasibility/two_stage_event_universe.csv.gz,15113.0,113.0,f3f58981ddc66a242c3e19a037c715a4bd300eeda18eda79f3809611014763c4,pass,pass,True
two_stage_event_targets,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A6c_two_stage_fast_fail_rejector_continuation_feasibility/two_stage_event_targets.csv.gz,15113.0,14.0,ed7cc23fe4c858db224f3f6dffddd14feacbaf66e911c5f8549fb134e9297681,pass,pass,True
two_stage_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A6c_two_stage_fast_fail_rejector_continuation_feasibility/two_stage_decision.csv,1.0,31.0,2d272d83520c309c362ec3c63f051afe4891d60ed950b7ca52f7c24640a0789c,pass,pass,True
split_time_boundary_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A6c_two_stage_fast_fail_rejector_continuation_feasibility/split_time_boundary_audit.csv,2.0,5.0,48d6fed2e2db6c77716fc8a9acb062fbf5e24feee6ce76045566cc3ca8c95986,pass,pass,True
stage2_path_cache,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/local_cache/12A6c_two_stage_fast_fail_rejector_continuation_feasibility/stage2_path_cache.parquet,414203.0,54.0,0ab5bb232ed12db5b2c0540a3da0a9bb44b21f5ab21a0c728534d6c3651663a3,pass,pass,True
manifest_12a6c,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/manifests/12A6c_two_stage_fast_fail_rejector_continuation_feasibility_manifest.json,,,6a94be86a54d58e7c8c8b04fd85e7bd8cf546d5309395d4fff18f4a1043f8ce2,file,pass,True
pit_topn_400_100_executable_daily,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_executable_daily.csv,1140000.0,33.0,e73968ddf54b646ab2d831467a0e2882970e5f96880df12c41bd01a39c243965,pass,pass,True
pit_topn_400_100_membership_daily,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_membership_daily.csv,1140500.0,32.0,982cc6930b27c4b255f019af5180ef835667280b841154af8c2ca9b0138a863b,pass,pass,True
stock_daily_qfq_dir,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq,4598.0,,,directory,pass,True
global_regime_calendar,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/11_archetype_proxy_validation_system_v0/outputs/publishable/tables/11A0_regime_pit_availability_audit/regime_daily_series_audit.csv,1912.0,7.0,8ec181dd392b20c1677c61c5a74f4d6bfa5609f78782057958c96ec63e600898,pass,pass,True
