label_family,readout_view,winner_barrier,split,n_resamples,bootstrap_replicate_valid_n,bootstrap_min_valid_replicates,winner_rate_diff,winner_rate_diff_ci95_low,winner_rate_diff_ci95_high,c0_denominator_n,c0_winner_positive_n,control_denominator_n,control_winner_positive_n,control_sample_seed,bootstrap_control_redraw_flag,barrier_enrichment_status
direct_entry,unconditional,direct_entry_win_up_10_h20,all,2000,2000,1500,0.02792298021570833,0.010734492280842736,0.04635200292724153,15113,5777,15113,5355,120713,False,positive_for_barrier
direct_entry,unconditional,direct_entry_win_up_10_h20,train,2000,2000,1500,0.02300373359026858,-0.00015668448059960577,0.046461362944641545,8303,3480,8303,3289,120713,False,uncertain_for_barrier
direct_entry,unconditional,direct_entry_win_up_10_h20,validation,2000,2000,1500,0.037192003719200374,-0.013178129483500715,0.09861578620064088,2151,594,2151,514,120713,False,uncertain_for_barrier
direct_entry,unconditional,direct_entry_win_up_10_h20,robustness,2000,2000,1500,0.03241038849538528,-4.930704991325814e-18,0.0628241303146101,4659,1703,4659,1552,120713,False,uncertain_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_10_h20,all,2000,2000,1500,0.058199518610928265,0.033643802228648816,0.08535524355564879,9481,5086,10102,4818,120713,False,positive_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_10_h20,train,2000,2000,1500,0.050115130362539194,0.01754062262525866,0.08819408192776602,4827,3001,5133,2915,120713,False,positive_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_10_h20,validation,2000,2000,1500,0.06343371182699045,-0.005512222351622316,0.15829092903734732,1420,543,1459,471,120713,False,uncertain_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_10_h20,robustness,2000,2000,1500,0.06796946972452805,0.026462870985717563,0.110878427682533,3234,1542,3510,1432,120713,False,positive_for_barrier
direct_entry,unconditional,direct_entry_win_up_15_h20,all,2000,2000,1500,0.020445973665056575,0.0041731760602836294,0.03572999971564761,15113,3696,15113,3387,120713,False,positive_for_barrier
direct_entry,unconditional,direct_entry_win_up_15_h20,train,2000,2000,1500,0.011321209201493439,-0.010857320351064879,0.03489025332959385,8303,2292,8303,2198,120713,False,uncertain_for_barrier
direct_entry,unconditional,direct_entry_win_up_15_h20,validation,2000,2000,1500,0.03114830311483031,0.0024607476286242196,0.05852773464391932,2151,325,2151,258,120713,False,positive_for_barrier
direct_entry,unconditional,direct_entry_win_up_15_h20,robustness,2000,2000,1500,0.0317664734921657,0.0066253338508725015,0.056028379277494655,4659,1079,4659,931,120713,False,positive_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_15_h20,all,2000,2000,1500,0.0447222739274279,0.02318801841113314,0.06711504018489695,9481,3432,10102,3191,120713,False,positive_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_15_h20,train,2000,2000,1500,0.03260072687744567,-0.0012992746916938348,0.06954567681930669,4827,2111,5133,2060,120713,False,uncertain_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_15_h20,validation,2000,2000,1500,0.05226097440259217,0.011476989279149197,0.10077944906646401,1420,312,1459,249,120713,False,positive_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_15_h20,robustness,2000,2000,1500,0.05950684153287195,0.0257276027849493,0.09007667061940758,3234,1009,3510,882,120713,False,positive_for_barrier
direct_entry,unconditional,direct_entry_win_up_20_h20,all,2000,2000,1500,0.019784291669423675,0.007979264125227481,0.030970448439394213,15113,2494,15113,2195,120713,False,uncertain_for_barrier
direct_entry,unconditional,direct_entry_win_up_20_h20,train,2000,2000,1500,0.016259183427676748,0.0005362265642647386,0.032967753583043574,8303,1601,8303,1466,120713,False,uncertain_for_barrier
direct_entry,unconditional,direct_entry_win_up_20_h20,validation,2000,2000,1500,0.00790330079033008,-0.013756135134166875,0.029045283013141965,2151,170,2151,153,120713,False,uncertain_for_barrier
direct_entry,unconditional,direct_entry_win_up_20_h20,robustness,2000,2000,1500,0.031551835157759174,0.010894672807324486,0.05223655317866212,4659,723,4659,576,120713,False,positive_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_20_h20,all,2000,2000,1500,0.04070914204871009,0.024764554531240896,0.05789274545388662,9481,2376,10102,2113,120713,False,positive_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_20_h20,train,2000,2000,1500,0.03582845194903441,0.011387602061293427,0.0633397923006209,4827,1515,5133,1414,120713,False,positive_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_20_h20,validation,2000,2000,1500,0.020894693688755663,-0.009856351064882,0.05580007565884591,1420,167,1459,146,120713,False,uncertain_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_20_h20,robustness,2000,2000,1500,0.05668805155208358,0.030361187956149727,0.08300685818719432,3234,694,3510,553,120713,False,positive_for_barrier
direct_entry,unconditional,direct_entry_win_up_20_h40,all,2000,2000,1500,0.01621120889300602,0.0028413688420972174,0.030521317121436773,15113,3690,15113,3445,120713,False,uncertain_for_barrier
direct_entry,unconditional,direct_entry_win_up_20_h40,train,2000,2000,1500,0.0075876189329158105,-0.009940256498295013,0.025953936182406562,8303,2266,8303,2203,120713,False,uncertain_for_barrier
direct_entry,unconditional,direct_entry_win_up_20_h40,validation,2000,2000,1500,0.020455602045560198,-0.007881197478991596,0.04970430362107567,2151,311,2151,267,120713,False,uncertain_for_barrier
direct_entry,unconditional,direct_entry_win_up_20_h40,robustness,2000,2000,1500,0.02962009014810045,-5.455144979959513e-20,0.05972652592120573,4659,1113,4659,975,120713,False,uncertain_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_20_h40,all,2000,2000,1500,0.04311234315807218,0.02296049185681717,0.06412956981253524,9481,3572,10102,3363,120713,False,positive_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_20_h40,train,2000,2000,1500,0.029619631161945312,0.001919007815269096,0.05965138672954503,4827,2180,5133,2151,120713,False,positive_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_20_h40,validation,2000,2000,1500,0.04342402213407477,0.004754260003334195,0.09058539358562277,1420,308,1459,260,120713,False,positive_for_barrier
direct_entry,survivor_conditional,direct_entry_win_up_20_h40,robustness,2000,2000,1500,0.06311452260716206,0.028737826015391633,0.09835958788389121,3234,1084,3510,952,120713,False,positive_for_barrier
post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U10_L10_H2_20,all,2000,2000,1500,0.03646158480485424,0.017230641867525875,0.055603283907849334,9481,3367,10102,3209,120713,False,positive_for_barrier
post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U10_L10_H2_20,train,2000,2000,1500,0.022027951800084298,-0.004515112240534608,0.04844030477311904,4827,1839,5133,1836,120713,False,uncertain_for_barrier
post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U10_L10_H2_20,validation,2000,2000,1500,0.05319821810080087,0.004180084952387162,0.10690271943089728,1420,387,1459,325,120713,False,positive_for_barrier
post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U10_L10_H2_20,robustness,2000,2000,1500,0.05066129533889142,0.014066758368865772,0.0847166236902802,3234,1141,3510,1048,120713,False,positive_for_barrier
post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U15_L10_H2_20,all,2000,2000,1500,0.025386457765877984,0.00879993375512794,0.0420819801138406,9481,2086,10102,1967,120713,False,positive_for_barrier
post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U15_L10_H2_20,train,2000,2000,1500,0.016755801697282274,-0.0027323377875893176,0.03735635935638794,4827,1171,5133,1157,120713,False,uncertain_for_barrier
post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U15_L10_H2_20,validation,2000,2000,1500,0.03085580638357165,-0.010374283273496897,0.07594916165509781,1420,210,1459,176,120713,False,uncertain_for_barrier
post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U15_L10_H2_20,robustness,2000,2000,1500,0.035868576242873706,0.005821956106708052,0.0661983073927849,3234,705,3510,634,120713,False,positive_for_barrier
post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U20_L10_H2_20,all,2000,2000,1500,0.015892180298724166,0.002639361927368678,0.029851936915377516,9481,1311,10102,1237,120713,False,uncertain_for_barrier
post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U20_L10_H2_20,train,2000,2000,1500,0.008892887954646546,-0.00998607610020845,0.028043566292613675,4827,753,5133,755,120713,False,uncertain_for_barrier
post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U20_L10_H2_20,validation,2000,2000,1500,0.021498770350180916,-0.010810520233178049,0.05949400234198917,1420,123,1459,98,120713,False,uncertain_for_barrier
