arm,label_family,winner_barrier,reference_pos_source,label_source,horizon_complete_flag_rate,reconciliation_status
c0,direct_entry,direct_entry_win_up_10_h20,entry_pos,recomputed_in_12a7f,1.0,not_applicable
c0,direct_entry,direct_entry_win_up_15_h20,entry_pos,recomputed_in_12a7f,1.0,not_applicable
c0,direct_entry,direct_entry_win_up_20_h20,entry_pos,recomputed_in_12a7f,1.0,not_applicable
c0,direct_entry,direct_entry_win_up_20_h40,entry_pos,recomputed_in_12a7f,1.0,not_applicable
c0,post_survivor_continuation,post_survivor_continuation_U10_L10_H2_20,stage_2_reference_pos,reused_from_12a6c,1.0,pass
c0,post_survivor_continuation,post_survivor_continuation_U15_L10_H2_20,stage_2_reference_pos,reused_from_12a6c,1.0,pass
c0,post_survivor_continuation,post_survivor_continuation_U20_L10_H2_20,stage_2_reference_pos,reused_from_12a6c,1.0,pass
c0,post_survivor_continuation,post_survivor_continuation_U20_L10_H2_40,stage_2_reference_pos,reused_from_12a6c,1.0,pass
control,direct_entry,direct_entry_win_up_10_h20,entry_pos,recomputed_in_12a7f,1.0,not_applicable
control,direct_entry,direct_entry_win_up_15_h20,entry_pos,recomputed_in_12a7f,1.0,not_applicable
control,direct_entry,direct_entry_win_up_20_h20,entry_pos,recomputed_in_12a7f,1.0,not_applicable
control,direct_entry,direct_entry_win_up_20_h40,entry_pos,recomputed_in_12a7f,1.0,not_applicable
control,post_survivor_continuation,post_survivor_continuation_U10_L10_H2_20,entry_pos_plus_21,recomputed_in_12a7f,1.0,not_applicable
control,post_survivor_continuation,post_survivor_continuation_U15_L10_H2_20,entry_pos_plus_21,recomputed_in_12a7f,1.0,not_applicable
control,post_survivor_continuation,post_survivor_continuation_U20_L10_H2_20,entry_pos_plus_21,recomputed_in_12a7f,1.0,not_applicable
control,post_survivor_continuation,post_survivor_continuation_U20_L10_H2_40,entry_pos_plus_21,recomputed_in_12a7f,1.0,not_applicable
