slice_type,slice_value,label_family,readout_view,winner_barrier,c0_entry_n,c0_denominator_n,control_denominator_n,c0_winner_rate,control_winner_rate,winner_rate_diff,matched_c0_entry_coverage,enrichment_direction_status
split,train,direct_entry,unconditional,direct_entry_win_up_10_h20,8303,8303,8303,0.41912561724677827,0.3961218836565097,0.02300373359026858,1.0,positive
split,train,direct_entry,survivor_conditional,direct_entry_win_up_10_h20,8303,4827,5133,0.6217112077895173,0.5678940190921489,0.050115130362539194,1.0,positive
split,train,direct_entry,unconditional,direct_entry_win_up_15_h20,8303,8303,8303,0.27604480308322293,0.2647235938817295,0.011321209201493439,1.0,positive
split,train,direct_entry,survivor_conditional,direct_entry_win_up_15_h20,8303,4827,5133,0.4373316759892273,0.4013247613481395,0.03260072687744567,1.0,positive
split,train,direct_entry,unconditional,direct_entry_win_up_20_h20,8303,8303,8303,0.19282187161267011,0.17656268818499338,0.016259183427676748,1.0,positive
split,train,direct_entry,survivor_conditional,direct_entry_win_up_20_h20,8303,4827,5133,0.31385954008701056,0.27547243327488796,0.03582845194903441,1.0,positive
split,train,direct_entry,unconditional,direct_entry_win_up_20_h40,8303,8303,8303,0.27291340479344817,0.26532578586053235,0.0075876189329158105,1.0,positive
split,train,direct_entry,survivor_conditional,direct_entry_win_up_20_h40,8303,4827,5133,0.4516262689040812,0.4190531852717709,0.029619631161945312,1.0,positive
split,train,post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U10_L10_H2_20,8303,4827,5133,0.3809819763828465,0.35768556399766216,0.022027951800084298,1.0,positive
split,train,post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U15_L10_H2_20,8303,4827,5133,0.24259374352599958,0.22540424702902787,0.016755801697282274,1.0,positive
split,train,post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U20_L10_H2_20,8303,4827,5133,0.1559975139838409,0.14708747321254628,0.008892887954646546,1.0,positive
split,train,post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U20_L10_H2_40,8303,4827,5133,0.21897659001450176,0.21196181570231834,0.007486535844107033,1.0,positive
split,validation,direct_entry,unconditional,direct_entry_win_up_10_h20,2151,2151,2151,0.27615062761506276,0.2389586238958624,0.037192003719200374,1.0,positive
split,validation,direct_entry,survivor_conditional,direct_entry_win_up_10_h20,2151,1420,1459,0.3823943661971831,0.32282385195339275,0.06343371182699045,1.0,positive
split,validation,direct_entry,unconditional,direct_entry_win_up_15_h20,2151,2151,2151,0.1510925151092515,0.1199442119944212,0.03114830311483031,1.0,positive
split,validation,direct_entry,survivor_conditional,direct_entry_win_up_15_h20,2151,1420,1459,0.21971830985915494,0.1706648389307745,0.05226097440259217,1.0,positive
split,validation,direct_entry,unconditional,direct_entry_win_up_20_h20,2151,2151,2151,0.07903300790330078,0.07112970711297072,0.00790330079033008,1.0,positive
split,validation,direct_entry,survivor_conditional,direct_entry_win_up_20_h20,2151,1420,1459,0.1176056338028169,0.10006854009595613,0.020894693688755663,1.0,positive
split,validation,direct_entry,unconditional,direct_entry_win_up_20_h40,2151,2151,2151,0.14458391445839144,0.12412831241283125,0.020455602045560198,1.0,positive
split,validation,direct_entry,survivor_conditional,direct_entry_win_up_20_h40,2151,1420,1459,0.21690140845070421,0.1782042494859493,0.04342402213407477,1.0,positive
split,validation,post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U10_L10_H2_20,2151,1420,1459,0.27253521126760566,0.2227553118574366,0.05319821810080087,1.0,positive
split,validation,post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U15_L10_H2_20,2151,1420,1459,0.14788732394366197,0.12063056888279644,0.03085580638357165,1.0,positive
split,validation,post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U20_L10_H2_20,2151,1420,1459,0.08661971830985915,0.06716929403701165,0.021498770350180916,1.0,positive
split,validation,post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U20_L10_H2_40,2151,1420,1459,0.14929577464788732,0.15284441398217957,-0.0009013737182753534,1.0,flat
split,robustness,direct_entry,unconditional,direct_entry_win_up_10_h20,4659,4659,4659,0.36552908349431207,0.3331186949989268,0.03241038849538528,1.0,positive
split,robustness,direct_entry,survivor_conditional,direct_entry_win_up_10_h20,4659,3234,3510,0.47680890538033394,0.407977207977208,0.06796946972452805,1.0,positive
split,robustness,direct_entry,unconditional,direct_entry_win_up_15_h20,4659,4659,4659,0.23159476282464048,0.1998282893324748,0.0317664734921657,1.0,positive
split,robustness,direct_entry,survivor_conditional,direct_entry_win_up_15_h20,4659,3234,3510,0.31199752628324057,0.2512820512820513,0.05950684153287195,1.0,positive
split,robustness,direct_entry,unconditional,direct_entry_win_up_20_h20,4659,4659,4659,0.15518351577591757,0.12363168061815841,0.031551835157759174,1.0,positive
split,robustness,direct_entry,survivor_conditional,direct_entry_win_up_20_h20,4659,3234,3510,0.21459492888064316,0.15754985754985754,0.05668805155208358,1.0,positive
split,robustness,direct_entry,unconditional,direct_entry_win_up_20_h40,4659,4659,4659,0.23889246619446233,0.20927237604636187,0.02962009014810045,1.0,positive
split,robustness,direct_entry,survivor_conditional,direct_entry_win_up_20_h40,4659,3234,3510,0.33518862090290663,0.2712250712250712,0.06311452260716206,1.0,positive
split,robustness,post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U10_L10_H2_20,4659,3234,3510,0.3528138528138528,0.2985754985754986,0.05066129533889142,1.0,positive
split,robustness,post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U15_L10_H2_20,4659,3234,3510,0.21799628942486085,0.18062678062678061,0.035868576242873706,1.0,positive
split,robustness,post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U20_L10_H2_20,4659,3234,3510,0.1345083487940631,0.1094017094017094,0.02387914160418042,1.0,positive
split,robustness,post_survivor_continuation,post_survivor_continuation,post_survivor_continuation_U20_L10_H2_40,4659,3234,3510,0.23191094619666047,0.20028490028490029,0.02875521940334468,1.0,positive
