split,board_bucket,calendar_month,market_regime_bucket,c0_entry_n,control_entry_eligible_n,control_sampled_n,calendar_year,control_match_multiplier,match_cell_status,control_shortfall_n,matched_c0_entry_coverage_contribution,control_sample_seed,control_sampling_mode
robustness,chinext,2024-03,risk_on,89,1910,89,2024,1,matched,0,0.0058889697611328,120713,without_replacement_fixed_canonical_sample
robustness,chinext,2024-04,risk_on,60,1740,60,2024,1,matched,0,0.003970091973797393,120713,without_replacement_fixed_canonical_sample
robustness,chinext,2024-05,risk_on,49,1451,49,2024,1,matched,0,0.003242241778601204,120713,without_replacement_fixed_canonical_sample
robustness,chinext,2024-09,risk_on,56,244,56,2024,1,matched,0,0.0037054191755442334,120713,without_replacement_fixed_canonical_sample
robustness,chinext,2024-10,risk_on,94,1306,94,2024,1,matched,0,0.006219810758949249,120713,without_replacement_fixed_canonical_sample
robustness,chinext,2024-11,risk_on,77,2023,77,2024,1,matched,0,0.005094951366373321,120713,without_replacement_fixed_canonical_sample
robustness,chinext,2024-12,risk_on,48,2052,48,2024,1,matched,0,0.0031760735790379146,120713,without_replacement_fixed_canonical_sample
robustness,chinext,2025-02,risk_on,73,1427,73,2025,1,matched,0,0.0048302785681201615,120713,without_replacement_fixed_canonical_sample
robustness,chinext,2025-03,risk_on,40,2058,40,2025,1,matched,0,0.0026467279825315953,120713,without_replacement_fixed_canonical_sample
robustness,chinext,2025-04,risk_on,4,196,4,2025,1,matched,0,0.0002646727982531595,120713,without_replacement_fixed_canonical_sample
robustness,chinext,2025-05,risk_on,28,672,28,2025,1,matched,0,0.0018527095877721167,120713,without_replacement_fixed_canonical_sample
robustness,chinext,2025-06,risk_on,85,1715,85,2025,1,matched,0,0.00562429696287964,120713,without_replacement_fixed_canonical_sample
robustness,chinext,2025-07,risk_on,92,2208,92,2025,1,matched,0,0.006087474359822669,120713,without_replacement_fixed_canonical_sample
robustness,chinext,2025-08,risk_on,114,1986,114,2025,1,matched,0,0.007543174750215047,120713,without_replacement_fixed_canonical_sample
robustness,chinext,2025-09,risk_on,62,2138,62,2025,1,matched,0,0.004102428372923973,120713,without_replacement_fixed_canonical_sample
robustness,chinext,2025-10,risk_on,43,1657,43,2025,1,matched,0,0.002845232581221465,120713,without_replacement_fixed_canonical_sample
robustness,chinext,2025-11,risk_on,26,1274,26,2025,1,matched,0,0.001720373188645537,120713,without_replacement_fixed_canonical_sample
robustness,main_board,2024-03,risk_on,265,7734,265,2024,1,matched,0,0.017534572884271817,120713,without_replacement_fixed_canonical_sample
robustness,main_board,2024-04,risk_on,306,6893,306,2024,1,matched,0,0.020247469066366704,120713,without_replacement_fixed_canonical_sample
robustness,main_board,2024-05,risk_on,161,5839,161,2024,1,matched,0,0.010653080129689671,120713,without_replacement_fixed_canonical_sample
robustness,main_board,2024-09,risk_on,129,1071,129,2024,1,matched,0,0.008535697743664394,120713,without_replacement_fixed_canonical_sample
robustness,main_board,2024-10,risk_on,221,5377,221,2024,1,matched,0,0.014623172103487065,120713,without_replacement_fixed_canonical_sample
robustness,main_board,2024-11,risk_on,218,8180,218,2024,1,matched,0,0.014424667504797194,120713,without_replacement_fixed_canonical_sample
robustness,main_board,2024-12,risk_on,266,8133,266,2024,1,matched,0,0.01760074108383511,120713,without_replacement_fixed_canonical_sample
