family,factor_id,split,instrument_segment,stock_date_count,normalization_sample_pass_count,normalization_sample_fail_count,min_history_count,uses_future_data_flag,cross_stock_fill_flag,factor_value_tie_share_in_lookback,factor_value_at_tie_cluster_flag
volume_price_correlation,alpha022,robustness,instrument_robustness_set,4570,4570,0,126,False,False,0.0,0.0
volume_price_correlation,alpha022,robustness,instrument_train_set,14289,14288,1,126,False,False,0.0,0.0
volume_price_correlation,alpha022,robustness,instrument_validation_set,3999,3996,3,126,False,False,0.0,0.0
volume_price_correlation,alpha022,train,instrument_robustness_set,8507,7824,683,126,False,False,0.0,0.0
volume_price_correlation,alpha022,train,instrument_train_set,23297,21173,2124,126,False,False,0.0,0.0
volume_price_correlation,alpha022,train,instrument_validation_set,7204,6542,662,126,False,False,0.0,0.0
volume_price_correlation,alpha022,validation,instrument_robustness_set,4782,4776,6,126,False,False,0.0,0.0
volume_price_correlation,alpha022,validation,instrument_train_set,13127,13112,15,126,False,False,0.0,0.0
volume_price_correlation,alpha022,validation,instrument_validation_set,3981,3981,0,126,False,False,0.0,0.0
volume_price_correlation,alpha031,robustness,instrument_robustness_set,4570,4570,0,126,False,False,6.946615485503571e-06,0.0
volume_price_correlation,alpha031,robustness,instrument_train_set,14289,14288,1,126,False,False,7.498800641769776e-06,0.0
volume_price_correlation,alpha031,robustness,instrument_validation_set,3999,3995,4,126,False,False,1.4164532331051305e-05,0.0
volume_price_correlation,alpha031,train,instrument_robustness_set,8507,7811,696,126,False,False,3.480286613921635e-05,0.0
volume_price_correlation,alpha031,train,instrument_train_set,23297,21088,2209,126,False,False,1.889059421955608e-05,0.0
volume_price_correlation,alpha031,train,instrument_validation_set,7204,6501,703,126,False,False,2.1650905182468705e-05,0.0
volume_price_correlation,alpha031,validation,instrument_robustness_set,4782,4775,7,126,False,False,1.578991395945195e-05,0.0
volume_price_correlation,alpha031,validation,instrument_train_set,13127,13109,18,126,False,False,2.0892659449600615e-05,0.0
volume_price_correlation,alpha031,validation,instrument_validation_set,3981,3973,8,126,False,False,2.0974915969418362e-05,0.0
volume_price_correlation,alpha185,robustness,instrument_robustness_set,4570,4570,0,126,False,False,0.0005623021279461682,0.0
volume_price_correlation,alpha185,robustness,instrument_train_set,14289,14289,0,126,False,False,0.0005856932257302105,0.0
volume_price_correlation,alpha185,robustness,instrument_validation_set,3999,3998,1,126,False,False,0.0005285573424771428,0.0
volume_price_correlation,alpha185,train,instrument_robustness_set,8507,7896,611,126,False,False,0.00010321927402401343,0.0
volume_price_correlation,alpha185,train,instrument_train_set,23297,21347,1950,126,False,False,0.00010929560085060075,0.0
volume_price_correlation,alpha185,train,instrument_validation_set,7204,6590,614,126,False,False,0.00011569658818189055,0.0
volume_price_correlation,alpha185,validation,instrument_robustness_set,4782,4780,2,126,False,False,0.0004020090855192393,0.0
volume_price_correlation,alpha185,validation,instrument_train_set,13127,13121,6,126,False,False,0.00042449947795830667,0.0
volume_price_correlation,alpha185,validation,instrument_validation_set,3981,3975,6,126,False,False,0.0004534339823294431,0.0
volume_surge_money_flow,alpha025,robustness,instrument_robustness_set,4570,4350,220,126,False,False,7.297938736883225e-06,0.0
volume_surge_money_flow,alpha025,robustness,instrument_train_set,14289,13697,592,126,False,False,1.216811597259948e-05,0.0
volume_surge_money_flow,alpha025,robustness,instrument_validation_set,3999,3821,178,126,False,False,2.0770762603206094e-06,0.0
volume_surge_money_flow,alpha025,train,instrument_robustness_set,8507,5197,3310,126,False,False,6.108530669735046e-06,0.0
volume_surge_money_flow,alpha025,train,instrument_train_set,23297,14772,8525,126,False,False,9.246329682355281e-06,0.0
volume_surge_money_flow,alpha025,train,instrument_validation_set,7204,4402,2802,126,False,False,5.408797278505517e-06,0.0
volume_surge_money_flow,alpha025,validation,instrument_robustness_set,4782,4369,413,126,False,False,9.082752512767911e-06,0.0
volume_surge_money_flow,alpha025,validation,instrument_train_set,13127,11815,1312,126,False,False,6.650142950093141e-06,0.0
volume_surge_money_flow,alpha025,validation,instrument_validation_set,3981,3722,259,126,False,False,4.807303866982693e-06,0.0
volume_surge_money_flow,alpha069,robustness,instrument_robustness_set,4570,4566,4,126,False,False,5.214526390773244e-05,0.0
volume_surge_money_flow,alpha069,robustness,instrument_train_set,14289,14285,4,126,False,False,8.289085235446692e-05,0.0
volume_surge_money_flow,alpha069,robustness,instrument_validation_set,3999,3991,8,126,False,False,0.00010141868551727384,0.0
volume_surge_money_flow,alpha069,train,instrument_robustness_set,8507,7725,782,126,False,False,0.00014905609714332968,0.0
volume_surge_money_flow,alpha069,train,instrument_train_set,23297,20830,2467,126,False,False,0.00018205858941655606,0.0
volume_surge_money_flow,alpha069,train,instrument_validation_set,7204,6415,789,126,False,False,0.00014016739442013204,0.0
volume_surge_money_flow,alpha069,validation,instrument_robustness_set,4782,4772,10,126,False,False,0.00013981621304992586,0.0
volume_surge_money_flow,alpha069,validation,instrument_train_set,13127,13100,27,126,False,False,0.00022422635811381042,0.0
volume_surge_money_flow,alpha069,validation,instrument_validation_set,3981,3971,10,126,False,False,0.0001716244441922754,0.0
