instrument_id,stable_hash_mod10,instrument_segment,first_eligible_signal_date,last_eligible_signal_date,train_signal_count,validation_signal_count,robustness_signal_count,train_active_signal_week_share,validation_active_signal_week_share,robustness_active_signal_week_share
SH600000,2,instrument_train_set,2017-08-04,2025-12-19,226,98,102,1.0,1.0,1.0
SH600009,8,instrument_robustness_set,2017-08-04,2025-12-19,219,93,102,0.9735682819383259,0.9494949494949497,1.0
SH600010,1,instrument_train_set,2017-08-04,2025-12-19,211,98,102,0.9515418502202644,1.0,1.0
SH600011,4,instrument_train_set,2017-08-04,2025-12-19,223,98,102,0.9867841409691631,1.0,1.0
SH600015,1,instrument_train_set,2017-08-04,2025-12-19,226,98,102,1.0,1.0,1.0
SH600016,1,instrument_train_set,2017-08-04,2025-12-19,226,98,102,1.0,1.0,1.0
SH600018,6,instrument_validation_set,2017-08-04,2025-12-19,213,98,102,0.9427312775330399,1.0,1.0
SH600019,9,instrument_robustness_set,2017-08-04,2025-12-19,226,98,102,1.0,1.0,1.0
SH600021,4,instrument_train_set,2025-09-05,2025-12-19,0,0,16,,,0.17307692307692307
SH600023,5,instrument_train_set,2017-08-04,2025-12-19,129,47,102,0.5903083700440529,0.5353535353535354,1.0
SH600025,9,instrument_robustness_set,2018-06-15,2025-12-19,175,98,102,0.779735682819383,1.0,1.0
SH600026,2,instrument_train_set,2022-06-02,2025-12-19,0,73,82,,0.7575757575757577,0.8365384615384616
SH600027,5,instrument_train_set,2021-12-24,2025-12-19,1,66,96,0.013215859030837008,0.6767676767676767,0.9423076923076924
SH600028,7,instrument_validation_set,2017-08-04,2025-12-19,226,98,102,1.0,1.0,1.0
SH600029,0,instrument_train_set,2017-08-04,2025-12-19,226,98,102,1.0,1.0,1.0
SH600030,0,instrument_train_set,2017-08-04,2025-12-19,215,92,102,0.9559471365638765,0.9494949494949496,1.0
SH600031,2,instrument_train_set,2017-08-04,2025-12-19,226,98,102,1.0,1.0,1.0
SH600036,7,instrument_validation_set,2017-08-04,2025-12-19,226,98,102,1.0,1.0,1.0
SH600039,1,instrument_train_set,2021-11-19,2025-12-19,6,77,97,0.030837004405286347,0.7979797979797978,0.9615384615384617
SH600048,0,instrument_train_set,2017-08-04,2025-12-19,226,98,102,1.0,1.0,1.0
SH600050,6,instrument_validation_set,2017-09-15,2025-12-19,220,98,102,0.9735682819383259,1.0,1.0
SH600061,3,instrument_train_set,2017-08-04,2025-10-31,175,6,12,0.7797356828193831,0.0808080808080808,0.15384615384615383
SH600066,5,instrument_train_set,2017-09-22,2025-12-19,22,0,79,0.10132158590308364,,0.7884615384615382
SH600079,5,instrument_train_set,2020-08-21,2021-04-23,11,0,0,0.061674008810572695,,
SH600085,1,instrument_train_set,2018-04-04,2025-08-01,16,98,59,0.0881057268722467,1.0,0.6346153846153848
SH600089,9,instrument_robustness_set,2021-07-16,2025-12-19,24,98,102,0.1145374449339207,1.0,1.0
SH600096,3,instrument_train_set,2021-09-10,2025-12-19,3,8,11,0.022026431718061675,0.11111111111111112,0.125
SH600104,0,instrument_train_set,2017-08-04,2025-12-19,226,98,102,1.0,1.0,1.0
SH600109,8,instrument_robustness_set,2020-11-20,2020-12-04,3,0,0,0.01762114537444934,,
SH600111,5,instrument_train_set,2017-08-04,2025-12-19,71,98,102,0.3259911894273127,1.0,1.0
SH600115,0,instrument_train_set,2017-08-04,2025-12-19,226,98,102,1.0,1.0,1.0
SH600118,1,instrument_train_set,2025-10-31,2025-12-19,0,0,7,,,0.08653846153846155
SH600132,6,instrument_validation_set,2020-09-25,2023-04-21,60,59,0,0.2731277533039647,0.6161616161616162,
SH600141,6,instrument_validation_set,2021-09-17,2021-10-22,3,0,0,0.022026431718061675,0.010101010101010102,
SH600143,1,instrument_train_set,2021-01-08,2025-10-31,32,0,7,0.14537444933920704,,0.08653846153846156
SH600150,9,instrument_robustness_set,2020-04-03,2025-12-19,91,98,89,0.4052863436123348,1.0,0.8846153846153849
SH600160,8,instrument_robustness_set,2024-02-23,2025-12-19,0,0,89,,0.0101010101010101,0.8846153846153849
SH600161,8,instrument_robustness_set,2020-07-24,2024-06-07,20,3,1,0.1013215859030837,0.04040404040404041,0.028846153846153844
SH600176,5,instrument_train_set,2018-01-05,2025-12-19,63,86,24,0.29515418502202645,0.8888888888888891,0.2692307692307693
SH600183,5,instrument_train_set,2019-08-23,2025-12-19,119,2,61,0.5330396475770925,0.030303030303030297,0.6346153846153848
SH600188,8,instrument_robustness_set,2017-08-04,2025-12-19,144,98,102,0.656387665198238,1.0,1.0
SH600196,7,instrument_validation_set,2017-08-04,2025-12-19,226,98,102,1.0,1.0,1.0
SH600219,7,instrument_validation_set,2021-02-10,2025-12-19,26,8,8,0.11894273127753305,0.09090909090909091,0.11538461538461538
SH600221,4,instrument_train_set,2017-08-04,2017-12-29,21,0,0,0.09691629955947138,,
SH600233,8,instrument_robustness_set,2017-08-04,2025-12-19,22,84,56,0.1145374449339207,0.8585858585858582,0.5769230769230768
SH600236,0,instrument_train_set,2021-09-17,2025-12-19,4,6,58,0.03083700440528634,0.08080808080808079,0.6057692307692308
SH600256,0,instrument_train_set,2021-09-10,2024-11-08,5,62,18,0.02202643171806167,0.6565656565656565,0.17307692307692313
SH600271,9,instrument_robustness_set,2018-07-27,2019-04-12,16,0,0,0.0881057268722467,,
SH600276,0,instrument_train_set,2017-08-04,2025-12-19,226,98,102,1.0,1.0,1.0
SH600292,6,instrument_validation_set,2025-11-21,2025-12-19,0,0,5,,,0.0673076923076923
SH600295,7,instrument_validation_set,2021-09-03,2021-09-24,4,0,0,0.022026431718061675,,
SH600297,9,instrument_robustness_set,2017-08-04,2018-08-31,49,0,0,0.22907488986784144,,
SH600298,3,instrument_train_set,2020-07-17,2021-12-24,12,0,0,0.06607929515418501,,
