split,instrument_segment,total_signal_date_count,purged_cross_split_signal_date_count,unpurged_signal_date_count,raw_label_available_count,self_relative_label_available_count,industry_relative_label_available_count,industry_relative_peer_count_min,industry_relative_peer_count_p50,self_relative_label_lookback_only_uses_completed_h3_labels,self_relative_label_uses_lookback_h3_exit_date_le_D_minus_1
robustness,instrument_robustness_set,104,0,102,4570,4119,2318,0,10.0,True,True
robustness,instrument_train_set,104,0,102,14289,12875,9126,0,11.0,True,True
robustness,instrument_validation_set,104,0,102,3999,3604,2631,0,12.0,True,True
train,instrument_robustness_set,227,0,226,8507,6212,3510,0,8.0,True,True
train,instrument_train_set,227,0,226,23297,17139,10756,0,9.0,True,True
train,instrument_validation_set,227,0,226,7204,5183,2865,0,8.0,True,True
validation,instrument_robustness_set,99,0,98,4782,4445,2799,0,11.0,True,True
validation,instrument_train_set,99,0,98,13127,11965,7434,0,11.0,True,True
validation,instrument_validation_set,99,0,98,3981,3705,2343,0,11.0,True,True
