family,train_q20,train_q80,decile_edges_train,bucket_method,low_state_alias,high_state_alias,bucket_edges_source_split,frozen_before_validation_read,low_state_count_train,middle_state_count_train,high_state_count_train
volume_price_correlation,0.31824154754479717,0.6931216816107432,"[0.210317462682724, 0.31824154754479717, 0.393772366642952, 0.4602599024772644, 0.5211640199025472, 0.5793650845686594, 0.6375661293665568, 0.6931216816107432, 0.7695913861195248]",train_frozen_extreme_tail_20_60_20,bottom_quintile_state,top_quintile_state,instrument_train_set_train_years,True,4273,12813,4276
volume_surge_money_flow,0.4030812727819596,0.592403628397733,"[0.35388322257037674, 0.4030812727819596, 0.43858920307031696, 0.46963851722803995, 0.49815759708040525, 0.5277777728225503, 0.5577283250833196, 0.592403628397733, 0.6361617974435481]",train_frozen_extreme_tail_20_60_20,bottom_quintile_state,top_quintile_state,instrument_train_set_train_years,True,4275,12823,4275
vwap_deviation,0.314351851741473,0.6418650694424287,"[0.2156084648023049, 0.314351851741473, 0.3865740717078249, 0.44743562142054244, 0.4986772562066714, 0.5439814885457357, 0.5919312100857497, 0.6418650694424287, 0.7063492010037105]",train_frozen_extreme_tail_20_60_20,bottom_quintile_state,top_quintile_state,instrument_train_set_train_years,True,4250,12749,4250
