family,factor_id,train_direction_valid_instrument_count,factor_direction_stat,factor_direction_stat_p25,factor_direction_stat_p75,direction,direction_source_split,direction_status
volume_price_correlation,alpha022,90,-0.006855369904080961,-0.06599942981019939,0.029855946668686018,-1.0,train,direction_available
volume_price_correlation,alpha031,90,-0.025192231834547635,-0.09082021061570855,0.011656600190620462,-1.0,train,direction_available
volume_price_correlation,alpha185,90,0.006292951576044842,-0.05354990377850452,0.0490103337277178,1.0,train,direction_available
volume_surge_money_flow,alpha025,75,0.022835985009559155,-0.03430478556925634,0.09105304913117358,1.0,train,factor_direction_sample_insufficient
volume_surge_money_flow,alpha069,90,0.007427486572350518,-0.0420441486724908,0.05627414707676114,1.0,train,direction_available
volume_surge_money_flow,alpha076,90,0.0013312254673501006,-0.05326800893190159,0.04868311912080006,1.0,train,direction_available
volume_surge_money_flow,alpha080,90,0.02075861051192313,-0.025065398764279413,0.08387593900225876,1.0,train,direction_available
volume_surge_money_flow,alpha081,90,-0.0402455267137941,-0.10704450623069842,0.0018610254536026874,-1.0,train,direction_available
volume_surge_money_flow,alpha086,90,-0.017675107503988666,-0.05371022328584742,0.030402494028296527,-1.0,train,direction_available
volume_surge_money_flow,alpha098,90,-0.00597569830802871,-0.05489053544352104,0.05848927321281748,-1.0,train,direction_available
volume_surge_money_flow,alpha100,90,-0.024122639658346684,-0.06192947815896746,0.011812870812295213,-1.0,train,direction_available
volume_surge_money_flow,alpha135,90,-0.03060202408823824,-0.07250527737008836,0.027537623494186807,-1.0,train,direction_available
volume_surge_money_flow,alpha145,90,0.015189380841681033,-0.042586801892702586,0.08120462082870433,1.0,train,direction_available
volume_surge_money_flow,alpha146,90,0.0015189729018895107,-0.041415740516203864,0.05545372857320169,1.0,train,direction_available
volume_surge_money_flow,alpha168,90,-0.043853074001757794,-0.0980445050038546,0.01516333630341966,-1.0,train,direction_available
volume_surge_money_flow,alpha169,90,0.0006674101331004079,-0.05506838721712224,0.04503139976694578,1.0,train,direction_available
volume_surge_money_flow,alpha178,90,-0.0191931945231339,-0.06921839559216889,0.03292340946110616,-1.0,train,direction_available
volume_surge_money_flow,alpha181,90,0.04570564997810632,0.005168376816237901,0.10075030296587115,1.0,train,direction_available
vwap_deviation,alpha018,90,-0.045635211851982965,-0.09343976659222583,0.006456209875299223,-1.0,train,direction_available
vwap_deviation,alpha027,90,-0.02732419578145874,-0.07945470567262439,0.034200430755828015,-1.0,train,direction_available
vwap_deviation,alpha041,90,0.03161669813216668,-0.0159407334533108,0.08930518857340305,1.0,train,direction_available
vwap_deviation,alpha095,90,-0.046349828882221,-0.0858765403297887,-0.01414233494139544,-1.0,train,direction_available
vwap_deviation,alpha144,90,0.06712821230930516,0.02079542847432156,0.1172276973890723,1.0,train,direction_available
vwap_deviation,alpha156,90,0.0021091179841075864,-0.045168683343553666,0.06884049753083925,1.0,train,direction_available
