fetched_at_utc,snapshot_date,provider,board_type,board_name,board_code,role,source_api,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,涂料油墨,BK1430,current_membership,stock_board_industry_cons_em,1,603823,百合花,65.86,9.99,5.98,283762,1830585103.0,10.64,65.87,59.5,59.96,59.88,6.82,159.66,11.19
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,涂料油墨,BK1430,current_membership,stock_board_industry_cons_em,2,603110,东方材料,22.14,4.83,1.02,191009,428431540.0,9.99,23.23,21.12,21.12,21.12,9.49,106.82,6.39
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,涂料油墨,BK1430,current_membership,stock_board_industry_cons_em,3,603062,麦加芯彩,41.17,0.51,0.21,5275,21784830.0,3.66,41.97,40.47,40.93,40.96,1.42,110.42,2.23
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,涂料油墨,BK1430,current_membership,stock_board_industry_cons_em,4,002319,乐通股份,11.21,0.09,0.01,80721,90352548.0,4.64,11.53,11.01,11.27,11.2,3.85,111.35,13.14
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,涂料油墨,BK1430,current_membership,stock_board_industry_cons_em,5,301036,双乐股份,22.31,-0.13,-0.03,14589,32795674.72,2.64,22.82,22.23,22.5,22.34,2.07,-104.01,1.38
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,涂料油墨,BK1430,current_membership,stock_board_industry_cons_em,6,300665,飞鹿股份,9.55,-1.65,-0.16,129371,124586255.88,4.63,9.87,9.42,9.62,9.71,5.93,-91.63,4.86
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,涂料油墨,BK1430,current_membership,stock_board_industry_cons_em,7,688571,杭华股份,10.06,-1.76,-0.18,193201,194674824.0,6.25,10.44,9.8,10.26,10.24,4.55,38.13,2.6
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,涂料油墨,BK1430,current_membership,stock_board_industry_cons_em,8,000565,渝三峡Ａ,6.05,-1.79,-0.11,102546,62554644.52,3.25,6.22,6.02,6.17,6.16,2.37,26.4,2.05
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,涂料油墨,BK1430,current_membership,stock_board_industry_cons_em,9,300758,七彩化学,11.81,-1.83,-0.22,89764,107720302.7,4.24,12.31,11.8,12.06,12.03,2.5,74.52,2.68
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,涂料油墨,BK1430,current_membership,stock_board_industry_cons_em,10,688157,松井股份,21.08,-2.18,-0.47,23183,48786526.0,6.5,21.9,20.5,21.7,21.55,1.24,-144.66,2.95
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,涂料油墨,BK1430,current_membership,stock_board_industry_cons_em,11,301037,保立佳,12.31,-2.22,-0.28,21542,26839541.26,4.77,12.82,12.22,12.55,12.59,3.17,-16.46,3.14
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,涂料油墨,BK1430,current_membership,stock_board_industry_cons_em,12,301209,联合化学,50.3,-2.27,-1.17,27882,138926748.87,6.12,51.59,48.44,51.44,51.47,2.08,439.66,10.53
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,涂料油墨,BK1430,current_membership,stock_board_industry_cons_em,13,300522,世名科技,21.6,-2.75,-0.61,210404,449711391.69,10.81,22.58,20.18,21.79,22.21,8.0,814.57,8.94
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,涂料油墨,BK1430,current_membership,stock_board_industry_cons_em,14,301683,慧谷新材,133.3,-3.45,-4.77,14184,193239583.8,5.7,140.88,133.01,137.5,138.07,9.94,34.36,2.45
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,涂料油墨,BK1430,current_membership,stock_board_industry_cons_em,15,001335,信凯科技,36.3,-3.66,-1.38,19437,71236526.38,4.59,37.89,36.16,37.53,37.68,7.61,35.14,3.48
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,涂料油墨,BK1430,current_membership,stock_board_industry_cons_em,16,688129,东来技术,25.64,-5.25,-1.42,12178,31816953.0,6.65,27.3,25.5,26.86,27.06,1.01,33.79,2.99
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,涂料油墨,BK1430,current_membership,stock_board_industry_cons_em,17,300225,金力泰,7.7,-5.41,-0.44,183857,143498892.2,5.65,8.1,7.64,8.1,8.14,3.89,63.63,4.18
