fetched_at_utc,snapshot_date,provider,board_type,board_name,board_code,role,source_api,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,疫苗,BK1598,current_membership,stock_board_industry_cons_em,1,002007,华兰生物,13.1,1.71,0.22,127531,166170859.81,2.95,13.14,12.76,12.9,12.88,0.81,25.96,2.21
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,疫苗,BK1598,current_membership,stock_board_industry_cons_em,2,688319,欧林生物,43.37,1.52,0.65,131273,566881502.0,5.64,44.11,41.7,41.7,42.72,3.24,161.67,18.89
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,疫苗,BK1598,current_membership,stock_board_industry_cons_em,3,300601,康泰生物,11.97,1.1,0.13,201837,241686572.0,3.55,12.15,11.73,11.78,11.84,2.24,100.26,1.46
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,疫苗,BK1598,current_membership,stock_board_industry_cons_em,4,600739,辽宁成大,10.46,1.06,0.11,160550,168200911.0,2.32,10.62,10.38,10.41,10.35,1.05,7.23,0.54
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,疫苗,BK1598,current_membership,stock_board_industry_cons_em,5,688276,百克生物,14.99,1.01,0.15,27325,41023020.0,2.96,15.2,14.76,14.86,14.84,0.66,-446.21,1.61
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,疫苗,BK1598,current_membership,stock_board_industry_cons_em,6,301207,华兰疫苗,17.24,0.88,0.15,68789,119016151.26,4.68,17.65,16.85,17.1,17.09,1.15,69.33,1.97
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,疫苗,BK1598,current_membership,stock_board_industry_cons_em,7,300841,康华生物,48.46,0.52,0.25,31681,154079566.98,3.46,49.35,47.68,48.05,48.21,2.66,57.53,1.8
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,疫苗,BK1598,current_membership,stock_board_industry_cons_em,8,603392,万泰生物,28.76,0.49,0.14,57513,165107539.0,3.07,29.03,28.15,28.43,28.62,0.45,-211.5,3.08
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,疫苗,BK1598,current_membership,stock_board_industry_cons_em,9,300122,智飞生物,12.22,0.41,0.05,283692,348252108.67,3.2,12.45,12.06,12.12,12.17,2.01,-18.83,1.89
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,疫苗,BK1598,current_membership,stock_board_industry_cons_em,10,300142,沃森生物,13.23,0.23,0.03,1023727,1380320128.53,6.36,13.86,13.02,13.11,13.2,6.49,47.8,2.94
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,疫苗,BK1598,current_membership,stock_board_industry_cons_em,11,688739,成大生物,20.33,0.1,0.02,20664,42151154.0,1.92,20.6,20.21,20.36,20.31,0.5,-1109.5,0.91
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,疫苗,BK1598,current_membership,stock_board_industry_cons_em,12,688185,康希诺,53.01,-0.08,-0.04,27101,146061807.0,4.49,54.96,52.58,53.21,53.05,2.37,-80.99,2.66
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,疫苗,BK1598,current_membership,stock_board_industry_cons_em,13,920575,*ST康乐,3.79,-1.3,-0.05,39038,15026384.36,3.65,3.93,3.79,3.82,3.84,2.08,-5.25,-14.7
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,疫苗,BK1598,current_membership,stock_board_industry_cons_em,14,688670,金迪克,16.5,-1.37,-0.23,24636,40789713.0,3.59,16.95,16.35,16.73,16.73,2.0,-22.7,1.89
