fetched_at_utc,snapshot_date,provider,board_type,board_name,board_code,role,source_api,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,大众出版,BK1289,current_membership,stock_board_industry_cons_em,1,000719,中原传媒,11.93,5.02,0.57,71825,84700349.66,6.07,11.96,11.27,11.37,11.36,1.08,27.46,1.04
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,大众出版,BK1289,current_membership,stock_board_industry_cons_em,2,601801,XD皖新传,5.08,2.42,0.12,123827,62538191.0,3.43,5.11,4.94,4.99,4.96,0.63,7.43,0.85
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,大众出版,BK1289,current_membership,stock_board_industry_cons_em,3,600825,新华传媒,4.95,1.64,0.08,144728,71330532.0,4.72,5.04,4.81,4.91,4.87,1.39,980.89,2.08
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,大众出版,BK1289,current_membership,stock_board_industry_cons_em,4,601949,中国出版,4.91,1.03,0.05,75927,37201776.0,2.47,4.94,4.82,4.86,4.86,0.4,-23.28,0.94
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,大众出版,BK1289,current_membership,stock_board_industry_cons_em,5,600551,时代出版,6.84,0.88,0.06,33582,22922032.0,2.21,6.88,6.73,6.78,6.78,0.5,22.91,0.79
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,大众出版,BK1289,current_membership,stock_board_industry_cons_em,6,603230,内蒙新华,9.18,0.77,0.07,16811,15424402.0,1.65,9.23,9.08,9.12,9.11,0.48,13.05,1.17
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,大众出版,BK1289,current_membership,stock_board_industry_cons_em,7,600373,中文传媒,6.78,0.74,0.05,97756,66177124.0,1.93,6.81,6.68,6.71,6.73,0.73,21.01,0.52
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,大众出版,BK1289,current_membership,stock_board_industry_cons_em,8,601999,出版传媒,5.77,0.0,0.0,36719,21229747.0,1.91,5.84,5.73,5.73,5.77,0.67,119.73,1.18
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,大众出版,BK1289,current_membership,stock_board_industry_cons_em,9,603999,读者传媒,5.22,-0.19,-0.01,53708,28129636.0,2.68,5.32,5.18,5.28,5.23,0.93,79.02,1.47
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,大众出版,BK1289,current_membership,stock_board_industry_cons_em,10,601858,中国科传,17.77,-0.22,-0.04,77039,137772235.0,3.71,18.31,17.65,18.0,17.81,0.97,93.63,2.46
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,大众出版,BK1289,current_membership,stock_board_industry_cons_em,11,300788,中信出版,23.93,-0.42,-0.1,18624,44859377.0,2.46,24.38,23.79,23.79,24.03,0.98,27.34,2.03
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,大众出版,BK1289,current_membership,stock_board_industry_cons_em,12,600229,城市传媒,4.76,-0.83,-0.04,52593,25130734.0,2.71,4.85,4.72,4.77,4.8,0.8,29.37,1.14
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,大众出版,BK1289,current_membership,stock_board_industry_cons_em,13,603096,新经典,14.01,-1.41,-0.2,13930,19664564.0,3.45,14.35,13.86,14.27,14.21,0.9,26.17,1.21
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,大众出版,BK1289,current_membership,stock_board_industry_cons_em,14,301025,读客文化,8.19,-2.03,-0.17,58382,48387495.55,4.43,8.54,8.17,8.29,8.36,2.11,269.21,5.3
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,大众出版,BK1289,current_membership,stock_board_industry_cons_em,15,002181,粤 传 媒,9.16,-2.14,-0.2,561462,529720287.46,6.52,9.74,9.13,9.46,9.36,4.95,151.83,2.5
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,大众出版,BK1289,current_membership,stock_board_industry_cons_em,16,000793,*ST华闻,2.56,-3.03,-0.08,171648,44332341.0,4.17,2.66,2.55,2.63,2.64,0.64,-100.57,3.17
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,大众出版,BK1289,current_membership,stock_board_industry_cons_em,17,301052,果麦文化,22.91,-3.25,-0.77,29588,68739283.0,4.9,24.0,22.84,23.64,23.68,3.69,-68.89,3.3
2026-07-06T07:48:20Z,2026-07-06,eastmoney,industry,大众出版,BK1289,current_membership,stock_board_industry_cons_em,18,301231,荣信文化,23.88,-4.29,-1.07,40833,99422187.82,5.97,25.32,23.83,24.81,24.95,6.24,-42.29,2.48
