valid_train_year_count,mean_train_rankIC,ic_vol,positive_year_count,negative_year_count,same_sign_year_count,sign_consistency,single_year_ic_contribution_share,neutralized_mean_train_rankIC,raw_neutralized_rankIC_sign_agree,factor_quality_score,direction_i,stability_selected,representative_eligible,neutralized_missing_share,factor_id,direction,cluster_id,cluster_size,cluster_source_factor_share,is_representative,representative_factor_id,representative_tie_break_rank,cluster_structure_ok,cluster_block_reason
5,0.021805104615218937,0.014094200217850418,4,1,4,0.8,0.27111203908234227,0.01629929812777764,True,0.017201640329298565,1,True,True,0.003735564149106918,alpha002,1,alpha002,1,0.011235955056179775,True,alpha002,1.0,False,no_representative_eligible_factor
5,-0.01659179905192028,0.01508928709975635,1,4,4,0.8,0.37964027757998486,-0.008513050975084282,True,0.013076129765353144,-1,True,True,0.0,alpha003,-1,alpha003,1,0.011235955056179775,True,alpha003,1.0,False,no_representative_eligible_factor
5,0.06029030793557375,0.037769125943917785,5,0,5,1.0,0.33889178456573144,0.03347255062632149,True,0.058096070145405264,1,True,True,0.0,alpha007,1,alpha007,2,0.02247191011235955,False,alpha013,,False,no_representative_eligible_factor
5,-0.06483622941326703,0.04167464737681027,0,5,5,1.0,0.3556710756223243,-0.03482715766433798,True,0.06224230336846576,-1,True,True,0.0,alpha013,-1,alpha007,2,0.02247191011235955,True,alpha013,1.0,False,no_representative_eligible_factor
5,0.01757837083907808,0.015776821059122675,4,1,4,0.8,0.3095069595375789,0.011954651395706214,True,0.013844277974958788,1,True,True,0.0,alpha008,1,alpha008,3,0.033707865168539325,False,alpha065,,False,no_representative_eligible_factor
5,0.018909030084137343,0.010760667726095949,5,0,5,1.0,0.4231656200043081,0.016214996246036402,True,0.01870772249841984,1,True,True,0.0,alpha065,1,alpha008,3,0.033707865168539325,True,alpha065,1.0,False,no_representative_eligible_factor
5,-0.01890829558624626,0.010759227546332356,0,5,5,1.0,0.4231432127157358,-0.016170441370858255,True,0.018707022474726324,-1,True,True,0.0,alpha066,-1,alpha008,3,0.033707865168539325,False,alpha065,,False,no_representative_eligible_factor
5,-0.017929301092060163,0.01809652931642119,1,4,4,0.8,0.4465732186109605,-0.010401208623650316,True,0.014088488135087469,-1,True,True,0.0,alpha009,-1,alpha009,2,0.02247191011235955,True,alpha009,1.0,False,no_representative_eligible_factor
5,-0.01012197787974235,0.0170901183214132,2,3,3,0.6,0.5414014888747085,-0.006176735459251967,True,0.005971139251523243,-1,True,True,0.0,alpha068,-1,alpha009,2,0.02247191011235955,False,alpha009,,False,no_representative_eligible_factor
5,0.04024132042465904,0.04348600040704773,3,2,3,0.6,0.35407986524500284,0.015573759945214736,True,0.023138587623961333,1,True,True,0.0155210059716413,alpha010,1,alpha010,14,0.15730337078651685,False,alpha189,,False,no_representative_eligible_factor
5,0.04039231183002823,0.04278963723502821,4,1,4,0.8,0.3301481129882486,0.018166450130699535,True,0.030987888937699094,1,True,True,0.004393233893667969,alpha093,1,alpha010,14,0.15730337078651685,False,alpha189,,False,no_representative_eligible_factor
5,0.04228530484621769,0.04736154768780417,3,2,3,0.6,0.34862693295440067,0.017289144444368222,True,0.024223901444292102,1,True,True,0.0,alpha126,1,alpha010,14,0.15730337078651685,False,alpha189,,False,no_representative_eligible_factor
5,0.03924837544388808,0.046138451920061475,3,2,3,0.6,0.39932501153934286,0.018094911654370473,True,0.022510428923735136,1,True,True,0.0,alpha129,1,alpha010,14,0.15730337078651685,False,alpha189,,False,no_representative_eligible_factor
5,0.04325390760596387,0.0474089856852673,3,2,3,0.6,0.35959300079166495,0.01756475161232402,True,0.024777660797514547,1,True,True,0.005919027701049684,alpha153,1,alpha010,14,0.15730337078651685,False,alpha189,,False,no_representative_eligible_factor
5,0.04033137056231255,0.04305421918204624,3,2,3,0.6,0.3504907504631282,0.019787284230356715,True,0.023199965919666218,1,True,True,0.0,alpha160,1,alpha010,14,0.15730337078651685,False,alpha189,,False,no_representative_eligible_factor
5,0.039918918760449514,0.05027474476510768,3,2,3,0.6,0.3813683918551922,0.018629208710798865,True,0.022804843566553042,1,True,True,0.0,alpha161,1,alpha010,14,0.15730337078651685,False,alpha189,,False,no_representative_eligible_factor
5,-0.03337089632564698,0.05003224401676241,2,3,3,0.6,0.3155081921087519,-0.010943331197460398,True,0.01906849804801666,-1,True,True,0.0,alpha164,-1,alpha010,14,0.15730337078651685,False,alpha189,,False,no_representative_eligible_factor
5,0.033831462011256364,0.04772669007498348,3,2,3,0.6,0.3618030733093896,0.015413109935850409,True,0.019374210277396935,1,True,True,0.0,alpha167,1,alpha010,14,0.15730337078651685,False,alpha189,,False,no_representative_eligible_factor
5,0.042823248723065074,0.04723902825156616,3,2,3,0.6,0.3521259732590641,0.017592605112772837,True,0.024534942396805783,1,True,True,0.0,alpha173,1,alpha010,14,0.15730337078651685,False,alpha189,,False,no_representative_eligible_factor
5,0.03867040035924493,0.043070624770859184,3,2,3,0.6,0.3565650262352786,0.02012261623063906,True,0.022244169919600605,1,True,True,0.0,alpha174,1,alpha010,14,0.15730337078651685,False,alpha189,,False,no_representative_eligible_factor
5,0.03998787246075651,0.04863522813059637,3,2,3,0.6,0.3842624585463845,0.02030145983133489,True,0.022879951800995443,1,True,True,0.0,alpha175,1,alpha010,14,0.15730337078651685,False,alpha189,,False,no_representative_eligible_factor
5,0.03543755914236331,0.05135712584376108,3,2,3,0.6,0.3487968717424016,0.015638059459608583,True,0.020223894395877948,1,True,True,0.004393233893667969,alpha187,1,alpha010,14,0.15730337078651685,False,alpha189,,False,no_representative_eligible_factor
5,0.040614636590686225,0.04121779737976131,4,1,4,0.8,0.44973655396407,0.022521646158304025,True,0.03120548779930079,1,True,True,0.0,alpha189,1,alpha010,14,0.15730337078651685,True,alpha189,1.0,False,no_representative_eligible_factor
5,-0.005807171897013236,0.009249960404612793,1,4,4,0.8,0.3352986517715061,-0.0010928144230128258,True,0.004603158483898372,-1,True,True,0.009496751111461865,alpha011,-1,alpha011,1,0.011235955056179775,True,alpha011,1.0,False,no_representative_eligible_factor
5,0.02324827876646902,0.02873681866391987,4,1,4,0.8,0.37721427047443173,0.004803744983429963,True,0.01807908755256794,1,True,True,0.0,alpha012,1,alpha012,1,0.011235955056179775,True,alpha012,1.0,False,no_representative_eligible_factor
5,-0.016236219894357383,0.01647034032856128,1,4,4,0.8,0.5531256086984676,-0.011074442277927258,True,0.012778509514884009,-1,True,True,0.0,alpha014,-1,alpha014,2,0.02247191011235955,True,alpha014,1.0,False,no_representative_eligible_factor
5,0.013276453168139427,0.01757271076364326,3,2,3,0.6,0.4983170402910232,0.009940647146081328,True,0.007828307320570362,1,True,True,0.00013153394891218806,alpha017,1,alpha014,2,0.02247191011235955,False,alpha014,,False,no_representative_eligible_factor
5,-0.005953869995740083,0.01602999930516637,2,3,3,0.6,0.4773903067804101,-0.002553887158324089,True,0.0035159611427684786,-1,True,True,0.0,alpha020,-1,alpha020,2,0.02247191011235955,False,alpha029,,False,no_representative_eligible_factor
5,-0.006594644899026153,0.021285055163426426,2,3,3,0.6,0.5637365981796171,-0.0028198219366010746,True,0.0038743217864698164,-1,True,True,0.0,alpha029,-1,alpha020,2,0.02247191011235955,True,alpha029,1.0,False,no_representative_eligible_factor
5,-0.014321066815446554,0.02343805248123429,1,4,4,0.8,0.34668168252183745,-0.005262812965854239,True,0.01119447671950552,-1,True,True,0.0,alpha024,-1,alpha024,5,0.056179775280898875,True,alpha024,1.0,False,no_representative_eligible_factor
5,-0.009721802503498167,0.017590993599488108,2,3,3,0.6,0.3461161930034902,0.0005123488239683332,False,0.005732245606327303,-1,True,False,0.0,alpha027,-1,alpha024,5,0.056179775280898875,False,alpha024,,False,no_representative_eligible_factor
5,-0.013853662227978139,0.024150188117420177,2,3,3,0.6,0.39357154254172616,-0.014502428877307358,True,0.008116189825699548,-1,True,True,0.0,alpha047,-1,alpha024,5,0.056179775280898875,False,alpha024,,False,no_representative_eligible_factor
5,0.007372882824099841,0.01605998380361044,4,1,4,0.8,0.4089894651425928,0.010240361665211903,True,0.005805076819578725,1,True,True,0.0,alpha057,1,alpha024,5,0.056179775280898875,False,alpha024,,False,no_representative_eligible_factor
