factor_id,valid_train_year_count,mean_train_rankIC,ic_vol,positive_year_count,negative_year_count,same_sign_year_count,sign_consistency,single_year_ic_contribution_share,neutralized_mean_train_rankIC,raw_neutralized_rankIC_sign_agree,factor_quality_score,direction_i,stability_selected,representative_eligible,neutralized_missing_share
alpha002,5,0.021805104615218937,0.014094200217850418,4,1,4,0.8,0.27111203908234227,0.01629929812777764,True,0.017201640329298565,1,True,True,0.003735564149106918
alpha003,5,-0.01659179905192028,0.01508928709975635,1,4,4,0.8,0.37964027757998486,-0.008513050975084282,True,0.013076129765353144,-1,True,True,0.0
alpha004,5,-0.0017066648357171566,0.008144609618159989,1,4,4,0.8,0.3734518574609336,-0.0036964546132819353,True,0.001354301610649738,-1,False,False,0.0
alpha006,5,-0.0028415979992454715,0.009969946126857218,2,3,3,0.6,0.45270508586397623,-0.005724500718018483,True,0.0016881282518213978,-1,False,False,0.0
alpha007,5,0.06029030793557375,0.037769125943917785,5,0,5,1.0,0.33889178456573144,0.03347255062632149,True,0.058096070145405264,1,True,True,0.0
alpha008,5,0.01757837083907808,0.015776821059122675,4,1,4,0.8,0.3095069595375789,0.011954651395706214,True,0.013844277974958788,1,True,True,0.0
alpha009,5,-0.017929301092060163,0.01809652931642119,1,4,4,0.8,0.4465732186109605,-0.010401208623650316,True,0.014088488135087469,-1,True,True,0.0
alpha010,5,0.04024132042465904,0.04348600040704773,3,2,3,0.6,0.35407986524500284,0.015573759945214736,True,0.023138587623961333,1,True,True,0.0155210059716413
alpha011,5,-0.005807171897013236,0.009249960404612793,1,4,4,0.8,0.3352986517715061,-0.0010928144230128258,True,0.004603158483898372,-1,True,True,0.009496751111461865
alpha012,5,0.02324827876646902,0.02873681866391987,4,1,4,0.8,0.37721427047443173,0.004803744983429963,True,0.01807908755256794,1,True,True,0.0
alpha013,5,-0.06483622941326703,0.04167464737681027,0,5,5,1.0,0.3556710756223243,-0.03482715766433798,True,0.06224230336846576,-1,True,True,0.0
alpha014,5,-0.016236219894357383,0.01647034032856128,1,4,4,0.8,0.5531256086984676,-0.011074442277927258,True,0.012778509514884009,-1,True,True,0.0
alpha015,5,-0.0012153081219131332,0.019533956084311604,3,2,2,0.4,0.47409358442208527,0.0006986384957659625,False,0.0004768092772822299,-1,False,False,0.0
alpha017,5,0.013276453168139427,0.01757271076364326,3,2,3,0.6,0.4983170402910232,0.009940647146081328,True,0.007828307320570362,1,True,True,0.00013153394891218806
alpha018,5,-0.00975793126462788,0.010818039751690855,0,5,5,1.0,0.6168615222904763,-0.008360875153342575,True,0.009653499325185107,-1,False,False,0.0
alpha019,5,-0.009757945190307735,0.010817838462456472,0,5,5,1.0,0.6168606419600474,-0.008367025142099865,True,0.009653515024181247,-1,False,False,0.0
alpha020,5,-0.005953869995740083,0.01602999930516637,2,3,3,0.6,0.4773903067804101,-0.002553887158324089,True,0.0035159611427684786,-1,True,True,0.0
alpha022,5,-0.008511010278190186,0.013855244043055938,2,3,3,0.6,0.7460449139577854,-0.008399796806883079,True,0.005036819799392631,-1,False,False,0.0
alpha023,5,0.008648226535311462,0.028879845616267562,2,3,2,0.4,0.404609399096266,0.004838174032929127,True,0.0033621910555090865,1,False,False,0.0
alpha024,5,-0.014321066815446554,0.02343805248123429,1,4,4,0.8,0.34668168252183745,-0.005262812965854239,True,0.01119447671950552,-1,True,True,0.0
alpha025,4,-0.01984174538685104,0.04265926392070797,2,2,2,0.5,0.5506554637184106,-0.027915080142046973,True,0.00951497103293371,-1,False,False,0.43756083445137195
alpha027,5,-0.009721802503498167,0.017590993599488108,2,3,3,0.6,0.3461161930034902,0.0005123488239683332,False,0.005732245606327303,-1,True,False,0.0
alpha028,5,0.004328172241087375,0.016420884933182264,4,1,4,0.8,0.3488254493101633,-0.0031274039025843345,False,0.003406598432004397,1,False,False,0.0
alpha029,5,-0.006594644899026153,0.021285055163426426,2,3,3,0.6,0.5637365981796171,-0.0028198219366010746,True,0.0038743217864698164,-1,True,True,0.0
alpha031,5,-0.011543462010642354,0.01628988282002071,2,3,3,0.6,0.43583887017182016,-0.005707203379399209,True,0.00681506066671332,-1,True,True,0.0
alpha034,5,0.011543462010642354,0.01628988282002071,3,2,3,0.6,0.43583887017182016,0.005705117289100295,True,0.00681506066671332,1,True,True,0.0
alpha037,5,0.005043292117849063,0.017945370299628748,4,1,4,0.8,0.3432275890064059,-0.0007414830564276317,False,0.003963507091831136,1,True,False,0.0
alpha038,5,0.013339178334958571,0.0037586613861087534,5,0,5,1.0,0.2664685777508683,0.01162930032087967,True,0.013289228624476582,1,True,True,0.0
alpha040,5,-0.008927612630070716,0.025789907947225542,1,4,4,0.8,0.31823255566650543,-0.0044438908119051,True,0.006962527169280765,-1,True,True,0.003604030200194619
alpha041,5,-0.016868758649489685,0.03554367573902589,2,3,3,0.6,0.32566641174959976,-0.010595195751030823,True,0.009773856406848969,-1,True,True,0.0
