horizon,split,fallback_comparator_share
H10,robustness,0.0
H10,train,0.001883745963401507
H10,validation,0.0
H20,robustness,0.0
H20,train,0.0019569471624266144
H20,validation,0.0
H5,robustness,0.0
H5,train,0.0018435607058203845
H5,validation,0.0
