factor_id,rankic_feature_version,calendar_year,yearly_rankIC
alpha002,raw_rank_factor,2017,0.02339151675442741
alpha002,raw_rank_factor,2018,0.027106546629909828
alpha002,raw_rank_factor,2019,-0.005607003370218702
alpha002,raw_rank_factor,2020,0.032598384106862104
alpha002,raw_rank_factor,2021,0.03153607895511405
alpha002,neutralized_rank_factor,2017,0.023512182751617632
alpha002,neutralized_rank_factor,2018,0.012159673382073966
alpha002,neutralized_rank_factor,2019,-0.0016873082903737877
alpha002,neutralized_rank_factor,2020,0.020911649116591245
alpha002,neutralized_rank_factor,2021,0.026600293678979134
alpha003,raw_rank_factor,2017,-0.03632823339381898
alpha003,raw_rank_factor,2018,-0.005997630778102849
alpha003,raw_rank_factor,2019,-0.02616124970606652
alpha003,raw_rank_factor,2020,0.00636610192748696
alpha003,raw_rank_factor,2021,-0.02083798330910002
alpha003,neutralized_rank_factor,2017,-0.022358912457995476
alpha003,neutralized_rank_factor,2018,-0.00107338843737294
alpha003,neutralized_rank_factor,2019,-0.00490366260908313
alpha003,neutralized_rank_factor,2020,0.00457157814123614
alpha003,neutralized_rank_factor,2021,-0.018800869512205998
alpha004,raw_rank_factor,2017,-0.007544020046447233
alpha004,raw_rank_factor,2018,0.012591199289335175
alpha004,raw_rank_factor,2019,-0.011229151626845221
alpha004,raw_rank_factor,2020,-0.00019383029493979327
alpha004,raw_rank_factor,2021,-0.002157521499688711
alpha004,neutralized_rank_factor,2017,-0.008837923201530925
alpha004,neutralized_rank_factor,2018,-0.008007301882300774
alpha004,neutralized_rank_factor,2019,-0.008593299936994318
alpha004,neutralized_rank_factor,2020,-0.01234817560972747
alpha004,neutralized_rank_factor,2021,0.019304427564143807
alpha006,raw_rank_factor,2017,0.0061374304959872375
alpha006,raw_rank_factor,2018,-0.0025963000267283575
alpha006,raw_rank_factor,2019,-0.019518016763555367
alpha006,raw_rank_factor,2020,-0.006546777269690198
alpha006,raw_rank_factor,2021,0.008315673567759327
alpha006,neutralized_rank_factor,2017,0.0020653622705479246
alpha006,neutralized_rank_factor,2018,-0.006987681241718857
alpha006,neutralized_rank_factor,2019,-0.0030279759515137064
alpha006,neutralized_rank_factor,2020,-0.025639860852436285
alpha006,neutralized_rank_factor,2021,0.004967652185028511
alpha007,raw_rank_factor,2017,0.09375158017128202
alpha007,raw_rank_factor,2018,0.03316443235419239
