signal_date,horizon,active_overlap_share,effective_independent_event_count
2020-02-21,H5,0.0,36
2020-03-06,H5,0.0,72
2020-05-08,H5,0.0,108
2020-05-15,H5,0.4166666666666667,129
2020-06-12,H5,0.0,164
2020-06-19,H5,0.40540540540540543,186
2020-06-24,H5,0.4166666666666667,207
2020-07-03,H5,0.3333333333333333,233
2020-07-10,H5,0.3409090909090909,262
2020-07-17,H5,0.37209302325581395,289
2020-07-24,H5,0.38095238095238093,315
2020-07-31,H5,0.4318181818181818,340
2020-08-07,H5,0.43478260869565216,366
2020-08-14,H5,0.4444444444444444,391
2020-08-21,H5,0.5,414
2020-08-28,H5,0.41304347826086957,441
2020-09-04,H5,0.38636363636363635,468
2020-09-11,H5,0.5348837209302325,488
2020-09-18,H5,0.45454545454545453,512
2020-09-25,H5,0.3488372093023256,540
2020-09-30,H5,0.5365853658536586,559
2020-10-09,H5,0.5813953488372093,577
2020-10-16,H5,0.4186046511627907,602
2020-10-23,H5,0.43902439024390244,625
2020-10-30,H5,0.5,646
2020-11-06,H5,0.3409090909090909,675
2020-11-13,H5,0.5454545454545454,695
2020-11-20,H5,0.4666666666666667,719
2020-11-27,H5,0.5909090909090909,737
2020-12-04,H5,0.37777777777777777,765
2020-12-11,H5,0.3488372093023256,793
2020-12-18,H5,0.35555555555555557,822
2020-12-25,H5,0.45454545454545453,846
2020-12-31,H5,0.4222222222222222,872
2021-01-08,H5,0.2127659574468085,909
2021-01-15,H5,0.375,939
2021-01-22,H5,0.2708333333333333,974
2021-01-29,H5,0.30434782608695654,1006
2021-02-05,H5,0.32608695652173914,1037
2021-02-10,H5,0.5,1062
2021-02-19,H5,0.5306122448979592,1085
2021-02-26,H5,0.4782608695652174,1109
2021-03-05,H5,0.5652173913043478,1129
2021-03-12,H5,0.5555555555555556,1149
2021-03-19,H5,0.5,1171
2021-03-26,H5,0.5,1194
2021-04-02,H5,0.3829787234042553,1223
2021-04-09,H5,0.45652173913043476,1248
2021-04-16,H5,0.43478260869565216,1274
2021-04-23,H5,0.2127659574468085,1311
2021-04-30,H5,0.30434782608695654,1343
2021-05-07,H5,0.46808510638297873,1368
2021-05-14,H5,0.41304347826086957,1395
2021-05-21,H5,0.4166666666666667,1423
2021-05-28,H5,0.4375,1450
2021-06-04,H5,0.32653061224489793,1483
2021-06-11,H5,0.3541666666666667,1514
2021-06-18,H5,0.5,1537
2021-06-25,H5,0.3404255319148936,1568
2021-07-02,H5,0.5319148936170213,1590
2021-07-09,H5,0.48936170212765956,1614
2021-07-16,H5,0.3469387755102041,1646
2021-07-23,H5,0.5306122448979592,1669
2021-07-30,H5,0.44680851063829785,1695
2021-08-06,H5,0.4375,1722
2021-08-13,H5,0.46,1749
2021-08-20,H5,0.5,1773
2021-08-27,H5,0.42,1802
2021-09-03,H5,0.3333333333333333,1836
2021-09-10,H5,0.5,1863
2021-09-17,H5,0.5471698113207547,1887
2021-09-24,H5,0.5384615384615384,1911
2021-09-30,H5,0.48,1937
2021-10-08,H5,0.56,1959
2021-10-15,H5,0.42857142857142855,1987
2021-10-22,H5,0.36,2019
2021-10-29,H5,0.3,2054
2021-11-05,H5,0.3673469387755102,2085
2021-11-12,H5,0.38,2116
2021-11-19,H5,0.3269230769230769,2151
2021-11-26,H5,0.38461538461538464,2183
2021-12-03,H5,0.46153846153846156,2211
2021-12-10,H5,0.35185185185185186,2246
2021-12-17,H5,0.4807692307692308,2273
2021-12-24,H5,0.5686274509803921,2295
2021-12-31,H5,0.4444444444444444,2325
2022-01-07,H5,0.4117647058823529,2355
2022-01-14,H5,0.46,2382
2022-01-21,H5,0.42,2411
2022-01-28,H5,0.5106382978723404,2434
2022-02-11,H5,0.0,2483
2022-02-18,H5,0.42857142857142855,2511
2022-02-25,H5,0.30612244897959184,2545
2022-03-04,H5,0.3469387755102041,2577
2022-03-11,H5,0.45652173913043476,2602
2022-03-18,H5,0.5,2625
2022-03-25,H5,0.3333333333333333,2655
2022-04-01,H5,0.3695652173913043,2684
2022-04-08,H5,0.37777777777777777,2712
2022-04-15,H5,0.4666666666666667,2736
2022-04-22,H5,0.5,2757
2022-04-29,H5,0.35714285714285715,2784
2022-05-06,H5,0.4523809523809524,2807
2022-05-13,H5,0.4186046511627907,2832
2022-05-27,H5,0.0,2875
2022-06-02,H5,0.4444444444444444,2900
2022-06-10,H5,0.3617021276595745,2930
2022-06-17,H5,0.40425531914893614,2958
2022-06-24,H5,0.425531914893617,2985
2022-07-01,H5,0.2916666666666667,3019
2022-07-08,H5,0.42857142857142855,3047
2022-07-15,H5,0.40425531914893614,3075
2022-07-22,H5,0.3829787234042553,3104
2022-07-29,H5,0.574468085106383,3124
2022-08-05,H5,0.45652173913043476,3149
2022-08-12,H5,0.425531914893617,3176
2022-08-19,H5,0.375,3206
2022-08-26,H5,0.375,3236
2022-09-02,H5,0.2826086956521739,3269
2022-09-09,H5,0.425531914893617,3296
2022-09-16,H5,0.45652173913043476,3321
2022-09-23,H5,0.4666666666666667,3345
2022-09-30,H5,0.5,3367
2022-10-14,H5,0.0,3411
2022-10-21,H5,0.5111111111111111,3433
2022-10-28,H5,0.46511627906976744,3456
2022-11-04,H5,0.3333333333333333,3486
2022-11-11,H5,0.37777777777777777,3514
2022-11-18,H5,0.5777777777777777,3533
2022-11-25,H5,0.5333333333333333,3554
2022-12-02,H5,0.391304347826087,3582
2022-12-09,H5,0.5434782608695652,3603
2022-12-16,H5,0.5555555555555556,3623
2022-12-23,H5,0.6046511627906976,3640
2022-12-30,H5,0.4772727272727273,3663
2023-01-06,H5,0.4,3690
2023-01-13,H5,0.3409090909090909,3719
2023-01-20,H5,0.34782608695652173,3749
2023-02-03,H5,0.0,3795
2023-02-10,H5,0.44680851063829785,3821
2023-02-17,H5,0.5319148936170213,3843
2023-02-24,H5,0.6041666666666666,3862
2023-03-03,H5,0.4166666666666667,3890
2023-03-10,H5,0.45652173913043476,3915
2023-03-17,H5,0.5434782608695652,3936
2023-03-24,H5,0.3829787234042553,3965
2023-03-31,H5,0.48936170212765956,3989
2023-04-07,H5,0.5,4013
2023-04-14,H5,0.3829787234042553,4042
2023-04-21,H5,0.3617021276595745,4072
2023-04-28,H5,0.48936170212765956,4096
2023-05-05,H5,0.5217391304347826,4118
2023-05-12,H5,0.4782608695652174,4142
2023-05-19,H5,0.45652173913043476,4167
2023-05-26,H5,0.43478260869565216,4193
2023-06-02,H5,0.37777777777777777,4221
2023-06-09,H5,0.3333333333333333,4251
2023-06-16,H5,0.41304347826086957,4278
2023-06-21,H5,0.4444444444444444,4303
2023-06-30,H5,0.4666666666666667,4327
2023-07-07,H5,0.37777777777777777,4355
2023-07-14,H5,0.35555555555555557,4384
2023-07-21,H5,0.4,4411
2023-07-28,H5,0.41304347826086957,4438
2023-08-04,H5,0.391304347826087,4466
2023-08-11,H5,0.43478260869565216,4492
2023-08-18,H5,0.4090909090909091,4518
2023-08-25,H5,0.46511627906976744,4541
2023-09-01,H5,0.37777777777777777,4569
2023-09-08,H5,0.4444444444444444,4594
2023-09-15,H5,0.4666666666666667,4618
2023-09-22,H5,0.3695652173913043,4647
2023-09-28,H5,0.4,4674
2023-10-13,H5,0.0,4718
2023-10-20,H5,0.4418604651162791,4742
2023-10-27,H5,0.5116279069767442,4763
2023-11-03,H5,0.4186046511627907,4788
2023-11-10,H5,0.4090909090909091,4814
2023-11-17,H5,0.5227272727272727,4835
2023-11-24,H5,0.4418604651162791,4859
2023-12-01,H5,0.4186046511627907,4884
2023-12-08,H5,0.5952380952380952,4901
2023-12-15,H5,0.47619047619047616,4923
2023-12-22,H5,0.3170731707317073,4951
2023-12-29,H5,0.43902439024390244,4974
2024-01-05,H5,0.43902439024390244,4997
2024-01-12,H5,0.35,5023
2024-01-19,H5,0.358974358974359,5048
2024-01-26,H5,0.358974358974359,5073
2024-02-02,H5,0.5789473684210527,5089
2024-02-08,H5,0.3076923076923077,5116
2024-02-23,H5,0.0,5158
2024-03-01,H5,0.3409090909090909,5187
2024-03-08,H5,0.4418604651162791,5211
2024-03-15,H5,0.4090909090909091,5237
2024-03-22,H5,0.3953488372093023,5263
2024-03-29,H5,0.4418604651162791,5287
2024-04-03,H5,0.5454545454545454,5307
2024-04-12,H5,0.4090909090909091,5333
2024-04-19,H5,0.4888888888888889,5356
2024-04-26,H5,0.38636363636363635,5383
2024-04-30,H5,0.6444444444444445,5399
2024-05-10,H5,0.0,5445
