valid_train_year_count,mean_train_rankIC,ic_vol,positive_year_count,negative_year_count,same_sign_year_count,sign_consistency,single_year_ic_contribution_share,neutralized_mean_train_rankIC,raw_neutralized_rankIC_sign_agree,factor_quality_score,direction_i,stability_selected,representative_eligible,neutralized_missing_share,factor_id,direction,cluster_id,cluster_size,cluster_source_factor_share,is_representative,representative_factor_id,representative_tie_break_rank
5,0.021805104615218937,0.014094200217850418,4,1,4,0.8,0.27111203908234227,0.01629929812777764,True,0.017201640329298565,1,True,True,0.003735564149106918,alpha002,1,alpha002,1,0.011235955056179775,True,alpha002,1
5,-0.01659179905192028,0.01508928709975635,1,4,4,0.8,0.37964027757998486,-0.008513050975084282,True,0.013076129765353144,-1,True,True,0.0,alpha003,-1,alpha003,1,0.011235955056179775,True,alpha003,1
5,-0.06483622941326703,0.04167464737681027,0,5,5,1.0,0.3556710756223243,-0.03482715766433798,True,0.06224230336846576,-1,True,True,0.0,alpha013,-1,alpha007,2,0.02247191011235955,True,alpha013,1
5,0.018909030084137343,0.010760667726095949,5,0,5,1.0,0.4231656200043081,0.016214996246036402,True,0.01870772249841984,1,True,True,0.0,alpha065,1,alpha008,3,0.033707865168539325,True,alpha065,1
5,-0.017929301092060163,0.01809652931642119,1,4,4,0.8,0.4465732186109605,-0.010401208623650316,True,0.014088488135087469,-1,True,True,0.0,alpha009,-1,alpha009,2,0.02247191011235955,True,alpha009,1
5,0.040614636590686225,0.04121779737976131,4,1,4,0.8,0.44973655396407,0.022521646158304025,True,0.03120548779930079,1,True,True,0.0,alpha189,1,alpha010,14,0.15730337078651685,True,alpha189,1
5,-0.005807171897013236,0.009249960404612793,1,4,4,0.8,0.3352986517715061,-0.0010928144230128258,True,0.004603158483898372,-1,True,True,0.009496751111461865,alpha011,-1,alpha011,1,0.011235955056179775,True,alpha011,1
5,0.02324827876646902,0.02873681866391987,4,1,4,0.8,0.37721427047443173,0.004803744983429963,True,0.01807908755256794,1,True,True,0.0,alpha012,1,alpha012,1,0.011235955056179775,True,alpha012,1
5,-0.016236219894357383,0.01647034032856128,1,4,4,0.8,0.5531256086984676,-0.011074442277927258,True,0.012778509514884009,-1,True,True,0.0,alpha014,-1,alpha014,2,0.02247191011235955,True,alpha014,1
5,-0.006594644899026153,0.021285055163426426,2,3,3,0.6,0.5637365981796171,-0.0028198219366010746,True,0.0038743217864698164,-1,True,True,0.0,alpha029,-1,alpha020,2,0.02247191011235955,True,alpha029,1
